run_type,victim_remote_event_id,victim_trace_step,op_name,qubits,source_module,target_modules,arrival_time_ns,service_start_time_ns,completion_time_ns,waiting_time_ns,turnaround_time_ns,service_time_ns
victim_present,0,6,cx,"0,6",module_0,module_1,20440,20440,20550,0,110,110
victim_present,1,7,cx,"1,8",module_0,module_1,20445,20550,20660,105,215,110
victim_present,2,8,cx,"2,10",module_0,module_1,20450,20660,20770,210,320,110
victim_present,3,9,cx,"3,6",module_0,module_1,20455,20880,20990,425,535,110
victim_present,4,10,cx,"3,7",module_0,module_1,20460,20990,21100,530,640,110
victim_present,5,11,cx,"4,8",module_0,module_1,20465,21100,21210,635,745,110
victim_present,6,12,cx,"4,9",module_0,module_1,20470,21210,21320,740,850,110
victim_present,7,13,cx,"5,10",module_0,module_1,20475,21320,21430,845,955,110
victim_present,8,14,cx,"5,11",module_0,module_1,20480,21430,21540,950,1060,110
victim_present,9,25,ccx,"7,6,13",module_1,module_2,20535,21540,21650,1005,1115,110
victim_present,10,26,ccx,"13,8,14",module_1,module_2,20540,21650,21760,1110,1220,110
victim_present,11,27,ccx,"14,9,15",module_1,module_2,20545,21760,21870,1215,1325,110
victim_present,12,28,ccx,"15,10,16",module_1,module_2,20550,21870,21980,1320,1430,110
victim_present,13,29,ccx,"16,11,17",module_1,module_2,20555,21980,22090,1425,1535,110
victim_present,14,31,ccx,"16,11,17",module_1,module_2,20565,22090,22200,1525,1635,110
victim_present,15,32,ccx,"15,10,16",module_1,module_2,20570,22200,22310,1630,1740,110
victim_present,16,33,ccx,"14,9,15",module_1,module_2,20575,22310,22420,1735,1845,110
victim_present,17,34,ccx,"13,8,14",module_1,module_2,20580,22420,22530,1840,1950,110
victim_present,18,35,ccx,"7,6,13",module_1,module_2,20585,22530,22640,1945,2055,110
victim_present,19,41,cx,"0,6",module_0,module_1,20615,22640,22750,2025,2135,110
victim_present,20,42,cx,"1,8",module_0,module_1,20620,22750,22860,2130,2240,110
victim_present,21,43,cx,"2,10",module_0,module_1,20625,22860,22970,2235,2345,110
victim_present,22,44,cx,"3,6",module_0,module_1,20630,22970,23080,2340,2450,110
victim_present,23,45,cx,"3,7",module_0,module_1,20635,23080,23190,2445,2555,110
victim_present,24,46,cx,"4,8",module_0,module_1,20640,23190,23300,2550,2660,110
victim_present,25,47,cx,"4,9",module_0,module_1,20645,23300,23410,2655,2765,110
victim_present,26,48,cx,"5,10",module_0,module_1,20650,23410,23520,2760,2870,110
victim_present,27,49,cx,"5,11",module_0,module_1,20655,23520,23630,2865,2975,110
victim_present,28,67,ccx,"1,0,13",module_0,module_2,20745,23630,23740,2885,2995,110
victim_present,29,68,ccx,"13,2,14",module_0,module_2,20750,23740,23850,2990,3100,110
victim_present,30,69,ccx,"14,3,15",module_0,module_2,20755,23850,23960,3095,3205,110
victim_present,31,70,ccx,"15,4,16",module_0,module_2,20760,23960,24070,3200,3310,110
victim_present,32,71,ccx,"16,5,17",module_0,module_2,20765,24070,24180,3305,3415,110
victim_present,33,73,ccx,"16,5,17",module_0,module_2,20775,24180,24290,3405,3515,110
victim_present,34,74,ccx,"15,4,16",module_0,module_2,20780,24290,24400,3510,3620,110
victim_present,35,75,ccx,"14,3,15",module_0,module_2,20785,24400,24510,3615,3725,110
victim_present,36,76,ccx,"13,2,14",module_0,module_2,20790,24510,24620,3720,3830,110
victim_present,37,77,ccx,"1,0,13",module_0,module_2,20795,24620,24730,3825,3935,110
victim_present,38,90,cx,"0,6",module_0,module_1,20860,24730,24840,3870,3980,110
victim_present,39,91,cx,"1,8",module_0,module_1,20865,24840,24950,3975,4085,110
victim_present,40,92,cx,"2,10",module_0,module_1,20870,24950,25060,4080,4190,110
victim_present,41,93,cx,"3,6",module_0,module_1,20875,25170,25280,4295,4405,110
victim_present,42,94,cx,"3,7",module_0,module_1,20880,25280,25390,4400,4510,110
victim_present,43,95,cx,"4,8",module_0,module_1,20885,25390,25500,4505,4615,110
victim_present,44,96,cx,"4,9",module_0,module_1,20890,25500,25610,4610,4720,110
victim_present,45,97,cx,"5,10",module_0,module_1,20895,25610,25720,4715,4825,110
victim_present,46,98,cx,"5,11",module_0,module_1,20900,25720,25830,4820,4930,110
victim_present,47,109,ccx,"7,6,13",module_1,module_2,20955,25830,25940,4875,4985,110
victim_present,48,110,ccx,"13,8,14",module_1,module_2,20960,25940,26050,4980,5090,110
