attacker_request_id,probe_id,window_name,observation_duration_ns,round_start_time_ns,request_release_time_ns,actual_arrival_time_ns,service_start_time_ns,victim_on_completion_time_ns,service_time_ns,victim_on_waiting_time_ns,victim_on_turnaround_time_ns,source_module,target_modules,architecture_request_id,baseline_waiting_time_ns,baseline_turnaround_time_ns,baseline_completion_time_ns,excess_waiting_time_ns,excess_turnaround_time_ns,victim_contention_observed
0,0,random_victim_start,20000,20000,20030,20030,24005,24115,110,3975,4085,module_3,module_4,40,0,110,20140,3975,3975,True
1,1,random_victim_start,20000,20420,20450,20450,28295,28405,110,7845,7955,module_3,module_4,79,0,110,20560,7845,7845,True
2,2,random_victim_start,20000,20840,20870,20870,32585,32695,110,11715,11825,module_3,module_4,118,0,110,20980,11715,11715,True
3,3,random_victim_start,20000,21260,21290,21290,36875,36985,110,15585,15695,module_3,module_4,157,0,110,21400,15585,15585,True
4,4,random_victim_start,20000,21680,21710,21710,41165,41275,110,19455,19565,module_3,module_4,196,0,110,21820,19455,19455,True
5,5,random_victim_start,20000,22100,22130,22130,45455,45565,110,23325,23435,module_3,module_4,235,0,110,22240,23325,23325,True
6,6,random_victim_start,20000,22520,22550,22550,47435,47545,110,24885,24995,module_3,module_4,253,0,110,22660,24885,24885,True
7,7,random_victim_start,20000,22940,22970,22970,47545,47655,110,24575,24685,module_3,module_4,254,0,110,23080,24575,24575,True
8,8,random_victim_start,20000,23360,23390,23390,47655,47765,110,24265,24375,module_3,module_4,255,0,110,23500,24265,24265,True
9,9,random_victim_start,20000,23780,23810,23810,47765,47875,110,23955,24065,module_3,module_4,256,0,110,23920,23955,23955,True
10,10,random_victim_start,20000,24200,24230,24230,47875,47985,110,23645,23755,module_3,module_4,257,0,110,24340,23645,23645,True
11,11,random_victim_start,20000,24620,24650,24650,47985,48095,110,23335,23445,module_3,module_4,258,0,110,24760,23335,23335,True
12,12,random_victim_start,20000,25040,25070,25070,48095,48205,110,23025,23135,module_3,module_4,259,0,110,25180,23025,23025,True
13,13,random_victim_start,20000,25460,25490,25490,48205,48315,110,22715,22825,module_3,module_4,260,0,110,25600,22715,22715,True
14,14,random_victim_start,20000,25880,25910,25910,48315,48425,110,22405,22515,module_3,module_4,261,0,110,26020,22405,22405,True
15,15,random_victim_start,20000,26300,26330,26330,48425,48535,110,22095,22205,module_3,module_4,262,0,110,26440,22095,22095,True
16,16,random_victim_start,20000,26720,26750,26750,48535,48645,110,21785,21895,module_3,module_4,263,0,110,26860,21785,21785,True
17,17,random_victim_start,20000,27140,27170,27170,48645,48755,110,21475,21585,module_3,module_4,264,0,110,27280,21475,21475,True
18,18,random_victim_start,20000,27560,27590,27590,48755,48865,110,21165,21275,module_3,module_4,265,0,110,27700,21165,21165,True
19,19,random_victim_start,20000,27980,28010,28010,48865,48975,110,20855,20965,module_3,module_4,266,0,110,28120,20855,20855,True
20,20,random_victim_start,20000,28400,28430,28430,48975,49085,110,20545,20655,module_3,module_4,267,0,110,28540,20545,20545,True
21,21,random_victim_start,20000,28820,28850,28850,49085,49195,110,20235,20345,module_3,module_4,268,0,110,28960,20235,20235,True
22,22,random_victim_start,20000,29240,29270,29270,49195,49305,110,19925,20035,module_3,module_4,269,0,110,29380,19925,19925,True
23,23,random_victim_start,20000,29660,29690,29690,49305,49415,110,19615,19725,module_3,module_4,270,0,110,29800,19615,19615,True
24,24,random_victim_start,20000,30080,30110,30110,49415,49525,110,19305,19415,module_3,module_4,271,0,110,30220,19305,19305,True
25,25,random_victim_start,20000,30500,30530,30530,49525,49635,110,18995,19105,module_3,module_4,272,0,110,30640,18995,18995,True
26,26,random_victim_start,20000,30920,30950,30950,49635,49745,110,18685,18795,module_3,module_4,273,0,110,31060,18685,18685,True
27,27,random_victim_start,20000,31340,31370,31370,49745,49855,110,18375,18485,module_3,module_4,274,0,110,31480,18375,18375,True
28,28,random_victim_start,20000,31760,31790,31790,49855,49965,110,18065,18175,module_3,module_4,275,0,110,31900,18065,18065,True
29,29,random_victim_start,20000,32180,32210,32210,49965,50075,110,17755,17865,module_3,module_4,276,0,110,32320,17755,17755,True
30,30,random_victim_start,20000,32600,32630,32630,50075,50185,110,17445,17555,module_3,module_4,277,0,110,32740,17445,17445,True
31,31,random_victim_start,20000,33020,33050,33050,50185,50295,110,17135,17245,module_3,module_4,278,0,110,33160,17135,17135,True
32,32,random_victim_start,20000,33440,33470,33470,50295,50405,110,16825,16935,module_3,module_4,279,0,110,33580,16825,16825,True
33,33,random_victim_start,20000,33860,33890,33890,50405,50515,110,16515,16625,module_3,module_4,280,0,110,34000,16515,16515,True
34,34,random_victim_start,20000,34280,34310,34310,50515,50625,110,16205,16315,module_3,module_4,281,0,110,34420,16205,16205,True
35,35,random_victim_start,20000,34700,34730,34730,50625,50735,110,15895,16005,module_3,module_4,282,0,110,34840,15895,15895,True
36,36,random_victim_start,20000,35120,35150,35150,50735,50845,110,15585,15695,module_3,module_4,283,0,110,35260,15585,15585,True
37,37,random_victim_start,20000,35540,35570,35570,50845,50955,110,15275,15385,module_3,module_4,284,0,110,35680,15275,15275,True
38,38,random_victim_start,20000,35960,35990,35990,50955,51065,110,14965,15075,module_3,module_4,285,0,110,36100,14965,14965,True
39,39,random_victim_start,20000,36380,36410,36410,51065,51175,110,14655,14765,module_3,module_4,286,0,110,36520,14655,14655,True
40,40,random_victim_start,20000,36800,36830,36830,51175,51285,110,14345,14455,module_3,module_4,287,0,110,36940,14345,14345,True
41,41,random_victim_start,20000,37220,37250,37250,51285,51395,110,14035,14145,module_3,module_4,288,0,110,37360,14035,14035,True
42,42,random_victim_start,20000,37640,37670,37670,51395,51505,110,13725,13835,module_3,module_4,289,0,110,37780,13725,13725,True
43,43,random_victim_start,20000,38060,38090,38090,51505,51615,110,13415,13525,module_3,module_4,290,0,110,38200,13415,13415,True
44,44,random_victim_start,20000,38480,38510,38510,51615,51725,110,13105,13215,module_3,module_4,291,0,110,38620,13105,13105,True
45,45,random_victim_start,20000,38900,38930,38930,51725,51835,110,12795,12905,module_3,module_4,292,0,110,39040,12795,12795,True
46,46,random_victim_start,20000,39320,39350,39350,51835,51945,110,12485,12595,module_3,module_4,293,0,110,39460,12485,12485,True
47,47,random_victim_start,20000,39740,39770,39770,51945,52055,110,12175,12285,module_3,module_4,294,0,110,39880,12175,12175,True
