run_type,victim_remote_event_id,victim_trace_step,op_name,qubits,source_module,target_modules,arrival_time_ns,service_start_time_ns,completion_time_ns,waiting_time_ns,turnaround_time_ns,service_time_ns
victim_present,0,20,barrier,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",module_0,"module_1,module_2",21735,21820,21940,85,205,120
victim_present,1,21,cx,"0,18",module_0,module_2,21740,21940,22050,200,310,110
victim_present,2,22,cx,"1,18",module_0,module_2,21745,22050,22160,305,415,110
victim_present,3,23,cx,"2,18",module_0,module_2,21750,22160,22270,410,520,110
victim_present,4,24,cx,"3,18",module_0,module_2,21755,22270,22380,515,625,110
victim_present,5,25,cx,"4,18",module_0,module_2,21760,22380,22490,620,730,110
victim_present,6,26,cx,"5,18",module_0,module_2,21765,22490,22600,725,835,110
victim_present,7,27,cx,"6,18",module_0,module_2,21770,22600,22710,830,940,110
victim_present,8,28,cx,"7,18",module_1,module_2,21775,22710,22820,935,1045,110
victim_present,9,29,cx,"8,18",module_1,module_2,21780,22820,22930,1040,1150,110
victim_present,10,30,cx,"9,18",module_1,module_2,21785,22930,23040,1145,1255,110
victim_present,11,31,cx,"10,18",module_1,module_2,21790,23040,23150,1250,1360,110
victim_present,12,32,cx,"11,18",module_1,module_2,21795,23150,23260,1355,1465,110
victim_present,13,33,cx,"12,18",module_1,module_2,21800,23260,23370,1460,1570,110
victim_present,14,34,cx,"13,18",module_1,module_2,21805,23370,23480,1565,1675,110
victim_present,15,39,barrier,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",module_0,"module_1,module_2",21830,23480,23600,1650,1770,120
