attacker_request_id,probe_id,window_name,observation_duration_ns,round_start_time_ns,request_release_time_ns,actual_arrival_time_ns,service_start_time_ns,victim_on_completion_time_ns,service_time_ns,victim_on_waiting_time_ns,victim_on_turnaround_time_ns,source_module,target_modules,architecture_request_id,baseline_waiting_time_ns,baseline_turnaround_time_ns,baseline_completion_time_ns,excess_waiting_time_ns,excess_turnaround_time_ns,victim_contention_observed
0,0,random_victim_start,20000,20000,20030,20030,20030,20140,110,0,110,module_3,module_4,0,0,110,20140,0,0,False
1,1,random_victim_start,20000,20420,20450,20450,20450,20560,110,0,110,module_3,module_4,1,0,110,20560,0,0,False
2,2,random_victim_start,20000,20840,20870,20870,21510,21620,110,640,750,module_3,module_4,9,0,110,20980,640,640,True
3,3,random_victim_start,20000,21260,21290,21290,21840,21950,110,550,660,module_3,module_4,12,0,110,21400,550,550,True
4,4,random_victim_start,20000,21680,21710,21710,22940,23050,110,1230,1340,module_3,module_4,22,0,110,21820,1230,1230,True
5,5,random_victim_start,20000,22100,22130,22130,23930,24040,110,1800,1910,module_3,module_4,31,0,110,22240,1800,1800,True
6,6,random_victim_start,20000,22520,22550,22550,24150,24260,110,1600,1710,module_3,module_4,33,0,110,22660,1600,1600,True
7,7,random_victim_start,20000,22940,22970,22970,24260,24370,110,1290,1400,module_3,module_4,34,0,110,23080,1290,1290,True
8,8,random_victim_start,20000,23360,23390,23390,24480,24590,110,1090,1200,module_3,module_4,36,0,110,23500,1090,1090,True
9,9,random_victim_start,20000,23780,23810,23810,25470,25580,110,1660,1770,module_3,module_4,45,0,110,23920,1660,1660,True
10,10,random_victim_start,20000,24200,24230,24230,26350,26460,110,2120,2230,module_3,module_4,53,0,110,24340,2120,2120,True
11,11,random_victim_start,20000,24620,24650,24650,26680,26790,110,2030,2140,module_3,module_4,56,0,110,24760,2030,2030,True
12,12,random_victim_start,20000,25040,25070,25070,26790,26900,110,1720,1830,module_3,module_4,57,0,110,25180,1720,1720,True
13,13,random_victim_start,20000,25460,25490,25490,26900,27010,110,1410,1520,module_3,module_4,58,0,110,25600,1410,1410,True
14,14,random_victim_start,20000,25880,25910,25910,27010,27120,110,1100,1210,module_3,module_4,59,0,110,26020,1100,1100,True
15,15,random_victim_start,20000,26300,26330,26330,27120,27230,110,790,900,module_3,module_4,60,0,110,26440,790,790,True
16,16,random_victim_start,20000,26720,26750,26750,27230,27340,110,480,590,module_3,module_4,61,0,110,26860,480,480,True
17,17,random_victim_start,20000,27140,27170,27170,28330,28440,110,1160,1270,module_3,module_4,71,0,110,27280,1160,1160,True
18,18,random_victim_start,20000,27560,27590,27590,28660,28770,110,1070,1180,module_3,module_4,74,0,110,27700,1070,1070,True
19,19,random_victim_start,20000,27980,28010,28010,29540,29650,110,1530,1640,module_3,module_4,82,0,110,28120,1530,1530,True
20,20,random_victim_start,20000,28400,28430,28430,30640,30750,110,2210,2320,module_3,module_4,92,0,110,28540,2210,2210,True
21,21,random_victim_start,20000,28820,28850,28850,30750,30860,110,1900,2010,module_3,module_4,93,0,110,28960,1900,1900,True
22,22,random_victim_start,20000,29240,29270,29270,30860,30970,110,1590,1700,module_3,module_4,94,0,110,29380,1590,1590,True
23,23,random_victim_start,20000,29660,29690,29690,30970,31080,110,1280,1390,module_3,module_4,95,0,110,29800,1280,1280,True
24,24,random_victim_start,20000,30080,30110,30110,31080,31190,110,970,1080,module_3,module_4,96,0,110,30220,970,970,True
25,25,random_victim_start,20000,30500,30530,30530,31190,31300,110,660,770,module_3,module_4,97,0,110,30640,660,660,True
26,26,random_victim_start,20000,30920,30950,30950,31300,31410,110,350,460,module_3,module_4,98,0,110,31060,350,350,True
27,27,random_victim_start,20000,31340,31370,31370,31410,31520,110,40,150,module_3,module_4,99,0,110,31480,40,40,True
28,28,random_victim_start,20000,31760,31790,31790,31790,31900,110,0,110,module_3,module_4,100,0,110,31900,0,0,False
29,29,random_victim_start,20000,32180,32210,32210,32210,32320,110,0,110,module_3,module_4,101,0,110,32320,0,0,False
30,30,random_victim_start,20000,32600,32630,32630,32630,32740,110,0,110,module_3,module_4,102,0,110,32740,0,0,False
31,31,random_victim_start,20000,33020,33050,33050,33050,33160,110,0,110,module_3,module_4,103,0,110,33160,0,0,False
32,32,random_victim_start,20000,33440,33470,33470,33470,33580,110,0,110,module_3,module_4,104,0,110,33580,0,0,False
33,33,random_victim_start,20000,33860,33890,33890,33890,34000,110,0,110,module_3,module_4,105,0,110,34000,0,0,False
34,34,random_victim_start,20000,34280,34310,34310,34310,34420,110,0,110,module_3,module_4,106,0,110,34420,0,0,False
35,35,random_victim_start,20000,34700,34730,34730,34730,34840,110,0,110,module_3,module_4,107,0,110,34840,0,0,False
36,36,random_victim_start,20000,35120,35150,35150,35150,35260,110,0,110,module_3,module_4,108,0,110,35260,0,0,False
37,37,random_victim_start,20000,35540,35570,35570,35570,35680,110,0,110,module_3,module_4,109,0,110,35680,0,0,False
38,38,random_victim_start,20000,35960,35990,35990,35990,36100,110,0,110,module_3,module_4,110,0,110,36100,0,0,False
39,39,random_victim_start,20000,36380,36410,36410,36410,36520,110,0,110,module_3,module_4,111,0,110,36520,0,0,False
40,40,random_victim_start,20000,36800,36830,36830,36830,36940,110,0,110,module_3,module_4,112,0,110,36940,0,0,False
41,41,random_victim_start,20000,37220,37250,37250,37250,37360,110,0,110,module_3,module_4,113,0,110,37360,0,0,False
42,42,random_victim_start,20000,37640,37670,37670,37670,37780,110,0,110,module_3,module_4,114,0,110,37780,0,0,False
43,43,random_victim_start,20000,38060,38090,38090,38090,38200,110,0,110,module_3,module_4,115,0,110,38200,0,0,False
44,44,random_victim_start,20000,38480,38510,38510,38510,38620,110,0,110,module_3,module_4,116,0,110,38620,0,0,False
45,45,random_victim_start,20000,38900,38930,38930,38930,39040,110,0,110,module_3,module_4,117,0,110,39040,0,0,False
46,46,random_victim_start,20000,39320,39350,39350,39350,39460,110,0,110,module_3,module_4,118,0,110,39460,0,0,False
47,47,random_victim_start,20000,39740,39770,39770,39770,39880,110,0,110,module_3,module_4,119,0,110,39880,0,0,False
