run_type,victim_remote_event_id,victim_trace_step,op_name,qubits,source_module,target_modules,arrival_time_ns,service_start_time_ns,completion_time_ns,waiting_time_ns,turnaround_time_ns,service_time_ns
victim_present,0,9,ccx,"1,2,9",module_0,module_2,20670,20670,20780,0,110,110
victim_present,1,10,ccx,"3,9,10",module_0,module_2,20675,20780,20890,105,215,110
victim_present,2,11,ccx,"4,10,5",module_1,module_2,20680,20890,21000,210,320,110
victim_present,3,12,ccx,"3,9,10",module_0,module_2,20685,21000,21110,315,425,110
victim_present,4,13,ccx,"1,2,9",module_0,module_2,20690,21110,21220,420,530,110
victim_present,5,17,ccx,"1,2,9",module_0,module_2,20710,21220,21330,510,620,110
victim_present,6,18,ccx,"3,9,10",module_0,module_2,20715,21330,21440,615,725,110
victim_present,7,19,ccx,"4,10,6",module_1,module_2,20720,21440,21550,720,830,110
victim_present,8,20,ccx,"3,9,10",module_0,module_2,20725,21550,21660,825,935,110
victim_present,9,21,ccx,"1,2,9",module_0,module_2,20730,21660,21770,930,1040,110
victim_present,10,24,ccx,"1,2,9",module_0,module_2,20745,21770,21880,1025,1135,110
victim_present,11,25,ccx,"3,9,10",module_0,module_2,20750,21880,21990,1130,1240,110
victim_present,12,26,ccx,"4,10,7",module_1,module_2,20755,21990,22100,1235,1345,110
victim_present,13,27,ccx,"3,9,10",module_0,module_2,20760,22100,22210,1340,1450,110
victim_present,14,28,ccx,"1,2,9",module_0,module_2,20765,22210,22320,1445,1555,110
victim_present,15,31,ccx,"2,3,8",module_0,module_2,20780,22320,22430,1540,1650,110
victim_present,16,34,ccx,"5,6,9",module_1,module_2,20795,22430,22540,1635,1745,110
victim_present,17,35,ccx,"7,9,10",module_1,module_2,20800,22540,22650,1740,1850,110
victim_present,18,36,ccx,"8,10,0",module_0,module_2,20805,22650,22760,1845,1955,110
victim_present,19,37,ccx,"7,9,10",module_1,module_2,20810,22760,22870,1950,2060,110
victim_present,20,38,ccx,"5,6,9",module_1,module_2,20815,22870,22980,2055,2165,110
victim_present,21,41,ccx,"2,3,8",module_0,module_2,20830,22980,23090,2150,2260,110
victim_present,22,44,ccx,"1,2,9",module_0,module_2,20845,23090,23200,2245,2355,110
victim_present,23,45,ccx,"3,9,10",module_0,module_2,20850,23200,23310,2350,2460,110
victim_present,24,46,ccx,"4,10,7",module_1,module_2,20855,23310,23420,2455,2565,110
victim_present,25,47,ccx,"3,9,10",module_0,module_2,20860,23420,23530,2560,2670,110
victim_present,26,48,ccx,"1,2,9",module_0,module_2,20865,23530,23640,2665,2775,110
victim_present,27,51,ccx,"1,2,9",module_0,module_2,20880,23750,23860,2870,2980,110
victim_present,28,52,ccx,"3,9,10",module_0,module_2,20885,23860,23970,2975,3085,110
victim_present,29,53,ccx,"4,10,6",module_1,module_2,20890,23970,24080,3080,3190,110
victim_present,30,54,ccx,"3,9,10",module_0,module_2,20895,24080,24190,3185,3295,110
victim_present,31,55,ccx,"1,2,9",module_0,module_2,20900,24190,24300,3290,3400,110
victim_present,32,59,ccx,"1,2,9",module_0,module_2,20920,24300,24410,3380,3490,110
victim_present,33,60,ccx,"3,9,10",module_0,module_2,20925,24410,24520,3485,3595,110
victim_present,34,61,ccx,"4,10,5",module_1,module_2,20930,24520,24630,3590,3700,110
victim_present,35,62,ccx,"3,9,10",module_0,module_2,20935,24630,24740,3695,3805,110
victim_present,36,63,ccx,"1,2,9",module_0,module_2,20940,24740,24850,3800,3910,110
victim_present,37,75,ccx,"1,2,9",module_0,module_2,21000,24850,24960,3850,3960,110
victim_present,38,76,ccx,"3,9,10",module_0,module_2,21005,24960,25070,3955,4065,110
victim_present,39,77,ccx,"4,10,0",module_0,"module_1,module_2",21010,25070,25190,4060,4180,120
victim_present,40,78,ccx,"3,9,10",module_0,module_2,21015,25190,25300,4175,4285,110
victim_present,41,79,ccx,"1,2,9",module_0,module_2,21020,25300,25410,4280,4390,110
