run_type,victim_remote_event_id,victim_trace_step,op_name,qubits,source_module,target_modules,arrival_time_ns,service_start_time_ns,completion_time_ns,waiting_time_ns,turnaround_time_ns,service_time_ns
victim_present,0,511,cx,"5,6",module_0,module_1,17890,17890,18000,0,110,110
victim_present,1,514,cx,"6,5",module_0,module_1,17905,18000,18110,95,205,110
victim_present,2,517,cx,"5,6",module_0,module_1,17920,18110,18220,190,300,110
victim_present,3,523,cx,"5,6",module_0,module_1,17950,18220,18330,270,380,110
victim_present,4,526,cx,"6,5",module_0,module_1,17965,18330,18440,365,475,110
victim_present,5,529,cx,"5,6",module_0,module_1,17980,18440,18550,460,570,110
victim_present,6,535,cx,"5,6",module_0,module_1,18010,18550,18660,540,650,110
victim_present,7,538,cx,"6,5",module_0,module_1,18025,18660,18770,635,745,110
victim_present,8,541,cx,"5,6",module_0,module_1,18040,18770,18880,730,840,110
victim_present,9,661,cx,"11,12",module_1,module_2,18640,18880,18990,240,350,110
victim_present,10,664,cx,"12,11",module_1,module_2,18655,18990,19100,335,445,110
victim_present,11,667,cx,"11,12",module_1,module_2,18670,19100,19210,430,540,110
victim_present,12,673,cx,"11,12",module_1,module_2,18700,19210,19320,510,620,110
victim_present,13,676,cx,"12,11",module_1,module_2,18715,19320,19430,605,715,110
victim_present,14,679,cx,"11,12",module_1,module_2,18730,19430,19540,700,810,110
victim_present,15,685,cx,"11,12",module_1,module_2,18760,19540,19650,780,890,110
victim_present,16,688,cx,"12,11",module_1,module_2,18775,19650,19760,875,985,110
victim_present,17,691,cx,"11,12",module_1,module_2,18790,19760,19870,970,1080,110
victim_present,18,761,cx,"15,0",module_0,module_2,19140,19870,19980,730,840,110
victim_present,19,764,cx,"0,15",module_0,module_2,19155,19980,20090,825,935,110
victim_present,20,767,cx,"15,0",module_0,module_2,19170,20090,20200,920,1030,110
victim_present,21,773,cx,"15,0",module_0,module_2,19200,20200,20310,1000,1110,110
victim_present,22,776,cx,"0,15",module_0,module_2,19215,20310,20420,1095,1205,110
victim_present,23,779,cx,"15,0",module_0,module_2,19230,20420,20530,1190,1300,110
victim_present,24,785,cx,"15,0",module_0,module_2,19260,20530,20640,1270,1380,110
victim_present,25,788,cx,"0,15",module_0,module_2,19275,20640,20750,1365,1475,110
victim_present,26,791,cx,"15,0",module_0,module_2,19290,20750,20860,1460,1570,110
victim_present,27,1040,cx,"5,6",module_0,module_1,20535,21080,21190,545,655,110
victim_present,28,1043,cx,"6,5",module_0,module_1,20550,21190,21300,640,750,110
victim_present,29,1046,cx,"5,6",module_0,module_1,20565,21300,21410,735,845,110
victim_present,30,1082,cx,"11,12",module_1,module_2,20745,21410,21520,665,775,110
victim_present,31,1085,cx,"12,11",module_1,module_2,20760,21520,21630,760,870,110
victim_present,32,1088,cx,"11,12",module_1,module_2,20775,21630,21740,855,965,110
victim_present,33,1110,cx,"15,0",module_0,module_2,20885,21850,21960,965,1075,110
victim_present,34,1113,cx,"0,15",module_0,module_2,20900,21960,22070,1060,1170,110
victim_present,35,1116,cx,"15,0",module_0,module_2,20915,22070,22180,1155,1265,110
victim_present,36,1147,cx,"5,6",module_0,module_1,21070,22180,22290,1110,1220,110
victim_present,37,1150,cx,"6,5",module_0,module_1,21085,22290,22400,1205,1315,110
victim_present,38,1153,cx,"5,6",module_0,module_1,21100,22400,22510,1300,1410,110
victim_present,39,1183,cx,"11,12",module_1,module_2,21250,22510,22620,1260,1370,110
victim_present,40,1186,cx,"12,11",module_1,module_2,21265,22620,22730,1355,1465,110
victim_present,41,1189,cx,"11,12",module_1,module_2,21280,22730,22840,1450,1560,110
victim_present,42,1207,cx,"15,0",module_0,module_2,21370,22950,23060,1580,1690,110
victim_present,43,1210,cx,"0,15",module_0,module_2,21385,23060,23170,1675,1785,110
victim_present,44,1213,cx,"15,0",module_0,module_2,21400,23170,23280,1770,1880,110
victim_present,45,1727,cx,"5,6",module_0,module_1,23970,23970,24080,0,110,110
victim_present,46,1730,cx,"6,5",module_0,module_1,23985,24080,24190,95,205,110
victim_present,47,1733,cx,"5,6",module_0,module_1,24000,24190,24300,190,300,110
victim_present,48,1739,cx,"5,6",module_0,module_1,24030,24300,24410,270,380,110
victim_present,49,1742,cx,"6,5",module_0,module_1,24045,24410,24520,365,475,110
victim_present,50,1745,cx,"5,6",module_0,module_1,24060,24520,24630,460,570,110
victim_present,51,1751,cx,"5,6",module_0,module_1,24090,24630,24740,540,650,110
