attacker_request_id,probe_id,window_name,observation_duration_ns,round_start_time_ns,request_release_time_ns,actual_arrival_time_ns,service_start_time_ns,victim_on_completion_time_ns,service_time_ns,victim_on_waiting_time_ns,victim_on_turnaround_time_ns,source_module,target_modules,architecture_request_id,baseline_waiting_time_ns,baseline_turnaround_time_ns,baseline_completion_time_ns,excess_waiting_time_ns,excess_turnaround_time_ns,victim_contention_observed
0,0,random_victim_start,20000,20000,20030,20030,38475,38585,110,18445,18555,module_3,module_4,196,0,110,20140,18445,18445,True
1,1,random_victim_start,20000,20420,20450,20450,40905,41015,110,20455,20565,module_3,module_4,218,0,110,20560,20455,20455,True
2,2,random_victim_start,20000,20840,20870,20870,41015,41125,110,20145,20255,module_3,module_4,219,0,110,20980,20145,20145,True
3,3,random_victim_start,20000,21260,21290,21290,41125,41235,110,19835,19945,module_3,module_4,220,0,110,21400,19835,19835,True
4,4,random_victim_start,20000,21680,21710,21710,41235,41345,110,19525,19635,module_3,module_4,221,0,110,21820,19525,19525,True
5,5,random_victim_start,20000,22100,22130,22130,41345,41455,110,19215,19325,module_3,module_4,222,0,110,22240,19215,19215,True
6,6,random_victim_start,20000,22520,22550,22550,41455,41565,110,18905,19015,module_3,module_4,223,0,110,22660,18905,18905,True
7,7,random_victim_start,20000,22940,22970,22970,41565,41675,110,18595,18705,module_3,module_4,224,0,110,23080,18595,18595,True
8,8,random_victim_start,20000,23360,23390,23390,41675,41785,110,18285,18395,module_3,module_4,225,0,110,23500,18285,18285,True
9,9,random_victim_start,20000,23780,23810,23810,41785,41895,110,17975,18085,module_3,module_4,226,0,110,23920,17975,17975,True
10,10,random_victim_start,20000,24200,24230,24230,41895,42005,110,17665,17775,module_3,module_4,227,0,110,24340,17665,17665,True
11,11,random_victim_start,20000,24620,24650,24650,42005,42115,110,17355,17465,module_3,module_4,228,0,110,24760,17355,17355,True
12,12,random_victim_start,20000,25040,25070,25070,42115,42225,110,17045,17155,module_3,module_4,229,0,110,25180,17045,17045,True
13,13,random_victim_start,20000,25460,25490,25490,42225,42335,110,16735,16845,module_3,module_4,230,0,110,25600,16735,16735,True
14,14,random_victim_start,20000,25880,25910,25910,42335,42445,110,16425,16535,module_3,module_4,231,0,110,26020,16425,16425,True
15,15,random_victim_start,20000,26300,26330,26330,42445,42555,110,16115,16225,module_3,module_4,232,0,110,26440,16115,16115,True
16,16,random_victim_start,20000,26720,26750,26750,42555,42665,110,15805,15915,module_3,module_4,233,0,110,26860,15805,15805,True
17,17,random_victim_start,20000,27140,27170,27170,42665,42775,110,15495,15605,module_3,module_4,234,0,110,27280,15495,15495,True
18,18,random_victim_start,20000,27560,27590,27590,42775,42885,110,15185,15295,module_3,module_4,235,0,110,27700,15185,15185,True
