run_type,victim_remote_event_id,victim_trace_step,op_name,qubits,source_module,target_modules,arrival_time_ns,service_start_time_ns,completion_time_ns,waiting_time_ns,turnaround_time_ns,service_time_ns
victim_present,0,9,ccx,"1,2,9",module_0,module_2,20045,20140,20250,95,205,110
victim_present,1,10,ccx,"3,9,10",module_0,module_2,20050,20250,20360,200,310,110
victim_present,2,11,ccx,"4,10,5",module_1,module_2,20055,20360,20470,305,415,110
victim_present,3,12,ccx,"3,9,10",module_0,module_2,20060,20470,20580,410,520,110
victim_present,4,13,ccx,"1,2,9",module_0,module_2,20065,20580,20690,515,625,110
victim_present,5,17,ccx,"1,2,9",module_0,module_2,20085,20690,20800,605,715,110
victim_present,6,18,ccx,"3,9,10",module_0,module_2,20090,20800,20910,710,820,110
victim_present,7,19,ccx,"4,10,6",module_1,module_2,20095,20910,21020,815,925,110
victim_present,8,20,ccx,"3,9,10",module_0,module_2,20100,21020,21130,920,1030,110
victim_present,9,21,ccx,"1,2,9",module_0,module_2,20105,21130,21240,1025,1135,110
victim_present,10,24,ccx,"1,2,9",module_0,module_2,20120,21240,21350,1120,1230,110
victim_present,11,25,ccx,"3,9,10",module_0,module_2,20125,21350,21460,1225,1335,110
victim_present,12,26,ccx,"4,10,7",module_1,module_2,20130,21460,21570,1330,1440,110
victim_present,13,27,ccx,"3,9,10",module_0,module_2,20135,21570,21680,1435,1545,110
victim_present,14,28,ccx,"1,2,9",module_0,module_2,20140,21680,21790,1540,1650,110
victim_present,15,31,ccx,"2,3,8",module_0,module_2,20155,21790,21900,1635,1745,110
victim_present,16,34,ccx,"5,6,9",module_1,module_2,20170,21900,22010,1730,1840,110
victim_present,17,35,ccx,"7,9,10",module_1,module_2,20175,22010,22120,1835,1945,110
victim_present,18,36,ccx,"8,10,0",module_0,module_2,20180,22120,22230,1940,2050,110
victim_present,19,37,ccx,"7,9,10",module_1,module_2,20185,22230,22340,2045,2155,110
victim_present,20,38,ccx,"5,6,9",module_1,module_2,20190,22340,22450,2150,2260,110
victim_present,21,41,ccx,"2,3,8",module_0,module_2,20205,22450,22560,2245,2355,110
victim_present,22,44,ccx,"1,2,9",module_0,module_2,20220,22560,22670,2340,2450,110
victim_present,23,45,ccx,"3,9,10",module_0,module_2,20225,22670,22780,2445,2555,110
victim_present,24,46,ccx,"4,10,7",module_1,module_2,20230,22780,22890,2550,2660,110
victim_present,25,47,ccx,"3,9,10",module_0,module_2,20235,22890,23000,2655,2765,110
victim_present,26,48,ccx,"1,2,9",module_0,module_2,20240,23000,23110,2760,2870,110
victim_present,27,51,ccx,"1,2,9",module_0,module_2,20255,23110,23220,2855,2965,110
victim_present,28,52,ccx,"3,9,10",module_0,module_2,20260,23220,23330,2960,3070,110
victim_present,29,53,ccx,"4,10,6",module_1,module_2,20265,23330,23440,3065,3175,110
victim_present,30,54,ccx,"3,9,10",module_0,module_2,20270,23440,23550,3170,3280,110
victim_present,31,55,ccx,"1,2,9",module_0,module_2,20275,23550,23660,3275,3385,110
victim_present,32,59,ccx,"1,2,9",module_0,module_2,20295,23660,23770,3365,3475,110
victim_present,33,60,ccx,"3,9,10",module_0,module_2,20300,23770,23880,3470,3580,110
victim_present,34,61,ccx,"4,10,5",module_1,module_2,20305,23880,23990,3575,3685,110
victim_present,35,62,ccx,"3,9,10",module_0,module_2,20310,23990,24100,3680,3790,110
victim_present,36,63,ccx,"1,2,9",module_0,module_2,20315,24100,24210,3785,3895,110
victim_present,37,75,ccx,"1,2,9",module_0,module_2,20375,24210,24320,3835,3945,110
victim_present,38,76,ccx,"3,9,10",module_0,module_2,20380,24320,24430,3940,4050,110
victim_present,39,77,ccx,"4,10,0",module_0,"module_1,module_2",20385,24430,24550,4045,4165,120
victim_present,40,78,ccx,"3,9,10",module_0,module_2,20390,24550,24660,4160,4270,110
victim_present,41,79,ccx,"1,2,9",module_0,module_2,20395,24660,24770,4265,4375,110
