attacker_request_id,probe_id,window_name,observation_duration_ns,round_start_time_ns,request_release_time_ns,actual_arrival_time_ns,service_start_time_ns,victim_on_completion_time_ns,service_time_ns,victim_on_waiting_time_ns,victim_on_turnaround_time_ns,source_module,target_modules,architecture_request_id,baseline_waiting_time_ns,baseline_turnaround_time_ns,baseline_completion_time_ns,excess_waiting_time_ns,excess_turnaround_time_ns,victim_contention_observed
0,0,start_exact,20000,20000,20030,20030,20030,20140,110,0,110,module_3,module_4,0,0,110,20140,0,0,False
1,1,start_exact,20000,20420,20450,20450,24770,24880,110,4320,4430,module_3,module_4,43,0,110,20560,4320,4320,True
2,2,start_exact,20000,20840,20870,20870,24880,24990,110,4010,4120,module_3,module_4,44,0,110,20980,4010,4010,True
3,3,start_exact,20000,21260,21290,21290,24990,25100,110,3700,3810,module_3,module_4,45,0,110,21400,3700,3700,True
4,4,start_exact,20000,21680,21710,21710,25100,25210,110,3390,3500,module_3,module_4,46,0,110,21820,3390,3390,True
5,5,start_exact,20000,22100,22130,22130,25210,25320,110,3080,3190,module_3,module_4,47,0,110,22240,3080,3080,True
6,6,start_exact,20000,22520,22550,22550,25320,25430,110,2770,2880,module_3,module_4,48,0,110,22660,2770,2770,True
7,7,start_exact,20000,22940,22970,22970,25430,25540,110,2460,2570,module_3,module_4,49,0,110,23080,2460,2460,True
8,8,start_exact,20000,23360,23390,23390,25540,25650,110,2150,2260,module_3,module_4,50,0,110,23500,2150,2150,True
9,9,start_exact,20000,23780,23810,23810,25650,25760,110,1840,1950,module_3,module_4,51,0,110,23920,1840,1840,True
10,10,start_exact,20000,24200,24230,24230,25760,25870,110,1530,1640,module_3,module_4,52,0,110,24340,1530,1530,True
11,11,start_exact,20000,24620,24650,24650,25870,25980,110,1220,1330,module_3,module_4,53,0,110,24760,1220,1220,True
12,12,start_exact,20000,25040,25070,25070,25980,26090,110,910,1020,module_3,module_4,54,0,110,25180,910,910,True
13,13,start_exact,20000,25460,25490,25490,26090,26200,110,600,710,module_3,module_4,55,0,110,25600,600,600,True
14,14,start_exact,20000,25880,25910,25910,26200,26310,110,290,400,module_3,module_4,56,0,110,26020,290,290,True
15,15,start_exact,20000,26300,26330,26330,26330,26440,110,0,110,module_3,module_4,57,0,110,26440,0,0,False
16,16,start_exact,20000,26720,26750,26750,26750,26860,110,0,110,module_3,module_4,58,0,110,26860,0,0,False
17,17,start_exact,20000,27140,27170,27170,27170,27280,110,0,110,module_3,module_4,59,0,110,27280,0,0,False
18,18,start_exact,20000,27560,27590,27590,27590,27700,110,0,110,module_3,module_4,60,0,110,27700,0,0,False
