attacker_request_id,probe_id,window_name,observation_duration_ns,round_start_time_ns,request_release_time_ns,actual_arrival_time_ns,service_start_time_ns,victim_on_completion_time_ns,service_time_ns,victim_on_waiting_time_ns,victim_on_turnaround_time_ns,source_module,target_modules,architecture_request_id,baseline_waiting_time_ns,baseline_turnaround_time_ns,baseline_completion_time_ns,excess_waiting_time_ns,excess_turnaround_time_ns,victim_contention_observed
0,0,start_m1us,20000,19000,19030,19030,19030,19140,110,0,110,module_3,module_4,0,0,110,19140,0,0,False
1,1,start_m1us,20000,19420,19450,19450,19450,19560,110,0,110,module_3,module_4,1,0,110,19560,0,0,False
2,2,start_m1us,20000,19840,19870,19870,19870,19980,110,0,110,module_3,module_4,2,0,110,19980,0,0,False
3,3,start_m1us,20000,20260,20290,20290,23565,23675,110,3275,3385,module_3,module_4,35,0,110,20400,3275,3275,True
4,4,start_m1us,20000,20680,20710,20710,24785,24895,110,4075,4185,module_3,module_4,46,0,110,20820,4075,4075,True
5,5,start_m1us,20000,21100,21130,21130,24895,25005,110,3765,3875,module_3,module_4,47,0,110,21240,3765,3765,True
6,6,start_m1us,20000,21520,21550,21550,25005,25115,110,3455,3565,module_3,module_4,48,0,110,21660,3455,3455,True
7,7,start_m1us,20000,21940,21970,21970,25115,25225,110,3145,3255,module_3,module_4,49,0,110,22080,3145,3145,True
8,8,start_m1us,20000,22360,22390,22390,25225,25335,110,2835,2945,module_3,module_4,50,0,110,22500,2835,2835,True
9,9,start_m1us,20000,22780,22810,22810,25335,25445,110,2525,2635,module_3,module_4,51,0,110,22920,2525,2525,True
10,10,start_m1us,20000,23200,23230,23230,25445,25555,110,2215,2325,module_3,module_4,52,0,110,23340,2215,2215,True
11,11,start_m1us,20000,23620,23650,23650,25555,25665,110,1905,2015,module_3,module_4,53,0,110,23760,1905,1905,True
12,12,start_m1us,20000,24040,24070,24070,25665,25775,110,1595,1705,module_3,module_4,54,0,110,24180,1595,1595,True
13,13,start_m1us,20000,24460,24490,24490,25775,25885,110,1285,1395,module_3,module_4,55,0,110,24600,1285,1285,True
14,14,start_m1us,20000,24880,24910,24910,25885,25995,110,975,1085,module_3,module_4,56,0,110,25020,975,975,True
15,15,start_m1us,20000,25300,25330,25330,25995,26105,110,665,775,module_3,module_4,57,0,110,25440,665,665,True
16,16,start_m1us,20000,25720,25750,25750,26105,26215,110,355,465,module_3,module_4,58,0,110,25860,355,355,True
17,17,start_m1us,20000,26140,26170,26170,26215,26325,110,45,155,module_3,module_4,59,0,110,26280,45,45,True
18,18,start_m1us,20000,26560,26590,26590,26590,26700,110,0,110,module_3,module_4,60,0,110,26700,0,0,False
19,19,start_m1us,20000,26980,27010,27010,27010,27120,110,0,110,module_3,module_4,61,0,110,27120,0,0,False
20,20,start_m1us,20000,27400,27430,27430,27430,27540,110,0,110,module_3,module_4,62,0,110,27540,0,0,False
21,21,start_m1us,20000,27820,27850,27850,27850,27960,110,0,110,module_3,module_4,63,0,110,27960,0,0,False
22,22,start_m1us,20000,28240,28270,28270,28270,28380,110,0,110,module_3,module_4,64,0,110,28380,0,0,False
23,23,start_m1us,20000,28660,28690,28690,28690,28800,110,0,110,module_3,module_4,65,0,110,28800,0,0,False
24,24,start_m1us,20000,29080,29110,29110,29110,29220,110,0,110,module_3,module_4,66,0,110,29220,0,0,False
25,25,start_m1us,20000,29500,29530,29530,29530,29640,110,0,110,module_3,module_4,67,0,110,29640,0,0,False
26,26,start_m1us,20000,29920,29950,29950,29950,30060,110,0,110,module_3,module_4,68,0,110,30060,0,0,False
27,27,start_m1us,20000,30340,30370,30370,30370,30480,110,0,110,module_3,module_4,69,0,110,30480,0,0,False
28,28,start_m1us,20000,30760,30790,30790,30790,30900,110,0,110,module_3,module_4,70,0,110,30900,0,0,False
29,29,start_m1us,20000,31180,31210,31210,31210,31320,110,0,110,module_3,module_4,71,0,110,31320,0,0,False
30,30,start_m1us,20000,31600,31630,31630,31630,31740,110,0,110,module_3,module_4,72,0,110,31740,0,0,False
31,31,start_m1us,20000,32020,32050,32050,32050,32160,110,0,110,module_3,module_4,73,0,110,32160,0,0,False
32,32,start_m1us,20000,32440,32470,32470,32470,32580,110,0,110,module_3,module_4,74,0,110,32580,0,0,False
33,33,start_m1us,20000,32860,32890,32890,32890,33000,110,0,110,module_3,module_4,75,0,110,33000,0,0,False
34,34,start_m1us,20000,33280,33310,33310,33310,33420,110,0,110,module_3,module_4,76,0,110,33420,0,0,False
35,35,start_m1us,20000,33700,33730,33730,33730,33840,110,0,110,module_3,module_4,77,0,110,33840,0,0,False
36,36,start_m1us,20000,34120,34150,34150,34150,34260,110,0,110,module_3,module_4,78,0,110,34260,0,0,False
37,37,start_m1us,20000,34540,34570,34570,34570,34680,110,0,110,module_3,module_4,79,0,110,34680,0,0,False
38,38,start_m1us,20000,34960,34990,34990,34990,35100,110,0,110,module_3,module_4,80,0,110,35100,0,0,False
39,39,start_m1us,20000,35380,35410,35410,35410,35520,110,0,110,module_3,module_4,81,0,110,35520,0,0,False
40,40,start_m1us,20000,35800,35830,35830,35830,35940,110,0,110,module_3,module_4,82,0,110,35940,0,0,False
