run_type,victim_remote_event_id,victim_trace_step,op_name,qubits,source_module,target_modules,arrival_time_ns,service_start_time_ns,completion_time_ns,waiting_time_ns,turnaround_time_ns,service_time_ns
victim_present,0,6,cx,"0,6",module_0,module_1,20030,20030,20140,0,110,110
victim_present,1,7,cx,"1,8",module_0,module_1,20035,20140,20250,105,215,110
victim_present,2,8,cx,"2,10",module_0,module_1,20040,20250,20360,210,320,110
victim_present,3,9,cx,"3,6",module_0,module_1,20045,20360,20470,315,425,110
victim_present,4,10,cx,"3,7",module_0,module_1,20050,20470,20580,420,530,110
victim_present,5,11,cx,"4,8",module_0,module_1,20055,20580,20690,525,635,110
victim_present,6,12,cx,"4,9",module_0,module_1,20060,20690,20800,630,740,110
victim_present,7,13,cx,"5,10",module_0,module_1,20065,20800,20910,735,845,110
victim_present,8,14,cx,"5,11",module_0,module_1,20070,20910,21020,840,950,110
victim_present,9,25,ccx,"7,6,13",module_1,module_2,20125,21020,21130,895,1005,110
victim_present,10,26,ccx,"13,8,14",module_1,module_2,20130,21130,21240,1000,1110,110
victim_present,11,27,ccx,"14,9,15",module_1,module_2,20135,21240,21350,1105,1215,110
victim_present,12,28,ccx,"15,10,16",module_1,module_2,20140,21350,21460,1210,1320,110
victim_present,13,29,ccx,"16,11,17",module_1,module_2,20145,21460,21570,1315,1425,110
victim_present,14,31,ccx,"16,11,17",module_1,module_2,20155,21570,21680,1415,1525,110
victim_present,15,32,ccx,"15,10,16",module_1,module_2,20160,21680,21790,1520,1630,110
victim_present,16,33,ccx,"14,9,15",module_1,module_2,20165,21790,21900,1625,1735,110
victim_present,17,34,ccx,"13,8,14",module_1,module_2,20170,21900,22010,1730,1840,110
victim_present,18,35,ccx,"7,6,13",module_1,module_2,20175,22010,22120,1835,1945,110
victim_present,19,41,cx,"0,6",module_0,module_1,20205,22120,22230,1915,2025,110
victim_present,20,42,cx,"1,8",module_0,module_1,20210,22230,22340,2020,2130,110
victim_present,21,43,cx,"2,10",module_0,module_1,20215,22340,22450,2125,2235,110
victim_present,22,44,cx,"3,6",module_0,module_1,20220,22450,22560,2230,2340,110
victim_present,23,45,cx,"3,7",module_0,module_1,20225,22560,22670,2335,2445,110
victim_present,24,46,cx,"4,8",module_0,module_1,20230,22670,22780,2440,2550,110
victim_present,25,47,cx,"4,9",module_0,module_1,20235,22780,22890,2545,2655,110
victim_present,26,48,cx,"5,10",module_0,module_1,20240,22890,23000,2650,2760,110
victim_present,27,49,cx,"5,11",module_0,module_1,20245,23000,23110,2755,2865,110
victim_present,28,67,ccx,"1,0,13",module_0,module_2,20335,23110,23220,2775,2885,110
victim_present,29,68,ccx,"13,2,14",module_0,module_2,20340,23220,23330,2880,2990,110
victim_present,30,69,ccx,"14,3,15",module_0,module_2,20345,23330,23440,2985,3095,110
victim_present,31,70,ccx,"15,4,16",module_0,module_2,20350,23440,23550,3090,3200,110
victim_present,32,71,ccx,"16,5,17",module_0,module_2,20355,23550,23660,3195,3305,110
victim_present,33,73,ccx,"16,5,17",module_0,module_2,20365,23660,23770,3295,3405,110
victim_present,34,74,ccx,"15,4,16",module_0,module_2,20370,23770,23880,3400,3510,110
victim_present,35,75,ccx,"14,3,15",module_0,module_2,20375,23880,23990,3505,3615,110
victim_present,36,76,ccx,"13,2,14",module_0,module_2,20380,23990,24100,3610,3720,110
victim_present,37,77,ccx,"1,0,13",module_0,module_2,20385,24100,24210,3715,3825,110
victim_present,38,90,cx,"0,6",module_0,module_1,20450,24210,24320,3760,3870,110
victim_present,39,91,cx,"1,8",module_0,module_1,20455,24320,24430,3865,3975,110
victim_present,40,92,cx,"2,10",module_0,module_1,20460,24430,24540,3970,4080,110
victim_present,41,93,cx,"3,6",module_0,module_1,20465,24540,24650,4075,4185,110
victim_present,42,94,cx,"3,7",module_0,module_1,20470,24650,24760,4180,4290,110
victim_present,43,95,cx,"4,8",module_0,module_1,20475,24760,24870,4285,4395,110
victim_present,44,96,cx,"4,9",module_0,module_1,20480,24870,24980,4390,4500,110
victim_present,45,97,cx,"5,10",module_0,module_1,20485,24980,25090,4495,4605,110
victim_present,46,98,cx,"5,11",module_0,module_1,20490,25090,25200,4600,4710,110
victim_present,47,109,ccx,"7,6,13",module_1,module_2,20545,25200,25310,4655,4765,110
victim_present,48,110,ccx,"13,8,14",module_1,module_2,20550,25310,25420,4760,4870,110
victim_present,49,111,ccx,"14,9,15",module_1,module_2,20555,25420,25530,4865,4975,110
victim_present,50,112,ccx,"15,10,16",module_1,module_2,20560,25530,25640,4970,5080,110
victim_present,51,113,ccx,"16,11,17",module_1,module_2,20565,25640,25750,5075,5185,110
victim_present,52,115,ccx,"16,11,17",module_1,module_2,20575,25750,25860,5175,5285,110
victim_present,53,116,ccx,"15,10,16",module_1,module_2,20580,25860,25970,5280,5390,110
victim_present,54,117,ccx,"14,9,15",module_1,module_2,20585,25970,26080,5385,5495,110
victim_present,55,118,ccx,"13,8,14",module_1,module_2,20590,26080,26190,5490,5600,110
victim_present,56,119,ccx,"7,6,13",module_1,module_2,20595,26190,26300,5595,5705,110
victim_present,57,125,cx,"0,6",module_0,module_1,20625,26300,26410,5675,5785,110
victim_present,58,126,cx,"1,8",module_0,module_1,20630,26410,26520,5780,5890,110
victim_present,59,127,cx,"2,10",module_0,module_1,20635,26520,26630,5885,5995,110
victim_present,60,128,cx,"3,6",module_0,module_1,20640,26630,26740,5990,6100,110
victim_present,61,129,cx,"3,7",module_0,module_1,20645,26740,26850,6095,6205,110
victim_present,62,130,cx,"4,8",module_0,module_1,20650,26850,26960,6200,6310,110
victim_present,63,131,cx,"4,9",module_0,module_1,20655,26960,27070,6305,6415,110
victim_present,64,132,cx,"5,10",module_0,module_1,20660,27070,27180,6410,6520,110
victim_present,65,133,cx,"5,11",module_0,module_1,20665,27180,27290,6515,6625,110
victim_present,66,151,ccx,"1,0,13",module_0,module_2,20755,27290,27400,6535,6645,110
victim_present,67,152,ccx,"13,2,14",module_0,module_2,20760,27400,27510,6640,6750,110
victim_present,68,153,ccx,"14,3,15",module_0,module_2,20765,27510,27620,6745,6855,110
victim_present,69,154,ccx,"15,4,16",module_0,module_2,20770,27620,27730,6850,6960,110
victim_present,70,155,ccx,"16,5,17",module_0,module_2,20775,27730,27840,6955,7065,110
victim_present,71,157,ccx,"16,5,17",module_0,module_2,20785,27840,27950,7055,7165,110
victim_present,72,158,ccx,"15,4,16",module_0,module_2,20790,27950,28060,7160,7270,110
victim_present,73,159,ccx,"14,3,15",module_0,module_2,20795,28060,28170,7265,7375,110
victim_present,74,160,ccx,"13,2,14",module_0,module_2,20800,28170,28280,7370,7480,110
victim_present,75,161,ccx,"1,0,13",module_0,module_2,20805,28280,28390,7475,7585,110
victim_present,76,174,cx,"0,6",module_0,module_1,20870,28390,28500,7520,7630,110
victim_present,77,175,cx,"1,8",module_0,module_1,20875,28500,28610,7625,7735,110
victim_present,78,176,cx,"2,10",module_0,module_1,20880,28610,28720,7730,7840,110
victim_present,79,177,cx,"3,6",module_0,module_1,20885,28720,28830,7835,7945,110
victim_present,80,178,cx,"3,7",module_0,module_1,20890,28830,28940,7940,8050,110
victim_present,81,179,cx,"4,8",module_0,module_1,20895,28940,29050,8045,8155,110
victim_present,82,180,cx,"4,9",module_0,module_1,20900,29050,29160,8150,8260,110
victim_present,83,181,cx,"5,10",module_0,module_1,20905,29160,29270,8255,8365,110
victim_present,84,182,cx,"5,11",module_0,module_1,20910,29270,29380,8360,8470,110
victim_present,85,193,ccx,"7,6,13",module_1,module_2,20965,29380,29490,8415,8525,110
victim_present,86,194,ccx,"13,8,14",module_1,module_2,20970,29490,29600,8520,8630,110
victim_present,87,195,ccx,"14,9,15",module_1,module_2,20975,29600,29710,8625,8735,110
victim_present,88,196,ccx,"15,10,16",module_1,module_2,20980,29710,29820,8730,8840,110
victim_present,89,197,ccx,"16,11,17",module_1,module_2,20985,29820,29930,8835,8945,110
