run_type,victim_remote_event_id,victim_trace_step,op_name,qubits,source_module,target_modules,arrival_time_ns,service_start_time_ns,completion_time_ns,waiting_time_ns,turnaround_time_ns,service_time_ns
victim_present,0,511,cx,"5,6",module_0,module_1,22555,22640,22750,85,195,110
victim_present,1,514,cx,"6,5",module_0,module_1,22570,22750,22860,180,290,110
victim_present,2,517,cx,"5,6",module_0,module_1,22585,22860,22970,275,385,110
victim_present,3,523,cx,"5,6",module_0,module_1,22615,22970,23080,355,465,110
victim_present,4,526,cx,"6,5",module_0,module_1,22630,23080,23190,450,560,110
victim_present,5,529,cx,"5,6",module_0,module_1,22645,23190,23300,545,655,110
victim_present,6,535,cx,"5,6",module_0,module_1,22675,23300,23410,625,735,110
victim_present,7,538,cx,"6,5",module_0,module_1,22690,23410,23520,720,830,110
victim_present,8,541,cx,"5,6",module_0,module_1,22705,23520,23630,815,925,110
victim_present,9,661,cx,"11,12",module_1,module_2,23305,23740,23850,435,545,110
victim_present,10,664,cx,"12,11",module_1,module_2,23320,23850,23960,530,640,110
victim_present,11,667,cx,"11,12",module_1,module_2,23335,23960,24070,625,735,110
victim_present,12,673,cx,"11,12",module_1,module_2,23365,24070,24180,705,815,110
victim_present,13,676,cx,"12,11",module_1,module_2,23380,24290,24400,910,1020,110
victim_present,14,679,cx,"11,12",module_1,module_2,23395,24400,24510,1005,1115,110
victim_present,15,685,cx,"11,12",module_1,module_2,23425,24510,24620,1085,1195,110
victim_present,16,688,cx,"12,11",module_1,module_2,23440,24620,24730,1180,1290,110
victim_present,17,691,cx,"11,12",module_1,module_2,23455,24730,24840,1275,1385,110
victim_present,18,761,cx,"15,0",module_0,module_2,23805,24950,25060,1145,1255,110
victim_present,19,764,cx,"0,15",module_0,module_2,23820,25060,25170,1240,1350,110
victim_present,20,767,cx,"15,0",module_0,module_2,23835,25170,25280,1335,1445,110
victim_present,21,773,cx,"15,0",module_0,module_2,23865,25280,25390,1415,1525,110
victim_present,22,776,cx,"0,15",module_0,module_2,23880,25390,25500,1510,1620,110
victim_present,23,779,cx,"15,0",module_0,module_2,23895,25500,25610,1605,1715,110
victim_present,24,785,cx,"15,0",module_0,module_2,23925,25610,25720,1685,1795,110
victim_present,25,788,cx,"0,15",module_0,module_2,23940,25720,25830,1780,1890,110
victim_present,26,791,cx,"15,0",module_0,module_2,23955,25830,25940,1875,1985,110
victim_present,27,1040,cx,"5,6",module_0,module_1,25200,26270,26380,1070,1180,110
victim_present,28,1043,cx,"6,5",module_0,module_1,25215,26380,26490,1165,1275,110
victim_present,29,1046,cx,"5,6",module_0,module_1,25230,26490,26600,1260,1370,110
victim_present,30,1082,cx,"11,12",module_1,module_2,25410,26600,26710,1190,1300,110
victim_present,31,1085,cx,"12,11",module_1,module_2,25425,26710,26820,1285,1395,110
victim_present,32,1088,cx,"11,12",module_1,module_2,25440,26820,26930,1380,1490,110
victim_present,33,1110,cx,"15,0",module_0,module_2,25550,27040,27150,1490,1600,110
victim_present,34,1113,cx,"0,15",module_0,module_2,25565,27150,27260,1585,1695,110
victim_present,35,1116,cx,"15,0",module_0,module_2,25580,27260,27370,1680,1790,110
victim_present,36,1147,cx,"5,6",module_0,module_1,25735,27370,27480,1635,1745,110
victim_present,37,1150,cx,"6,5",module_0,module_1,25750,27480,27590,1730,1840,110
victim_present,38,1153,cx,"5,6",module_0,module_1,25765,27590,27700,1825,1935,110
victim_present,39,1183,cx,"11,12",module_1,module_2,25915,27810,27920,1895,2005,110
victim_present,40,1186,cx,"12,11",module_1,module_2,25930,27920,28030,1990,2100,110
victim_present,41,1189,cx,"11,12",module_1,module_2,25945,28030,28140,2085,2195,110
victim_present,42,1207,cx,"15,0",module_0,module_2,26035,28140,28250,2105,2215,110
victim_present,43,1210,cx,"0,15",module_0,module_2,26050,28250,28360,2200,2310,110
victim_present,44,1213,cx,"15,0",module_0,module_2,26065,28360,28470,2295,2405,110
victim_present,45,1727,cx,"5,6",module_0,module_1,28635,29130,29240,495,605,110
victim_present,46,1730,cx,"6,5",module_0,module_1,28650,29240,29350,590,700,110
victim_present,47,1733,cx,"5,6",module_0,module_1,28665,29350,29460,685,795,110
victim_present,48,1739,cx,"5,6",module_0,module_1,28695,29460,29570,765,875,110
victim_present,49,1742,cx,"6,5",module_0,module_1,28710,29570,29680,860,970,110
victim_present,50,1745,cx,"5,6",module_0,module_1,28725,29680,29790,955,1065,110
victim_present,51,1751,cx,"5,6",module_0,module_1,28755,29790,29900,1035,1145,110
victim_present,52,1754,cx,"6,5",module_0,module_1,28770,29900,30010,1130,1240,110
victim_present,53,1757,cx,"5,6",module_0,module_1,28785,30010,30120,1225,1335,110
victim_present,54,1877,cx,"11,12",module_1,module_2,29385,30340,30450,955,1065,110
victim_present,55,1880,cx,"12,11",module_1,module_2,29400,30450,30560,1050,1160,110
victim_present,56,1883,cx,"11,12",module_1,module_2,29415,30560,30670,1145,1255,110
victim_present,57,1889,cx,"11,12",module_1,module_2,29445,30670,30780,1225,1335,110
victim_present,58,1892,cx,"12,11",module_1,module_2,29460,30780,30890,1320,1430,110
victim_present,59,1895,cx,"11,12",module_1,module_2,29475,30890,31000,1415,1525,110
victim_present,60,1901,cx,"11,12",module_1,module_2,29505,31000,31110,1495,1605,110
victim_present,61,1904,cx,"12,11",module_1,module_2,29520,31110,31220,1590,1700,110
victim_present,62,1907,cx,"11,12",module_1,module_2,29535,31220,31330,1685,1795,110
