run_type,victim_remote_event_id,victim_trace_step,op_name,qubits,source_module,target_modules,arrival_time_ns,service_start_time_ns,completion_time_ns,waiting_time_ns,turnaround_time_ns,service_time_ns
victim_present,0,9,ccx,"1,2,9",module_0,module_2,20045,20045,20155,0,110,110
victim_present,1,10,ccx,"3,9,10",module_0,module_2,20050,20155,20265,105,215,110
victim_present,2,11,ccx,"4,10,5",module_1,module_2,20055,20265,20375,210,320,110
victim_present,3,12,ccx,"3,9,10",module_0,module_2,20060,20375,20485,315,425,110
victim_present,4,13,ccx,"1,2,9",module_0,module_2,20065,20485,20595,420,530,110
victim_present,5,17,ccx,"1,2,9",module_0,module_2,20085,20595,20705,510,620,110
victim_present,6,18,ccx,"3,9,10",module_0,module_2,20090,20705,20815,615,725,110
victim_present,7,19,ccx,"4,10,6",module_1,module_2,20095,20815,20925,720,830,110
victim_present,8,20,ccx,"3,9,10",module_0,module_2,20100,20925,21035,825,935,110
victim_present,9,21,ccx,"1,2,9",module_0,module_2,20105,21035,21145,930,1040,110
victim_present,10,24,ccx,"1,2,9",module_0,module_2,20120,21145,21255,1025,1135,110
victim_present,11,25,ccx,"3,9,10",module_0,module_2,20125,21255,21365,1130,1240,110
victim_present,12,26,ccx,"4,10,7",module_1,module_2,20130,21365,21475,1235,1345,110
victim_present,13,27,ccx,"3,9,10",module_0,module_2,20135,21475,21585,1340,1450,110
victim_present,14,28,ccx,"1,2,9",module_0,module_2,20140,21585,21695,1445,1555,110
victim_present,15,31,ccx,"2,3,8",module_0,module_2,20155,21695,21805,1540,1650,110
victim_present,16,34,ccx,"5,6,9",module_1,module_2,20170,21805,21915,1635,1745,110
victim_present,17,35,ccx,"7,9,10",module_1,module_2,20175,21915,22025,1740,1850,110
victim_present,18,36,ccx,"8,10,0",module_0,module_2,20180,22025,22135,1845,1955,110
victim_present,19,37,ccx,"7,9,10",module_1,module_2,20185,22135,22245,1950,2060,110
victim_present,20,38,ccx,"5,6,9",module_1,module_2,20190,22245,22355,2055,2165,110
victim_present,21,41,ccx,"2,3,8",module_0,module_2,20205,22355,22465,2150,2260,110
victim_present,22,44,ccx,"1,2,9",module_0,module_2,20220,22465,22575,2245,2355,110
victim_present,23,45,ccx,"3,9,10",module_0,module_2,20225,22575,22685,2350,2460,110
victim_present,24,46,ccx,"4,10,7",module_1,module_2,20230,22685,22795,2455,2565,110
victim_present,25,47,ccx,"3,9,10",module_0,module_2,20235,22795,22905,2560,2670,110
victim_present,26,48,ccx,"1,2,9",module_0,module_2,20240,22905,23015,2665,2775,110
victim_present,27,51,ccx,"1,2,9",module_0,module_2,20255,23015,23125,2760,2870,110
victim_present,28,52,ccx,"3,9,10",module_0,module_2,20260,23125,23235,2865,2975,110
victim_present,29,53,ccx,"4,10,6",module_1,module_2,20265,23235,23345,2970,3080,110
victim_present,30,54,ccx,"3,9,10",module_0,module_2,20270,23345,23455,3075,3185,110
victim_present,31,55,ccx,"1,2,9",module_0,module_2,20275,23455,23565,3180,3290,110
victim_present,32,59,ccx,"1,2,9",module_0,module_2,20295,23565,23675,3270,3380,110
victim_present,33,60,ccx,"3,9,10",module_0,module_2,20300,23675,23785,3375,3485,110
victim_present,34,61,ccx,"4,10,5",module_1,module_2,20305,23785,23895,3480,3590,110
victim_present,35,62,ccx,"3,9,10",module_0,module_2,20310,23895,24005,3585,3695,110
victim_present,36,63,ccx,"1,2,9",module_0,module_2,20315,24005,24115,3690,3800,110
victim_present,37,75,ccx,"1,2,9",module_0,module_2,20375,24115,24225,3740,3850,110
victim_present,38,76,ccx,"3,9,10",module_0,module_2,20380,24225,24335,3845,3955,110
victim_present,39,77,ccx,"4,10,0",module_0,"module_1,module_2",20385,24335,24455,3950,4070,120
victim_present,40,78,ccx,"3,9,10",module_0,module_2,20390,24455,24565,4065,4175,110
victim_present,41,79,ccx,"1,2,9",module_0,module_2,20395,24565,24675,4170,4280,110
