victim_remote_event_id,victim_trace_step,op_name,qubits,source_module,target_modules,arrival_time_ns,service_start_time_ns,completion_time_ns,waiting_time_ns,turnaround_time_ns,service_time_ns
0,20,barrier,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",module_0,"module_1,module_2",100,100,220,0,120,120
1,21,cx,"0,18",module_0,module_2,105,220,330,115,225,110
2,22,cx,"1,18",module_0,module_2,110,330,440,220,330,110
3,23,cx,"2,18",module_0,module_2,115,440,550,325,435,110
4,24,cx,"3,18",module_0,module_2,120,550,660,430,540,110
5,25,cx,"4,18",module_0,module_2,125,660,770,535,645,110
6,26,cx,"5,18",module_0,module_2,130,770,880,640,750,110
7,27,cx,"6,18",module_0,module_2,135,880,990,745,855,110
8,28,cx,"7,18",module_1,module_2,140,990,1100,850,960,110
9,29,cx,"8,18",module_1,module_2,145,1100,1210,955,1065,110
10,30,cx,"9,18",module_1,module_2,150,1210,1320,1060,1170,110
11,31,cx,"10,18",module_1,module_2,155,1320,1430,1165,1275,110
12,32,cx,"11,18",module_1,module_2,160,1430,1540,1270,1380,110
13,33,cx,"12,18",module_1,module_2,165,1540,1650,1375,1485,110
14,34,cx,"13,18",module_1,module_2,170,1650,1760,1480,1590,110
15,39,barrier,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",module_0,"module_1,module_2",195,1760,1880,1565,1685,120
