victim_remote_event_id,victim_trace_step,op_name,qubits,source_module,target_modules,arrival_time_ns,service_start_time_ns,completion_time_ns,waiting_time_ns,turnaround_time_ns,service_time_ns
0,511,cx,"5,6",module_0,module_1,2555,2555,2665,0,110,110
1,514,cx,"6,5",module_0,module_1,2570,2665,2775,95,205,110
2,517,cx,"5,6",module_0,module_1,2585,2775,2885,190,300,110
3,523,cx,"5,6",module_0,module_1,2615,2885,2995,270,380,110
4,526,cx,"6,5",module_0,module_1,2630,2995,3105,365,475,110
5,529,cx,"5,6",module_0,module_1,2645,3105,3215,460,570,110
6,535,cx,"5,6",module_0,module_1,2675,3215,3325,540,650,110
7,538,cx,"6,5",module_0,module_1,2690,3325,3435,635,745,110
8,541,cx,"5,6",module_0,module_1,2705,3435,3545,730,840,110
9,661,cx,"11,12",module_1,module_2,3305,3545,3655,240,350,110
10,664,cx,"12,11",module_1,module_2,3320,3655,3765,335,445,110
11,667,cx,"11,12",module_1,module_2,3335,3765,3875,430,540,110
12,673,cx,"11,12",module_1,module_2,3365,3875,3985,510,620,110
13,676,cx,"12,11",module_1,module_2,3380,3985,4095,605,715,110
14,679,cx,"11,12",module_1,module_2,3395,4095,4205,700,810,110
15,685,cx,"11,12",module_1,module_2,3425,4205,4315,780,890,110
16,688,cx,"12,11",module_1,module_2,3440,4315,4425,875,985,110
17,691,cx,"11,12",module_1,module_2,3455,4425,4535,970,1080,110
18,761,cx,"15,0",module_0,module_2,3805,4535,4645,730,840,110
19,764,cx,"0,15",module_0,module_2,3820,4645,4755,825,935,110
20,767,cx,"15,0",module_0,module_2,3835,4755,4865,920,1030,110
21,773,cx,"15,0",module_0,module_2,3865,4865,4975,1000,1110,110
22,776,cx,"0,15",module_0,module_2,3880,4975,5085,1095,1205,110
23,779,cx,"15,0",module_0,module_2,3895,5085,5195,1190,1300,110
24,785,cx,"15,0",module_0,module_2,3925,5195,5305,1270,1380,110
25,788,cx,"0,15",module_0,module_2,3940,5305,5415,1365,1475,110
26,791,cx,"15,0",module_0,module_2,3955,5415,5525,1460,1570,110
27,1040,cx,"5,6",module_0,module_1,5200,5525,5635,325,435,110
28,1043,cx,"6,5",module_0,module_1,5215,5635,5745,420,530,110
29,1046,cx,"5,6",module_0,module_1,5230,5745,5855,515,625,110
30,1082,cx,"11,12",module_1,module_2,5410,5855,5965,445,555,110
31,1085,cx,"12,11",module_1,module_2,5425,5965,6075,540,650,110
32,1088,cx,"11,12",module_1,module_2,5440,6075,6185,635,745,110
33,1110,cx,"15,0",module_0,module_2,5550,6185,6295,635,745,110
34,1113,cx,"0,15",module_0,module_2,5565,6295,6405,730,840,110
35,1116,cx,"15,0",module_0,module_2,5580,6405,6515,825,935,110
36,1147,cx,"5,6",module_0,module_1,5735,6515,6625,780,890,110
37,1150,cx,"6,5",module_0,module_1,5750,6625,6735,875,985,110
38,1153,cx,"5,6",module_0,module_1,5765,6735,6845,970,1080,110
39,1183,cx,"11,12",module_1,module_2,5915,6845,6955,930,1040,110
40,1186,cx,"12,11",module_1,module_2,5930,6955,7065,1025,1135,110
41,1189,cx,"11,12",module_1,module_2,5945,7065,7175,1120,1230,110
42,1207,cx,"15,0",module_0,module_2,6035,7175,7285,1140,1250,110
43,1210,cx,"0,15",module_0,module_2,6050,7285,7395,1235,1345,110
44,1213,cx,"15,0",module_0,module_2,6065,7395,7505,1330,1440,110
45,1727,cx,"5,6",module_0,module_1,8635,8635,8745,0,110,110
46,1730,cx,"6,5",module_0,module_1,8650,8745,8855,95,205,110
47,1733,cx,"5,6",module_0,module_1,8665,8855,8965,190,300,110
48,1739,cx,"5,6",module_0,module_1,8695,8965,9075,270,380,110
49,1742,cx,"6,5",module_0,module_1,8710,9075,9185,365,475,110
50,1745,cx,"5,6",module_0,module_1,8725,9185,9295,460,570,110
51,1751,cx,"5,6",module_0,module_1,8755,9295,9405,540,650,110
52,1754,cx,"6,5",module_0,module_1,8770,9405,9515,635,745,110
53,1757,cx,"5,6",module_0,module_1,8785,9515,9625,730,840,110
54,1877,cx,"11,12",module_1,module_2,9385,9625,9735,240,350,110
55,1880,cx,"12,11",module_1,module_2,9400,9735,9845,335,445,110
56,1883,cx,"11,12",module_1,module_2,9415,9845,9955,430,540,110
57,1889,cx,"11,12",module_1,module_2,9445,9955,10065,510,620,110
58,1892,cx,"12,11",module_1,module_2,9460,10065,10175,605,715,110
59,1895,cx,"11,12",module_1,module_2,9475,10175,10285,700,810,110
60,1901,cx,"11,12",module_1,module_2,9505,10285,10395,780,890,110
61,1904,cx,"12,11",module_1,module_2,9520,10395,10505,875,985,110
62,1907,cx,"11,12",module_1,module_2,9535,10505,10615,970,1080,110
63,1977,cx,"15,0",module_0,module_2,9885,10615,10725,730,840,110
64,1980,cx,"0,15",module_0,module_2,9900,10725,10835,825,935,110
65,1983,cx,"15,0",module_0,module_2,9915,10835,10945,920,1030,110
66,1989,cx,"15,0",module_0,module_2,9945,10945,11055,1000,1110,110
67,1992,cx,"0,15",module_0,module_2,9960,11055,11165,1095,1205,110
68,1995,cx,"15,0",module_0,module_2,9975,11165,11275,1190,1300,110
69,2001,cx,"15,0",module_0,module_2,10005,11275,11385,1270,1380,110
70,2004,cx,"0,15",module_0,module_2,10020,11385,11495,1365,1475,110
71,2007,cx,"15,0",module_0,module_2,10035,11495,11605,1460,1570,110
