probe_id,round_start_time_ns,planned_request_release_time_ns,actual_arrival_time_ns,service_start_time_ns,victim_on_completion_time_ns,service_time_ns,victim_on_waiting_time_ns,victim_on_turnaround_time_ns,source_module,target_modules,request_id,baseline_waiting_time_ns,baseline_turnaround_time_ns,baseline_completion_time_ns,excess_waiting_time_ns,excess_turnaround_time_ns,victim_contention_observed
0,0,360,360,360,470,110,0,110,module_3,module_4,0,0,110,470,0,0,False
1,420,780,780,780,890,110,0,110,module_3,module_4,29,0,110,890,0,0,False
2,840,1200,1200,1200,1310,110,0,110,module_3,module_4,52,0,110,1310,0,0,False
3,1260,1620,1620,1620,1730,110,0,110,module_3,module_4,75,0,110,1730,0,0,False
4,1680,2040,2040,2040,2150,110,0,110,module_3,module_4,102,0,110,2150,0,0,False
5,2100,2460,2460,2460,2570,110,0,110,module_3,module_4,135,0,110,2570,0,0,False
6,2520,2880,2880,2880,2990,110,0,110,module_3,module_4,165,0,110,2990,0,0,False
7,2940,3300,3300,3300,3410,110,0,110,module_3,module_4,193,0,110,3410,0,0,False
8,3360,3720,3720,3720,3830,110,0,110,module_3,module_4,219,0,110,3830,0,0,False
9,3780,4140,4140,4140,4250,110,0,110,module_3,module_4,226,0,110,4250,0,0,False
10,4200,4560,4560,4560,4670,110,0,110,module_3,module_4,227,0,110,4670,0,0,False
11,4620,4980,4980,4980,5090,110,0,110,module_3,module_4,228,0,110,5090,0,0,False
12,5040,5400,5400,5400,5510,110,0,110,module_3,module_4,229,0,110,5510,0,0,False
13,5460,5820,5820,5820,5930,110,0,110,module_3,module_4,230,0,110,5930,0,0,False
14,5880,6240,6240,6240,6350,110,0,110,module_3,module_4,231,0,110,6350,0,0,False
15,6300,6660,6660,6660,6770,110,0,110,module_3,module_4,232,0,110,6770,0,0,False
16,6720,7080,7080,7080,7190,110,0,110,module_3,module_4,233,0,110,7190,0,0,False
17,7140,7500,7500,7500,7610,110,0,110,module_3,module_4,234,0,110,7610,0,0,False
18,7560,7920,7920,7920,8030,110,0,110,module_3,module_4,235,0,110,8030,0,0,False
19,7980,8340,8340,8340,8450,110,0,110,module_3,module_4,236,0,110,8450,0,0,False
20,8400,8760,8760,8760,8870,110,0,110,module_3,module_4,237,0,110,8870,0,0,False
21,8820,9180,9180,9180,9290,110,0,110,module_3,module_4,238,0,110,9290,0,0,False
22,9240,9600,9600,9600,9710,110,0,110,module_3,module_4,239,0,110,9710,0,0,False
23,9660,10020,10020,10020,10130,110,0,110,module_3,module_4,240,0,110,10130,0,0,False
24,10080,10440,10440,10440,10550,110,0,110,module_3,module_4,241,0,110,10550,0,0,False
25,10500,10860,10860,10860,10970,110,0,110,module_3,module_4,242,0,110,10970,0,0,False
26,10920,11280,11280,11280,11390,110,0,110,module_3,module_4,243,0,110,11390,0,0,False
27,11340,11700,11700,11700,11810,110,0,110,module_3,module_4,244,0,110,11810,0,0,False
28,11760,12120,12120,12120,12230,110,0,110,module_3,module_4,245,0,110,12230,0,0,False
29,12180,12540,12540,12540,12650,110,0,110,module_3,module_4,246,0,110,12650,0,0,False
30,12600,12960,12960,12960,13070,110,0,110,module_3,module_4,247,0,110,13070,0,0,False
31,13020,13380,13380,13380,13490,110,0,110,module_3,module_4,248,0,110,13490,0,0,False
32,13440,13800,13800,13800,13910,110,0,110,module_3,module_4,249,0,110,13910,0,0,False
33,13860,14220,14220,14220,14330,110,0,110,module_3,module_4,250,0,110,14330,0,0,False
34,14280,14640,14640,14640,14750,110,0,110,module_3,module_4,251,0,110,14750,0,0,False
35,14700,15060,15060,15060,15170,110,0,110,module_3,module_4,252,0,110,15170,0,0,False
36,15120,15480,15480,15480,15590,110,0,110,module_3,module_4,253,0,110,15590,0,0,False
37,15540,15900,15900,15900,16010,110,0,110,module_3,module_4,254,0,110,16010,0,0,False
38,15960,16320,16320,16320,16430,110,0,110,module_3,module_4,255,0,110,16430,0,0,False
