spacing_name,probe_id,remote_probe_release_time_ns,preceding_interval_ns
spacing_uniform,0,1030,
spacing_uniform,1,1450,420.0
spacing_uniform,2,1870,420.0
spacing_uniform,3,2290,420.0
spacing_uniform,4,2710,420.0
spacing_uniform,5,3130,420.0
spacing_uniform,6,3550,420.0
spacing_uniform,7,3970,420.0
spacing_uniform,8,4390,420.0
spacing_uniform,9,4810,420.0
spacing_uniform,10,5230,420.0
spacing_uniform,11,5650,420.0
spacing_uniform,12,6070,420.0
spacing_uniform,13,6490,420.0
spacing_uniform,14,6910,420.0
spacing_uniform,15,7330,420.0
spacing_uniform,16,7750,420.0
spacing_uniform,17,8170,420.0
spacing_uniform,18,8590,420.0
spacing_uniform,19,9010,420.0
spacing_uniform,20,9430,420.0
spacing_uniform,21,9850,420.0
spacing_uniform,22,10270,420.0
spacing_uniform,23,10690,420.0
spacing_uniform,24,11110,420.0
spacing_uniform,25,11530,420.0
spacing_uniform,26,11950,420.0
spacing_uniform,27,12370,420.0
spacing_uniform,28,12790,420.0
spacing_uniform,29,13210,420.0
spacing_uniform,30,13630,420.0
spacing_uniform,31,14050,420.0
spacing_uniform,32,14470,420.0
spacing_uniform,33,14890,420.0
spacing_uniform,34,15310,420.0
spacing_uniform,35,15730,420.0
spacing_uniform,36,16150,420.0
spacing_uniform,37,16570,420.0
spacing_uniform,38,16990,420.0
spacing_uniform,39,17410,420.0
spacing_uniform,40,17830,420.0
spacing_uniform,41,18250,420.0
spacing_uniform,42,18670,420.0
spacing_uniform,43,19090,420.0
spacing_uniform,44,19510,420.0
spacing_uniform,45,19930,420.0
spacing_uniform,46,20350,420.0
spacing_uniform,47,20770,420.0
spacing_alternating_mild,0,1030,
spacing_alternating_mild,1,1310,280.0
spacing_alternating_mild,2,1870,560.0
spacing_alternating_mild,3,2150,280.0
spacing_alternating_mild,4,2710,560.0
spacing_alternating_mild,5,2990,280.0
spacing_alternating_mild,6,3550,560.0
spacing_alternating_mild,7,3830,280.0
spacing_alternating_mild,8,4390,560.0
spacing_alternating_mild,9,4670,280.0
spacing_alternating_mild,10,5230,560.0
spacing_alternating_mild,11,5510,280.0
spacing_alternating_mild,12,6070,560.0
spacing_alternating_mild,13,6350,280.0
spacing_alternating_mild,14,6910,560.0
spacing_alternating_mild,15,7190,280.0
spacing_alternating_mild,16,7750,560.0
spacing_alternating_mild,17,8030,280.0
spacing_alternating_mild,18,8590,560.0
spacing_alternating_mild,19,8870,280.0
spacing_alternating_mild,20,9430,560.0
spacing_alternating_mild,21,9710,280.0
spacing_alternating_mild,22,10270,560.0
spacing_alternating_mild,23,10550,280.0
spacing_alternating_mild,24,11110,560.0
spacing_alternating_mild,25,11390,280.0
spacing_alternating_mild,26,11950,560.0
spacing_alternating_mild,27,12230,280.0
spacing_alternating_mild,28,12790,560.0
spacing_alternating_mild,29,13070,280.0
spacing_alternating_mild,30,13630,560.0
spacing_alternating_mild,31,13910,280.0
spacing_alternating_mild,32,14470,560.0
spacing_alternating_mild,33,14750,280.0
spacing_alternating_mild,34,15310,560.0
spacing_alternating_mild,35,15590,280.0
spacing_alternating_mild,36,16150,560.0
spacing_alternating_mild,37,16430,280.0
spacing_alternating_mild,38,16990,560.0
spacing_alternating_mild,39,17270,280.0
spacing_alternating_mild,40,17830,560.0
spacing_alternating_mild,41,18110,280.0
spacing_alternating_mild,42,18670,560.0
spacing_alternating_mild,43,18950,280.0
spacing_alternating_mild,44,19510,560.0
spacing_alternating_mild,45,19790,280.0
spacing_alternating_mild,46,20350,560.0
spacing_alternating_mild,47,20770,420.0
spacing_alternating_strong,0,1030,
spacing_alternating_strong,1,1170,140.0
spacing_alternating_strong,2,1870,700.0
spacing_alternating_strong,3,2010,140.0
spacing_alternating_strong,4,2710,700.0
spacing_alternating_strong,5,2850,140.0
spacing_alternating_strong,6,3550,700.0
spacing_alternating_strong,7,3690,140.0
spacing_alternating_strong,8,4390,700.0
spacing_alternating_strong,9,4530,140.0
spacing_alternating_strong,10,5230,700.0
spacing_alternating_strong,11,5370,140.0
spacing_alternating_strong,12,6070,700.0
spacing_alternating_strong,13,6210,140.0
spacing_alternating_strong,14,6910,700.0
spacing_alternating_strong,15,7050,140.0
spacing_alternating_strong,16,7750,700.0
spacing_alternating_strong,17,7890,140.0
spacing_alternating_strong,18,8590,700.0
spacing_alternating_strong,19,8730,140.0
spacing_alternating_strong,20,9430,700.0
spacing_alternating_strong,21,9570,140.0
spacing_alternating_strong,22,10270,700.0
spacing_alternating_strong,23,10410,140.0
spacing_alternating_strong,24,11110,700.0
spacing_alternating_strong,25,11250,140.0
spacing_alternating_strong,26,11950,700.0
spacing_alternating_strong,27,12090,140.0
spacing_alternating_strong,28,12790,700.0
spacing_alternating_strong,29,12930,140.0
spacing_alternating_strong,30,13630,700.0
spacing_alternating_strong,31,13770,140.0
spacing_alternating_strong,32,14470,700.0
spacing_alternating_strong,33,14610,140.0
spacing_alternating_strong,34,15310,700.0
spacing_alternating_strong,35,15450,140.0
spacing_alternating_strong,36,16150,700.0
spacing_alternating_strong,37,16290,140.0
spacing_alternating_strong,38,16990,700.0
spacing_alternating_strong,39,17130,140.0
spacing_alternating_strong,40,17830,700.0
spacing_alternating_strong,41,17970,140.0
spacing_alternating_strong,42,18670,700.0
spacing_alternating_strong,43,18810,140.0
spacing_alternating_strong,44,19510,700.0
spacing_alternating_strong,45,19650,140.0
spacing_alternating_strong,46,20350,700.0
spacing_alternating_strong,47,20770,420.0
spacing_burst4,0,1030,
spacing_burst4,1,1170,140.0
spacing_burst4,2,1310,140.0
spacing_burst4,3,1450,140.0
spacing_burst4,4,2710,1260.0
spacing_burst4,5,2850,140.0
spacing_burst4,6,2990,140.0
spacing_burst4,7,3130,140.0
spacing_burst4,8,4390,1260.0
spacing_burst4,9,4530,140.0
spacing_burst4,10,4670,140.0
spacing_burst4,11,4810,140.0
spacing_burst4,12,6070,1260.0
spacing_burst4,13,6210,140.0
spacing_burst4,14,6350,140.0
spacing_burst4,15,6490,140.0
spacing_burst4,16,7750,1260.0
spacing_burst4,17,7890,140.0
spacing_burst4,18,8030,140.0
spacing_burst4,19,8170,140.0
spacing_burst4,20,9430,1260.0
spacing_burst4,21,9570,140.0
spacing_burst4,22,9710,140.0
spacing_burst4,23,9850,140.0
spacing_burst4,24,11110,1260.0
spacing_burst4,25,11250,140.0
spacing_burst4,26,11390,140.0
spacing_burst4,27,11530,140.0
spacing_burst4,28,12790,1260.0
spacing_burst4,29,12930,140.0
spacing_burst4,30,13070,140.0
spacing_burst4,31,13210,140.0
spacing_burst4,32,14470,1260.0
