attacker_request_id,probe_id,spacing_name,round_start_time_ns,request_release_time_ns,preceding_interval_ns,actual_arrival_time_ns,service_start_time_ns,victim_on_completion_time_ns,service_time_ns,victim_on_waiting_time_ns,victim_on_turnaround_time_ns,source_module,target_modules,architecture_request_id,baseline_waiting_time_ns,baseline_turnaround_time_ns,baseline_completion_time_ns,excess_waiting_time_ns,excess_turnaround_time_ns,victim_contention_observed
0,0,spacing_alternating_mild,1000,1030,,1030,1030,1140,110,0,110,module_3,module_4,0,0,110,1140,0,0,False
1,1,spacing_alternating_mild,1280,1310,280.0,1310,1310,1420,110,0,110,module_3,module_4,1,0,110,1420,0,0,False
2,2,spacing_alternating_mild,1840,1870,560.0,1870,1870,1980,110,0,110,module_3,module_4,2,0,110,1980,0,0,False
3,3,spacing_alternating_mild,2120,2150,280.0,2150,2150,2260,110,0,110,module_3,module_4,3,0,110,2260,0,0,False
4,4,spacing_alternating_mild,2680,2710,560.0,2710,2710,2820,110,0,110,module_3,module_4,4,0,110,2820,0,0,False
5,5,spacing_alternating_mild,2960,2990,280.0,2990,2990,3100,110,0,110,module_3,module_4,5,0,110,3100,0,0,False
6,6,spacing_alternating_mild,3520,3550,560.0,3550,3550,3660,110,0,110,module_3,module_4,6,0,110,3660,0,0,False
7,7,spacing_alternating_mild,3800,3830,280.0,3830,4650,4760,110,820,930,module_3,module_4,16,0,110,3940,820,820,True
8,8,spacing_alternating_mild,4360,4390,560.0,4390,5310,5420,110,920,1030,module_3,module_4,22,0,110,4500,920,920,True
9,9,spacing_alternating_mild,4640,4670,280.0,4670,5860,5970,110,1190,1300,module_3,module_4,27,0,110,4780,1190,1190,True
10,10,spacing_alternating_mild,5200,5230,560.0,5230,6960,7070,110,1730,1840,module_3,module_4,37,0,110,5340,1730,1730,True
11,11,spacing_alternating_mild,5480,5510,280.0,5510,7070,7180,110,1560,1670,module_3,module_4,38,0,110,5620,1560,1560,True
12,12,spacing_alternating_mild,6040,6070,560.0,6070,7180,7290,110,1110,1220,module_3,module_4,39,0,110,6180,1110,1110,True
13,13,spacing_alternating_mild,6320,6350,280.0,6350,7620,7730,110,1270,1380,module_3,module_4,43,0,110,6460,1270,1270,True
14,14,spacing_alternating_mild,6880,6910,560.0,6910,8720,8830,110,1810,1920,module_3,module_4,53,0,110,7020,1810,1810,True
15,15,spacing_alternating_mild,7160,7190,280.0,7190,9490,9600,110,2300,2410,module_3,module_4,60,0,110,7300,2300,2300,True
16,16,spacing_alternating_mild,7720,7750,560.0,7750,9600,9710,110,1850,1960,module_3,module_4,61,0,110,7860,1850,1850,True
17,17,spacing_alternating_mild,8000,8030,280.0,8030,9710,9820,110,1680,1790,module_3,module_4,62,0,110,8140,1680,1680,True
18,18,spacing_alternating_mild,8560,8590,560.0,8590,9820,9930,110,1230,1340,module_3,module_4,63,0,110,8700,1230,1230,True
19,19,spacing_alternating_mild,8840,8870,280.0,8870,9930,10040,110,1060,1170,module_3,module_4,64,0,110,8980,1060,1060,True
20,20,spacing_alternating_mild,9400,9430,560.0,9430,10040,10150,110,610,720,module_3,module_4,65,0,110,9540,610,610,True
21,21,spacing_alternating_mild,9680,9710,280.0,9710,10700,10810,110,990,1100,module_3,module_4,71,0,110,9820,990,990,True
22,22,spacing_alternating_mild,10240,10270,560.0,10270,11250,11360,110,980,1090,module_3,module_4,76,0,110,10380,980,980,True
23,23,spacing_alternating_mild,10520,10550,280.0,10550,12350,12460,110,1800,1910,module_3,module_4,86,0,110,10660,1800,1800,True
24,24,spacing_alternating_mild,11080,11110,560.0,11110,13450,13560,110,2340,2450,module_3,module_4,96,0,110,11220,2340,2340,True
25,25,spacing_alternating_mild,11360,11390,280.0,11390,13560,13670,110,2170,2280,module_3,module_4,97,0,110,11500,2170,2170,True
26,26,spacing_alternating_mild,11920,11950,560.0,11950,13670,13780,110,1720,1830,module_3,module_4,98,0,110,12060,1720,1720,True
27,27,spacing_alternating_mild,12200,12230,280.0,12230,13780,13890,110,1550,1660,module_3,module_4,99,0,110,12340,1550,1550,True
28,28,spacing_alternating_mild,12760,12790,560.0,12790,13890,14000,110,1100,1210,module_3,module_4,100,0,110,12900,1100,1100,True
29,29,spacing_alternating_mild,13040,13070,280.0,13070,14000,14110,110,930,1040,module_3,module_4,101,0,110,13180,930,930,True
30,30,spacing_alternating_mild,13600,13630,560.0,13630,14110,14220,110,480,590,module_3,module_4,102,0,110,13740,480,480,True
31,31,spacing_alternating_mild,13880,13910,280.0,13910,14220,14330,110,310,420,module_3,module_4,103,0,110,14020,310,310,True
32,32,spacing_alternating_mild,14440,14470,560.0,14470,14470,14580,110,0,110,module_3,module_4,104,0,110,14580,0,0,False
33,33,spacing_alternating_mild,14720,14750,280.0,14750,14750,14860,110,0,110,module_3,module_4,105,0,110,14860,0,0,False
34,34,spacing_alternating_mild,15280,15310,560.0,15310,15310,15420,110,0,110,module_3,module_4,106,0,110,15420,0,0,False
35,35,spacing_alternating_mild,15560,15590,280.0,15590,15590,15700,110,0,110,module_3,module_4,107,0,110,15700,0,0,False
36,36,spacing_alternating_mild,16120,16150,560.0,16150,16150,16260,110,0,110,module_3,module_4,108,0,110,16260,0,0,False
37,37,spacing_alternating_mild,16400,16430,280.0,16430,16430,16540,110,0,110,module_3,module_4,109,0,110,16540,0,0,False
38,38,spacing_alternating_mild,16960,16990,560.0,16990,16990,17100,110,0,110,module_3,module_4,110,0,110,17100,0,0,False
39,39,spacing_alternating_mild,17240,17270,280.0,17270,17270,17380,110,0,110,module_3,module_4,111,0,110,17380,0,0,False
40,40,spacing_alternating_mild,17800,17830,560.0,17830,17830,17940,110,0,110,module_3,module_4,112,0,110,17940,0,0,False
41,41,spacing_alternating_mild,18080,18110,280.0,18110,18110,18220,110,0,110,module_3,module_4,113,0,110,18220,0,0,False
42,42,spacing_alternating_mild,18640,18670,560.0,18670,18670,18780,110,0,110,module_3,module_4,114,0,110,18780,0,0,False
43,43,spacing_alternating_mild,18920,18950,280.0,18950,18950,19060,110,0,110,module_3,module_4,115,0,110,19060,0,0,False
44,44,spacing_alternating_mild,19480,19510,560.0,19510,19510,19620,110,0,110,module_3,module_4,116,0,110,19620,0,0,False
45,45,spacing_alternating_mild,19760,19790,280.0,19790,19790,19900,110,0,110,module_3,module_4,117,0,110,19900,0,0,False
46,46,spacing_alternating_mild,20320,20350,560.0,20350,20350,20460,110,0,110,module_3,module_4,118,0,110,20460,0,0,False
47,47,spacing_alternating_mild,20740,20770,420.0,20770,20770,20880,110,0,110,module_3,module_4,119,0,110,20880,0,0,False
