attacker_request_id,probe_id,spacing_name,round_start_time_ns,request_release_time_ns,preceding_interval_ns,actual_arrival_time_ns,service_start_time_ns,victim_on_completion_time_ns,service_time_ns,victim_on_waiting_time_ns,victim_on_turnaround_time_ns,source_module,target_modules,architecture_request_id,baseline_waiting_time_ns,baseline_turnaround_time_ns,baseline_completion_time_ns,excess_waiting_time_ns,excess_turnaround_time_ns,victim_contention_observed
0,0,spacing_alternating_strong,1000,1030,,1030,1030,1140,110,0,110,module_3,module_4,0,0,110,1140,0,0,False
1,1,spacing_alternating_strong,1140,1170,140.0,1170,1170,1280,110,0,110,module_3,module_4,1,0,110,1280,0,0,False
2,2,spacing_alternating_strong,1840,1870,700.0,1870,1870,1980,110,0,110,module_3,module_4,2,0,110,1980,0,0,False
3,3,spacing_alternating_strong,1980,2010,140.0,2010,2010,2120,110,0,110,module_3,module_4,3,0,110,2120,0,0,False
4,4,spacing_alternating_strong,2680,2710,700.0,2710,2710,2820,110,0,110,module_3,module_4,4,0,110,2820,0,0,False
5,5,spacing_alternating_strong,2820,2850,140.0,2850,2850,2960,110,0,110,module_3,module_4,5,0,110,2960,0,0,False
6,6,spacing_alternating_strong,3520,3550,700.0,3550,3550,3660,110,0,110,module_3,module_4,6,0,110,3660,0,0,False
7,7,spacing_alternating_strong,3660,3690,140.0,3690,4540,4650,110,850,960,module_3,module_4,15,0,110,3800,850,850,True
8,8,spacing_alternating_strong,4360,4390,700.0,4390,5310,5420,110,920,1030,module_3,module_4,22,0,110,4500,920,920,True
9,9,spacing_alternating_strong,4500,4530,140.0,4530,5860,5970,110,1330,1440,module_3,module_4,27,0,110,4640,1330,1330,True
10,10,spacing_alternating_strong,5200,5230,700.0,5230,6960,7070,110,1730,1840,module_3,module_4,37,0,110,5340,1730,1730,True
11,11,spacing_alternating_strong,5340,5370,140.0,5370,7070,7180,110,1700,1810,module_3,module_4,38,0,110,5480,1700,1700,True
12,12,spacing_alternating_strong,6040,6070,700.0,6070,7180,7290,110,1110,1220,module_3,module_4,39,0,110,6180,1110,1110,True
13,13,spacing_alternating_strong,6180,6210,140.0,6210,7400,7510,110,1190,1300,module_3,module_4,41,0,110,6320,1190,1190,True
14,14,spacing_alternating_strong,6880,6910,700.0,6910,8720,8830,110,1810,1920,module_3,module_4,53,0,110,7020,1810,1810,True
15,15,spacing_alternating_strong,7020,7050,140.0,7050,9380,9490,110,2330,2440,module_3,module_4,59,0,110,7160,2330,2330,True
16,16,spacing_alternating_strong,7720,7750,700.0,7750,9600,9710,110,1850,1960,module_3,module_4,61,0,110,7860,1850,1850,True
17,17,spacing_alternating_strong,7860,7890,140.0,7890,9710,9820,110,1820,1930,module_3,module_4,62,0,110,8000,1820,1820,True
18,18,spacing_alternating_strong,8560,8590,700.0,8590,9820,9930,110,1230,1340,module_3,module_4,63,0,110,8700,1230,1230,True
19,19,spacing_alternating_strong,8700,8730,140.0,8730,9930,10040,110,1200,1310,module_3,module_4,64,0,110,8840,1200,1200,True
20,20,spacing_alternating_strong,9400,9430,700.0,9430,10040,10150,110,610,720,module_3,module_4,65,0,110,9540,610,610,True
21,21,spacing_alternating_strong,9540,9570,140.0,9570,10150,10260,110,580,690,module_3,module_4,66,0,110,9680,580,580,True
22,22,spacing_alternating_strong,10240,10270,700.0,10270,11250,11360,110,980,1090,module_3,module_4,76,0,110,10380,980,980,True
23,23,spacing_alternating_strong,10380,10410,140.0,10410,11580,11690,110,1170,1280,module_3,module_4,79,0,110,10520,1170,1170,True
24,24,spacing_alternating_strong,11080,11110,700.0,11110,13450,13560,110,2340,2450,module_3,module_4,96,0,110,11220,2340,2340,True
25,25,spacing_alternating_strong,11220,11250,140.0,11250,13560,13670,110,2310,2420,module_3,module_4,97,0,110,11360,2310,2310,True
26,26,spacing_alternating_strong,11920,11950,700.0,11950,13670,13780,110,1720,1830,module_3,module_4,98,0,110,12060,1720,1720,True
27,27,spacing_alternating_strong,12060,12090,140.0,12090,13780,13890,110,1690,1800,module_3,module_4,99,0,110,12200,1690,1690,True
28,28,spacing_alternating_strong,12760,12790,700.0,12790,13890,14000,110,1100,1210,module_3,module_4,100,0,110,12900,1100,1100,True
29,29,spacing_alternating_strong,12900,12930,140.0,12930,14000,14110,110,1070,1180,module_3,module_4,101,0,110,13040,1070,1070,True
30,30,spacing_alternating_strong,13600,13630,700.0,13630,14110,14220,110,480,590,module_3,module_4,102,0,110,13740,480,480,True
31,31,spacing_alternating_strong,13740,13770,140.0,13770,14220,14330,110,450,560,module_3,module_4,103,0,110,13880,450,450,True
32,32,spacing_alternating_strong,14440,14470,700.0,14470,14470,14580,110,0,110,module_3,module_4,104,0,110,14580,0,0,False
33,33,spacing_alternating_strong,14580,14610,140.0,14610,14610,14720,110,0,110,module_3,module_4,105,0,110,14720,0,0,False
34,34,spacing_alternating_strong,15280,15310,700.0,15310,15310,15420,110,0,110,module_3,module_4,106,0,110,15420,0,0,False
35,35,spacing_alternating_strong,15420,15450,140.0,15450,15450,15560,110,0,110,module_3,module_4,107,0,110,15560,0,0,False
36,36,spacing_alternating_strong,16120,16150,700.0,16150,16150,16260,110,0,110,module_3,module_4,108,0,110,16260,0,0,False
37,37,spacing_alternating_strong,16260,16290,140.0,16290,16290,16400,110,0,110,module_3,module_4,109,0,110,16400,0,0,False
38,38,spacing_alternating_strong,16960,16990,700.0,16990,16990,17100,110,0,110,module_3,module_4,110,0,110,17100,0,0,False
39,39,spacing_alternating_strong,17100,17130,140.0,17130,17130,17240,110,0,110,module_3,module_4,111,0,110,17240,0,0,False
40,40,spacing_alternating_strong,17800,17830,700.0,17830,17830,17940,110,0,110,module_3,module_4,112,0,110,17940,0,0,False
41,41,spacing_alternating_strong,17940,17970,140.0,17970,17970,18080,110,0,110,module_3,module_4,113,0,110,18080,0,0,False
42,42,spacing_alternating_strong,18640,18670,700.0,18670,18670,18780,110,0,110,module_3,module_4,114,0,110,18780,0,0,False
43,43,spacing_alternating_strong,18780,18810,140.0,18810,18810,18920,110,0,110,module_3,module_4,115,0,110,18920,0,0,False
44,44,spacing_alternating_strong,19480,19510,700.0,19510,19510,19620,110,0,110,module_3,module_4,116,0,110,19620,0,0,False
45,45,spacing_alternating_strong,19620,19650,140.0,19650,19650,19760,110,0,110,module_3,module_4,117,0,110,19760,0,0,False
46,46,spacing_alternating_strong,20320,20350,700.0,20350,20350,20460,110,0,110,module_3,module_4,118,0,110,20460,0,0,False
47,47,spacing_alternating_strong,20740,20770,420.0,20770,20770,20880,110,0,110,module_3,module_4,119,0,110,20880,0,0,False
