run_type,victim_remote_event_id,victim_trace_step,op_name,qubits,source_module,target_modules,arrival_time_ns,service_start_time_ns,completion_time_ns,waiting_time_ns,turnaround_time_ns,service_time_ns
victim_present,0,511,cx,"5,6",module_0,module_1,3555,3660,3770,105,215,110
victim_present,1,514,cx,"6,5",module_0,module_1,3570,3770,3880,200,310,110
victim_present,2,517,cx,"5,6",module_0,module_1,3585,3880,3990,295,405,110
victim_present,3,523,cx,"5,6",module_0,module_1,3615,3990,4100,375,485,110
victim_present,4,526,cx,"6,5",module_0,module_1,3630,4100,4210,470,580,110
victim_present,5,529,cx,"5,6",module_0,module_1,3645,4210,4320,565,675,110
victim_present,6,535,cx,"5,6",module_0,module_1,3675,4320,4430,645,755,110
victim_present,7,538,cx,"6,5",module_0,module_1,3690,4430,4540,740,850,110
victim_present,8,541,cx,"5,6",module_0,module_1,3705,4650,4760,945,1055,110
victim_present,9,661,cx,"11,12",module_1,module_2,4305,4760,4870,455,565,110
victim_present,10,664,cx,"12,11",module_1,module_2,4320,4870,4980,550,660,110
victim_present,11,667,cx,"11,12",module_1,module_2,4335,4980,5090,645,755,110
victim_present,12,673,cx,"11,12",module_1,module_2,4365,5090,5200,725,835,110
victim_present,13,676,cx,"12,11",module_1,module_2,4380,5200,5310,820,930,110
victim_present,14,679,cx,"11,12",module_1,module_2,4395,5420,5530,1025,1135,110
victim_present,15,685,cx,"11,12",module_1,module_2,4425,5530,5640,1105,1215,110
victim_present,16,688,cx,"12,11",module_1,module_2,4440,5640,5750,1200,1310,110
victim_present,17,691,cx,"11,12",module_1,module_2,4455,5750,5860,1295,1405,110
victim_present,18,761,cx,"15,0",module_0,module_2,4805,5970,6080,1165,1275,110
victim_present,19,764,cx,"0,15",module_0,module_2,4820,6080,6190,1260,1370,110
victim_present,20,767,cx,"15,0",module_0,module_2,4835,6190,6300,1355,1465,110
victim_present,21,773,cx,"15,0",module_0,module_2,4865,6300,6410,1435,1545,110
victim_present,22,776,cx,"0,15",module_0,module_2,4880,6410,6520,1530,1640,110
victim_present,23,779,cx,"15,0",module_0,module_2,4895,6520,6630,1625,1735,110
victim_present,24,785,cx,"15,0",module_0,module_2,4925,6630,6740,1705,1815,110
victim_present,25,788,cx,"0,15",module_0,module_2,4940,6740,6850,1800,1910,110
victim_present,26,791,cx,"15,0",module_0,module_2,4955,6850,6960,1895,2005,110
victim_present,27,1040,cx,"5,6",module_0,module_1,6200,7290,7400,1090,1200,110
victim_present,28,1043,cx,"6,5",module_0,module_1,6215,7510,7620,1295,1405,110
victim_present,29,1046,cx,"5,6",module_0,module_1,6230,7620,7730,1390,1500,110
victim_present,30,1082,cx,"11,12",module_1,module_2,6410,7730,7840,1320,1430,110
victim_present,31,1085,cx,"12,11",module_1,module_2,6425,7840,7950,1415,1525,110
victim_present,32,1088,cx,"11,12",module_1,module_2,6440,7950,8060,1510,1620,110
victim_present,33,1110,cx,"15,0",module_0,module_2,6550,8060,8170,1510,1620,110
victim_present,34,1113,cx,"0,15",module_0,module_2,6565,8170,8280,1605,1715,110
victim_present,35,1116,cx,"15,0",module_0,module_2,6580,8280,8390,1700,1810,110
victim_present,36,1147,cx,"5,6",module_0,module_1,6735,8390,8500,1655,1765,110
victim_present,37,1150,cx,"6,5",module_0,module_1,6750,8500,8610,1750,1860,110
victim_present,38,1153,cx,"5,6",module_0,module_1,6765,8610,8720,1845,1955,110
victim_present,39,1183,cx,"11,12",module_1,module_2,6915,8830,8940,1915,2025,110
victim_present,40,1186,cx,"12,11",module_1,module_2,6930,8940,9050,2010,2120,110
victim_present,41,1189,cx,"11,12",module_1,module_2,6945,9050,9160,2105,2215,110
victim_present,42,1207,cx,"15,0",module_0,module_2,7035,9160,9270,2125,2235,110
victim_present,43,1210,cx,"0,15",module_0,module_2,7050,9270,9380,2220,2330,110
victim_present,44,1213,cx,"15,0",module_0,module_2,7065,9490,9600,2425,2535,110
victim_present,45,1727,cx,"5,6",module_0,module_1,9635,10260,10370,625,735,110
victim_present,46,1730,cx,"6,5",module_0,module_1,9650,10370,10480,720,830,110
victim_present,47,1733,cx,"5,6",module_0,module_1,9665,10480,10590,815,925,110
victim_present,48,1739,cx,"5,6",module_0,module_1,9695,10590,10700,895,1005,110
victim_present,49,1742,cx,"6,5",module_0,module_1,9710,10700,10810,990,1100,110
victim_present,50,1745,cx,"5,6",module_0,module_1,9725,10810,10920,1085,1195,110
victim_present,51,1751,cx,"5,6",module_0,module_1,9755,10920,11030,1165,1275,110
victim_present,52,1754,cx,"6,5",module_0,module_1,9770,11030,11140,1260,1370,110
victim_present,53,1757,cx,"5,6",module_0,module_1,9785,11140,11250,1355,1465,110
victim_present,54,1877,cx,"11,12",module_1,module_2,10385,11360,11470,975,1085,110
