attacker_request_id,probe_id,spacing_name,round_start_time_ns,request_release_time_ns,preceding_interval_ns,actual_arrival_time_ns,service_start_time_ns,victim_on_completion_time_ns,service_time_ns,victim_on_waiting_time_ns,victim_on_turnaround_time_ns,source_module,target_modules,architecture_request_id,baseline_waiting_time_ns,baseline_turnaround_time_ns,baseline_completion_time_ns,excess_waiting_time_ns,excess_turnaround_time_ns,victim_contention_observed
0,0,spacing_alternating_strong,1000,1030,,1030,1030,1140,110,0,110,module_3,module_4,0,0,110,1140,0,0,False
1,1,spacing_alternating_strong,1140,1170,140.0,1170,3010,3120,110,1840,1950,module_3,module_4,18,0,110,1280,1840,1840,True
2,2,spacing_alternating_strong,1840,1870,700.0,1870,5880,5990,110,4010,4120,module_3,module_4,44,0,110,1980,4010,4010,True
3,3,spacing_alternating_strong,1980,2010,140.0,2010,5990,6100,110,3980,4090,module_3,module_4,45,0,110,2120,3980,3980,True
4,4,spacing_alternating_strong,2680,2710,700.0,2710,6100,6210,110,3390,3500,module_3,module_4,46,0,110,2820,3390,3390,True
5,5,spacing_alternating_strong,2820,2850,140.0,2850,6210,6320,110,3360,3470,module_3,module_4,47,0,110,2960,3360,3360,True
6,6,spacing_alternating_strong,3520,3550,700.0,3550,6320,6430,110,2770,2880,module_3,module_4,48,0,110,3660,2770,2770,True
7,7,spacing_alternating_strong,3660,3690,140.0,3690,6430,6540,110,2740,2850,module_3,module_4,49,0,110,3800,2740,2740,True
8,8,spacing_alternating_strong,4360,4390,700.0,4390,6540,6650,110,2150,2260,module_3,module_4,50,0,110,4500,2150,2150,True
9,9,spacing_alternating_strong,4500,4530,140.0,4530,6650,6760,110,2120,2230,module_3,module_4,51,0,110,4640,2120,2120,True
10,10,spacing_alternating_strong,5200,5230,700.0,5230,6760,6870,110,1530,1640,module_3,module_4,52,0,110,5340,1530,1530,True
11,11,spacing_alternating_strong,5340,5370,140.0,5370,6870,6980,110,1500,1610,module_3,module_4,53,0,110,5480,1500,1500,True
12,12,spacing_alternating_strong,6040,6070,700.0,6070,6980,7090,110,910,1020,module_3,module_4,54,0,110,6180,910,910,True
13,13,spacing_alternating_strong,6180,6210,140.0,6210,7090,7200,110,880,990,module_3,module_4,55,0,110,6320,880,880,True
14,14,spacing_alternating_strong,6880,6910,700.0,6910,7200,7310,110,290,400,module_3,module_4,56,0,110,7020,290,290,True
15,15,spacing_alternating_strong,7020,7050,140.0,7050,7310,7420,110,260,370,module_3,module_4,57,0,110,7160,260,260,True
16,16,spacing_alternating_strong,7720,7750,700.0,7750,7750,7860,110,0,110,module_3,module_4,58,0,110,7860,0,0,False
