attacker_request_id,probe_id,spacing_name,round_start_time_ns,request_release_time_ns,preceding_interval_ns,actual_arrival_time_ns,service_start_time_ns,victim_on_completion_time_ns,service_time_ns,victim_on_waiting_time_ns,victim_on_turnaround_time_ns,source_module,target_modules,architecture_request_id,baseline_waiting_time_ns,baseline_turnaround_time_ns,baseline_completion_time_ns,excess_waiting_time_ns,excess_turnaround_time_ns,victim_contention_observed
0,0,spacing_alternating_strong,1000,1030,,1030,1140,1250,110,110,220,module_3,module_4,1,0,110,1140,110,110,True
1,1,spacing_alternating_strong,1140,1170,140.0,1170,3120,3230,110,1950,2060,module_3,module_4,19,0,110,1280,1950,1950,True
2,2,spacing_alternating_strong,1840,1870,700.0,1870,9720,9830,110,7850,7960,module_3,module_4,79,0,110,1980,7850,7850,True
3,3,spacing_alternating_strong,1980,2010,140.0,2010,11700,11810,110,9690,9800,module_3,module_4,97,0,110,2120,9690,9690,True
4,4,spacing_alternating_strong,2680,2710,700.0,2710,18300,18410,110,15590,15700,module_3,module_4,157,0,110,2820,15590,15590,True
5,5,spacing_alternating_strong,2820,2850,140.0,2850,20280,20390,110,17430,17540,module_3,module_4,175,0,110,2960,17430,17430,True
6,6,spacing_alternating_strong,3520,3550,700.0,3550,26880,26990,110,23330,23440,module_3,module_4,235,0,110,3660,23330,23330,True
7,7,spacing_alternating_strong,3660,3690,140.0,3690,28860,28970,110,25170,25280,module_3,module_4,253,0,110,3800,25170,25170,True
8,8,spacing_alternating_strong,4360,4390,700.0,4390,29080,29190,110,24690,24800,module_3,module_4,255,0,110,4500,24690,24690,True
9,9,spacing_alternating_strong,4500,4530,140.0,4530,29190,29300,110,24660,24770,module_3,module_4,256,0,110,4640,24660,24660,True
10,10,spacing_alternating_strong,5200,5230,700.0,5230,29300,29410,110,24070,24180,module_3,module_4,257,0,110,5340,24070,24070,True
11,11,spacing_alternating_strong,5340,5370,140.0,5370,29410,29520,110,24040,24150,module_3,module_4,258,0,110,5480,24040,24040,True
12,12,spacing_alternating_strong,6040,6070,700.0,6070,29520,29630,110,23450,23560,module_3,module_4,259,0,110,6180,23450,23450,True
