attacker_request_id,probe_id,spacing_name,round_start_time_ns,request_release_time_ns,preceding_interval_ns,actual_arrival_time_ns,service_start_time_ns,victim_on_completion_time_ns,service_time_ns,victim_on_waiting_time_ns,victim_on_turnaround_time_ns,source_module,target_modules,architecture_request_id,baseline_waiting_time_ns,baseline_turnaround_time_ns,baseline_completion_time_ns,excess_waiting_time_ns,excess_turnaround_time_ns,victim_contention_observed
0,0,spacing_burst4,1000,1030,,1030,1030,1140,110,0,110,module_3,module_4,0,0,110,1140,0,0,False
1,1,spacing_burst4,1140,1170,140.0,1170,2800,2910,110,1630,1740,module_3,module_4,16,0,110,1280,1630,1630,True
2,2,spacing_burst4,1280,1310,140.0,1310,3030,3140,110,1720,1830,module_3,module_4,18,0,110,1420,1720,1720,True
3,3,spacing_burst4,1420,1450,140.0,1450,3140,3250,110,1690,1800,module_3,module_4,19,0,110,1560,1690,1690,True
4,4,spacing_burst4,2680,2710,1260.0,2710,3250,3360,110,540,650,module_3,module_4,20,0,110,2820,540,540,True
5,5,spacing_burst4,2820,2850,140.0,2850,3360,3470,110,510,620,module_3,module_4,21,0,110,2960,510,510,True
6,6,spacing_burst4,2960,2990,140.0,2990,3470,3580,110,480,590,module_3,module_4,22,0,110,3100,480,480,True
7,7,spacing_burst4,3100,3130,140.0,3130,3580,3690,110,450,560,module_3,module_4,23,0,110,3240,450,450,True
8,8,spacing_burst4,4360,4390,1260.0,4390,4390,4500,110,0,110,module_3,module_4,24,0,110,4500,0,0,False
9,9,spacing_burst4,4500,4530,140.0,4530,4530,4640,110,0,110,module_3,module_4,25,0,110,4640,0,0,False
10,10,spacing_burst4,4640,4670,140.0,4670,4670,4780,110,0,110,module_3,module_4,26,0,110,4780,0,0,False
11,11,spacing_burst4,4780,4810,140.0,4810,4810,4920,110,0,110,module_3,module_4,27,0,110,4920,0,0,False
12,12,spacing_burst4,6040,6070,1260.0,6070,6070,6180,110,0,110,module_3,module_4,28,0,110,6180,0,0,False
13,13,spacing_burst4,6180,6210,140.0,6210,6210,6320,110,0,110,module_3,module_4,29,0,110,6320,0,0,False
14,14,spacing_burst4,6320,6350,140.0,6350,6350,6460,110,0,110,module_3,module_4,30,0,110,6460,0,0,False
15,15,spacing_burst4,6460,6490,140.0,6490,6490,6600,110,0,110,module_3,module_4,31,0,110,6600,0,0,False
16,16,spacing_burst4,7720,7750,1260.0,7750,7750,7860,110,0,110,module_3,module_4,32,0,110,7860,0,0,False
17,17,spacing_burst4,7860,7890,140.0,7890,7890,8000,110,0,110,module_3,module_4,33,0,110,8000,0,0,False
18,18,spacing_burst4,8000,8030,140.0,8030,8030,8140,110,0,110,module_3,module_4,34,0,110,8140,0,0,False
19,19,spacing_burst4,8140,8170,140.0,8170,8170,8280,110,0,110,module_3,module_4,35,0,110,8280,0,0,False
20,20,spacing_burst4,9400,9430,1260.0,9430,9430,9540,110,0,110,module_3,module_4,36,0,110,9540,0,0,False
21,21,spacing_burst4,9540,9570,140.0,9570,9570,9680,110,0,110,module_3,module_4,37,0,110,9680,0,0,False
22,22,spacing_burst4,9680,9710,140.0,9710,9710,9820,110,0,110,module_3,module_4,38,0,110,9820,0,0,False
23,23,spacing_burst4,9820,9850,140.0,9850,9850,9960,110,0,110,module_3,module_4,39,0,110,9960,0,0,False
24,24,spacing_burst4,11080,11110,1260.0,11110,11110,11220,110,0,110,module_3,module_4,40,0,110,11220,0,0,False
25,25,spacing_burst4,11220,11250,140.0,11250,11250,11360,110,0,110,module_3,module_4,41,0,110,11360,0,0,False
26,26,spacing_burst4,11360,11390,140.0,11390,11390,11500,110,0,110,module_3,module_4,42,0,110,11500,0,0,False
27,27,spacing_burst4,11500,11530,140.0,11530,11530,11640,110,0,110,module_3,module_4,43,0,110,11640,0,0,False
28,28,spacing_burst4,12760,12790,1260.0,12790,12790,12900,110,0,110,module_3,module_4,44,0,110,12900,0,0,False
29,29,spacing_burst4,12900,12930,140.0,12930,12930,13040,110,0,110,module_3,module_4,45,0,110,13040,0,0,False
30,30,spacing_burst4,13040,13070,140.0,13070,13070,13180,110,0,110,module_3,module_4,46,0,110,13180,0,0,False
31,31,spacing_burst4,13180,13210,140.0,13210,13210,13320,110,0,110,module_3,module_4,47,0,110,13320,0,0,False
32,32,spacing_burst4,14440,14470,1260.0,14470,14470,14580,110,0,110,module_3,module_4,48,0,110,14580,0,0,False
33,33,spacing_burst4,14580,14610,140.0,14610,14610,14720,110,0,110,module_3,module_4,49,0,110,14720,0,0,False
34,34,spacing_burst4,14720,14750,140.0,14750,14750,14860,110,0,110,module_3,module_4,50,0,110,14860,0,0,False
35,35,spacing_burst4,14860,14890,140.0,14890,14890,15000,110,0,110,module_3,module_4,51,0,110,15000,0,0,False
36,36,spacing_burst4,16120,16150,1260.0,16150,16150,16260,110,0,110,module_3,module_4,52,0,110,16260,0,0,False
37,37,spacing_burst4,16260,16290,140.0,16290,16290,16400,110,0,110,module_3,module_4,53,0,110,16400,0,0,False
38,38,spacing_burst4,16400,16430,140.0,16430,16430,16540,110,0,110,module_3,module_4,54,0,110,16540,0,0,False
39,39,spacing_burst4,16540,16570,140.0,16570,16570,16680,110,0,110,module_3,module_4,55,0,110,16680,0,0,False
40,40,spacing_burst4,17800,17830,1260.0,17830,17830,17940,110,0,110,module_3,module_4,56,0,110,17940,0,0,False
41,41,spacing_burst4,17940,17970,140.0,17970,17970,18080,110,0,110,module_3,module_4,57,0,110,18080,0,0,False
