run_type,victim_remote_event_id,victim_trace_step,op_name,qubits,source_module,target_modules,arrival_time_ns,service_start_time_ns,completion_time_ns,waiting_time_ns,turnaround_time_ns,service_time_ns
victim_present,0,82,cx,"6,0",module_0,module_1,1410,1420,1530,10,120,110
victim_present,1,84,cx,"6,0",module_0,module_1,1420,1530,1640,110,220,110
victim_present,2,87,cx,"6,1",module_0,module_1,1435,1640,1750,205,315,110
victim_present,3,89,cx,"6,1",module_0,module_1,1445,1750,1860,305,415,110
victim_present,4,92,cx,"6,2",module_0,module_1,1460,1970,2080,510,620,110
victim_present,5,94,cx,"6,2",module_0,module_1,1470,2080,2190,610,720,110
victim_present,6,97,cx,"6,3",module_0,module_1,1485,2190,2300,705,815,110
victim_present,7,99,cx,"6,3",module_0,module_1,1495,2300,2410,805,915,110
victim_present,8,102,cx,"6,4",module_0,module_1,1510,2410,2520,900,1010,110
victim_present,9,104,cx,"6,4",module_0,module_1,1520,2520,2630,1000,1110,110
victim_present,10,107,cx,"6,5",module_0,module_1,1535,2630,2740,1095,1205,110
victim_present,11,109,cx,"6,5",module_0,module_1,1545,2740,2850,1195,1305,110
victim_present,12,113,cx,"7,0",module_0,module_1,1565,2850,2960,1285,1395,110
victim_present,13,115,cx,"7,0",module_0,module_1,1575,2960,3070,1385,1495,110
victim_present,14,118,cx,"7,1",module_0,module_1,1590,3070,3180,1480,1590,110
victim_present,15,120,cx,"7,1",module_0,module_1,1600,3180,3290,1580,1690,110
victim_present,16,123,cx,"7,2",module_0,module_1,1615,3290,3400,1675,1785,110
victim_present,17,125,cx,"7,2",module_0,module_1,1625,3400,3510,1775,1885,110
victim_present,18,128,cx,"7,3",module_0,module_1,1640,3510,3620,1870,1980,110
victim_present,19,130,cx,"7,3",module_0,module_1,1650,3620,3730,1970,2080,110
victim_present,20,133,cx,"7,4",module_0,module_1,1665,3730,3840,2065,2175,110
victim_present,21,135,cx,"7,4",module_0,module_1,1675,3840,3950,2165,2275,110
victim_present,22,138,cx,"7,5",module_0,module_1,1690,3950,4060,2260,2370,110
victim_present,23,140,cx,"7,5",module_0,module_1,1700,4060,4170,2360,2470,110
victim_present,24,149,cx,"8,0",module_0,module_1,1745,4170,4280,2425,2535,110
victim_present,25,151,cx,"8,0",module_0,module_1,1755,4280,4390,2525,2635,110
victim_present,26,154,cx,"8,1",module_0,module_1,1770,4390,4500,2620,2730,110
victim_present,27,156,cx,"8,1",module_0,module_1,1780,4500,4610,2720,2830,110
victim_present,28,159,cx,"8,2",module_0,module_1,1795,4610,4720,2815,2925,110
victim_present,29,161,cx,"8,2",module_0,module_1,1805,4720,4830,2915,3025,110
victim_present,30,164,cx,"8,3",module_0,module_1,1820,4830,4940,3010,3120,110
victim_present,31,166,cx,"8,3",module_0,module_1,1830,4940,5050,3110,3220,110
victim_present,32,169,cx,"8,4",module_0,module_1,1845,5050,5160,3205,3315,110
victim_present,33,171,cx,"8,4",module_0,module_1,1855,5160,5270,3305,3415,110
victim_present,34,174,cx,"8,5",module_0,module_1,1870,5270,5380,3400,3510,110
victim_present,35,176,cx,"8,5",module_0,module_1,1880,5380,5490,3500,3610,110
victim_present,36,190,cx,"9,0",module_0,module_1,1950,5490,5600,3540,3650,110
victim_present,37,192,cx,"9,0",module_0,module_1,1960,5600,5710,3640,3750,110
victim_present,38,195,cx,"9,1",module_0,module_1,1975,5710,5820,3735,3845,110
victim_present,39,197,cx,"9,1",module_0,module_1,1985,5820,5930,3835,3945,110
victim_present,40,200,cx,"9,2",module_0,module_1,2000,5930,6040,3930,4040,110
victim_present,41,202,cx,"9,2",module_0,module_1,2010,6040,6150,4030,4140,110
victim_present,42,205,cx,"9,3",module_0,module_1,2025,6150,6260,4125,4235,110
victim_present,43,207,cx,"9,3",module_0,module_1,2035,6260,6370,4225,4335,110
victim_present,44,210,cx,"9,4",module_0,module_1,2050,6370,6480,4320,4430,110
victim_present,45,212,cx,"9,4",module_0,module_1,2060,6480,6590,4420,4530,110
victim_present,46,215,cx,"9,5",module_0,module_1,2075,6590,6700,4515,4625,110
victim_present,47,217,cx,"9,5",module_0,module_1,2085,6700,6810,4615,4725,110
victim_present,48,236,cx,"10,0",module_0,module_1,2180,6810,6920,4630,4740,110
victim_present,49,238,cx,"10,0",module_0,module_1,2190,6920,7030,4730,4840,110
victim_present,50,241,cx,"10,1",module_0,module_1,2205,7030,7140,4825,4935,110
victim_present,51,243,cx,"10,1",module_0,module_1,2215,7140,7250,4925,5035,110
victim_present,52,246,cx,"10,2",module_0,module_1,2230,7250,7360,5020,5130,110
victim_present,53,248,cx,"10,2",module_0,module_1,2240,7360,7470,5120,5230,110
victim_present,54,251,cx,"10,3",module_0,module_1,2255,7470,7580,5215,5325,110
victim_present,55,253,cx,"10,3",module_0,module_1,2265,7580,7690,5315,5425,110
victim_present,56,256,cx,"10,4",module_0,module_1,2280,7690,7800,5410,5520,110
victim_present,57,258,cx,"10,4",module_0,module_1,2290,7800,7910,5510,5620,110
victim_present,58,261,cx,"10,5",module_0,module_1,2305,7910,8020,5605,5715,110
victim_present,59,263,cx,"10,5",module_0,module_1,2315,8020,8130,5705,5815,110
victim_present,60,287,cx,"11,0",module_0,module_1,2435,8130,8240,5695,5805,110
victim_present,61,289,cx,"11,0",module_0,module_1,2445,8240,8350,5795,5905,110
victim_present,62,292,cx,"11,1",module_0,module_1,2460,8350,8460,5890,6000,110
victim_present,63,294,cx,"11,1",module_0,module_1,2470,8460,8570,5990,6100,110
victim_present,64,297,cx,"11,2",module_0,module_1,2485,8570,8680,6085,6195,110
victim_present,65,299,cx,"11,2",module_0,module_1,2495,8680,8790,6185,6295,110
victim_present,66,302,cx,"11,3",module_0,module_1,2510,8790,8900,6280,6390,110
victim_present,67,304,cx,"11,3",module_0,module_1,2520,8900,9010,6380,6490,110
victim_present,68,307,cx,"11,4",module_0,module_1,2535,9010,9120,6475,6585,110
victim_present,69,309,cx,"11,4",module_0,module_1,2545,9120,9230,6575,6685,110
victim_present,70,312,cx,"11,5",module_0,module_1,2560,9230,9340,6670,6780,110
victim_present,71,314,cx,"11,5",module_0,module_1,2570,9340,9450,6770,6880,110
victim_present,72,343,cx,"12,0",module_0,module_2,2715,9560,9670,6845,6955,110
victim_present,73,345,cx,"12,0",module_0,module_2,2725,9670,9780,6945,7055,110
victim_present,74,348,cx,"12,1",module_0,module_2,2740,9780,9890,7040,7150,110
victim_present,75,350,cx,"12,1",module_0,module_2,2750,9890,10000,7140,7250,110
victim_present,76,353,cx,"12,2",module_0,module_2,2765,10000,10110,7235,7345,110
victim_present,77,355,cx,"12,2",module_0,module_2,2775,10110,10220,7335,7445,110
victim_present,78,358,cx,"12,3",module_0,module_2,2790,10220,10330,7430,7540,110
victim_present,79,360,cx,"12,3",module_0,module_2,2800,10330,10440,7530,7640,110
victim_present,80,363,cx,"12,4",module_0,module_2,2815,10440,10550,7625,7735,110
victim_present,81,365,cx,"12,4",module_0,module_2,2825,10550,10660,7725,7835,110
victim_present,82,368,cx,"12,5",module_0,module_2,2840,10660,10770,7820,7930,110
victim_present,83,370,cx,"12,5",module_0,module_2,2850,10770,10880,7920,8030,110
victim_present,84,373,cx,"12,6",module_1,module_2,2865,10990,11100,8125,8235,110
victim_present,85,375,cx,"12,6",module_1,module_2,2875,11100,11210,8225,8335,110
victim_present,86,378,cx,"12,7",module_1,module_2,2890,11210,11320,8320,8430,110
victim_present,87,380,cx,"12,7",module_1,module_2,2900,11320,11430,8420,8530,110
victim_present,88,383,cx,"12,8",module_1,module_2,2915,11430,11540,8515,8625,110
victim_present,89,385,cx,"12,8",module_1,module_2,2925,11540,11650,8615,8725,110
victim_present,90,388,cx,"12,9",module_1,module_2,2940,11650,11760,8710,8820,110
victim_present,91,390,cx,"12,9",module_1,module_2,2950,11760,11870,8810,8920,110
victim_present,92,393,cx,"12,10",module_1,module_2,2965,11870,11980,8905,9015,110
victim_present,93,395,cx,"12,10",module_1,module_2,2975,11980,12090,9005,9115,110
victim_present,94,398,cx,"12,11",module_1,module_2,2990,12090,12200,9100,9210,110
victim_present,95,400,cx,"12,11",module_1,module_2,3000,12310,12420,9310,9420,110
victim_present,96,404,cx,"13,0",module_0,module_2,3020,12420,12530,9400,9510,110
victim_present,97,406,cx,"13,0",module_0,module_2,3030,12530,12640,9500,9610,110
victim_present,98,409,cx,"13,1",module_0,module_2,3045,12640,12750,9595,9705,110
victim_present,99,411,cx,"13,1",module_0,module_2,3055,12750,12860,9695,9805,110
victim_present,100,414,cx,"13,2",module_0,module_2,3070,12860,12970,9790,9900,110
victim_present,101,416,cx,"13,2",module_0,module_2,3080,12970,13080,9890,10000,110
victim_present,102,419,cx,"13,3",module_0,module_2,3095,13080,13190,9985,10095,110
victim_present,103,421,cx,"13,3",module_0,module_2,3105,13190,13300,10085,10195,110
victim_present,104,424,cx,"13,4",module_0,module_2,3120,13300,13410,10180,10290,110
victim_present,105,426,cx,"13,4",module_0,module_2,3130,13410,13520,10280,10390,110
victim_present,106,429,cx,"13,5",module_0,module_2,3145,13630,13740,10485,10595,110
victim_present,107,431,cx,"13,5",module_0,module_2,3155,13740,13850,10585,10695,110
victim_present,108,434,cx,"13,6",module_1,module_2,3170,13850,13960,10680,10790,110
victim_present,109,436,cx,"13,6",module_1,module_2,3180,13960,14070,10780,10890,110
victim_present,110,439,cx,"13,7",module_1,module_2,3195,14070,14180,10875,10985,110
victim_present,111,441,cx,"13,7",module_1,module_2,3205,14180,14290,10975,11085,110
victim_present,112,444,cx,"13,8",module_1,module_2,3220,14290,14400,11070,11180,110
victim_present,113,446,cx,"13,8",module_1,module_2,3230,14400,14510,11170,11280,110
victim_present,114,449,cx,"13,9",module_1,module_2,3245,14510,14620,11265,11375,110
victim_present,115,451,cx,"13,9",module_1,module_2,3255,14620,14730,11365,11475,110
victim_present,116,454,cx,"13,10",module_1,module_2,3270,14730,14840,11460,11570,110
victim_present,117,456,cx,"13,10",module_1,module_2,3280,14840,14950,11560,11670,110
victim_present,118,459,cx,"13,11",module_1,module_2,3295,14950,15060,11655,11765,110
victim_present,119,461,cx,"13,11",module_1,module_2,3305,15060,15170,11755,11865,110
victim_present,120,470,cx,"14,0",module_0,module_2,3350,15170,15280,11820,11930,110
victim_present,121,472,cx,"14,0",module_0,module_2,3360,15280,15390,11920,12030,110
victim_present,122,475,cx,"14,1",module_0,module_2,3375,15390,15500,12015,12125,110
victim_present,123,477,cx,"14,1",module_0,module_2,3385,15500,15610,12115,12225,110
victim_present,124,480,cx,"14,2",module_0,module_2,3400,15610,15720,12210,12320,110
victim_present,125,482,cx,"14,2",module_0,module_2,3410,15720,15830,12310,12420,110
victim_present,126,485,cx,"14,3",module_0,module_2,3425,15830,15940,12405,12515,110
victim_present,127,487,cx,"14,3",module_0,module_2,3435,15940,16050,12505,12615,110
victim_present,128,490,cx,"14,4",module_0,module_2,3450,16050,16160,12600,12710,110
victim_present,129,492,cx,"14,4",module_0,module_2,3460,16160,16270,12700,12810,110
victim_present,130,495,cx,"14,5",module_0,module_2,3475,16270,16380,12795,12905,110
victim_present,131,497,cx,"14,5",module_0,module_2,3485,16380,16490,12895,13005,110
victim_present,132,500,cx,"14,6",module_1,module_2,3500,16490,16600,12990,13100,110
victim_present,133,502,cx,"14,6",module_1,module_2,3510,16600,16710,13090,13200,110
victim_present,134,505,cx,"14,7",module_1,module_2,3525,16710,16820,13185,13295,110
victim_present,135,507,cx,"14,7",module_1,module_2,3535,16820,16930,13285,13395,110
victim_present,136,510,cx,"14,8",module_1,module_2,3550,16930,17040,13380,13490,110
victim_present,137,512,cx,"14,8",module_1,module_2,3560,17040,17150,13480,13590,110
victim_present,138,515,cx,"14,9",module_1,module_2,3575,17150,17260,13575,13685,110
victim_present,139,517,cx,"14,9",module_1,module_2,3585,17260,17370,13675,13785,110
victim_present,140,520,cx,"14,10",module_1,module_2,3600,17370,17480,13770,13880,110
victim_present,141,522,cx,"14,10",module_1,module_2,3610,17480,17590,13870,13980,110
victim_present,142,525,cx,"14,11",module_1,module_2,3625,17590,17700,13965,14075,110
victim_present,143,527,cx,"14,11",module_1,module_2,3635,17700,17810,14065,14175,110
victim_present,144,541,cx,"15,0",module_0,module_2,3705,17810,17920,14105,14215,110
victim_present,145,543,cx,"15,0",module_0,module_2,3715,17920,18030,14205,14315,110
victim_present,146,546,cx,"15,1",module_0,module_2,3730,18030,18140,14300,14410,110
victim_present,147,548,cx,"15,1",module_0,module_2,3740,18140,18250,14400,14510,110
victim_present,148,551,cx,"15,2",module_0,module_2,3755,18250,18360,14495,14605,110
victim_present,149,553,cx,"15,2",module_0,module_2,3765,18360,18470,14595,14705,110
victim_present,150,556,cx,"15,3",module_0,module_2,3780,18470,18580,14690,14800,110
victim_present,151,558,cx,"15,3",module_0,module_2,3790,18580,18690,14790,14900,110
victim_present,152,561,cx,"15,4",module_0,module_2,3805,18690,18800,14885,14995,110
victim_present,153,563,cx,"15,4",module_0,module_2,3815,18800,18910,14985,15095,110
victim_present,154,566,cx,"15,5",module_0,module_2,3830,18910,19020,15080,15190,110
victim_present,155,568,cx,"15,5",module_0,module_2,3840,19020,19130,15180,15290,110
victim_present,156,571,cx,"15,6",module_1,module_2,3855,19130,19240,15275,15385,110
victim_present,157,573,cx,"15,6",module_1,module_2,3865,19240,19350,15375,15485,110
victim_present,158,576,cx,"15,7",module_1,module_2,3880,19350,19460,15470,15580,110
victim_present,159,578,cx,"15,7",module_1,module_2,3890,19460,19570,15570,15680,110
victim_present,160,581,cx,"15,8",module_1,module_2,3905,19570,19680,15665,15775,110
victim_present,161,583,cx,"15,8",module_1,module_2,3915,19680,19790,15765,15875,110
victim_present,162,586,cx,"15,9",module_1,module_2,3930,19790,19900,15860,15970,110
victim_present,163,588,cx,"15,9",module_1,module_2,3940,19900,20010,15960,16070,110
victim_present,164,591,cx,"15,10",module_1,module_2,3955,20010,20120,16055,16165,110
victim_present,165,593,cx,"15,10",module_1,module_2,3965,20120,20230,16155,16265,110
victim_present,166,596,cx,"15,11",module_1,module_2,3980,20230,20340,16250,16360,110
victim_present,167,598,cx,"15,11",module_1,module_2,3990,20340,20450,16350,16460,110
victim_present,168,617,cx,"16,0",module_0,module_2,4085,20450,20560,16365,16475,110
victim_present,169,619,cx,"16,0",module_0,module_2,4095,20560,20670,16465,16575,110
victim_present,170,622,cx,"16,1",module_0,module_2,4110,20670,20780,16560,16670,110
victim_present,171,624,cx,"16,1",module_0,module_2,4120,20780,20890,16660,16770,110
victim_present,172,627,cx,"16,2",module_0,module_2,4135,20890,21000,16755,16865,110
victim_present,173,629,cx,"16,2",module_0,module_2,4145,21000,21110,16855,16965,110
victim_present,174,632,cx,"16,3",module_0,module_2,4160,21110,21220,16950,17060,110
victim_present,175,634,cx,"16,3",module_0,module_2,4170,21220,21330,17050,17160,110
victim_present,176,637,cx,"16,4",module_0,module_2,4185,21330,21440,17145,17255,110
victim_present,177,639,cx,"16,4",module_0,module_2,4195,21440,21550,17245,17355,110
victim_present,178,642,cx,"16,5",module_0,module_2,4210,21550,21660,17340,17450,110
