attacker_request_id,probe_id,spacing_name,round_start_time_ns,request_release_time_ns,preceding_interval_ns,actual_arrival_time_ns,service_start_time_ns,victim_on_completion_time_ns,service_time_ns,victim_on_waiting_time_ns,victim_on_turnaround_time_ns,source_module,target_modules,architecture_request_id,baseline_waiting_time_ns,baseline_turnaround_time_ns,baseline_completion_time_ns,excess_waiting_time_ns,excess_turnaround_time_ns,victim_contention_observed
0,0,spacing_burst4,1000,1030,,1030,1140,1250,110,110,220,module_3,module_4,1,0,110,1140,110,110,True
1,1,spacing_burst4,1140,1170,140.0,1170,3120,3230,110,1950,2060,module_3,module_4,19,0,110,1280,1950,1950,True
2,2,spacing_burst4,1280,1310,140.0,1310,4330,4440,110,3020,3130,module_3,module_4,30,0,110,1420,3020,3020,True
3,3,spacing_burst4,1420,1450,140.0,1450,5650,5760,110,4200,4310,module_3,module_4,42,0,110,1560,4200,4200,True
4,4,spacing_burst4,2680,2710,1260.0,2710,18300,18410,110,15590,15700,module_3,module_4,157,0,110,2820,15590,15590,True
5,5,spacing_burst4,2820,2850,140.0,2850,20280,20390,110,17430,17540,module_3,module_4,175,0,110,2960,17430,17430,True
6,6,spacing_burst4,2960,2990,140.0,2990,21490,21600,110,18500,18610,module_3,module_4,186,0,110,3100,18500,18500,True
7,7,spacing_burst4,3100,3130,140.0,3130,22810,22920,110,19680,19790,module_3,module_4,198,0,110,3240,19680,19680,True
8,8,spacing_burst4,4360,4390,1260.0,4390,29080,29190,110,24690,24800,module_3,module_4,255,0,110,4500,24690,24690,True
9,9,spacing_burst4,4500,4530,140.0,4530,29190,29300,110,24660,24770,module_3,module_4,256,0,110,4640,24660,24660,True
10,10,spacing_burst4,4640,4670,140.0,4670,29300,29410,110,24630,24740,module_3,module_4,257,0,110,4780,24630,24630,True
11,11,spacing_burst4,4780,4810,140.0,4810,29410,29520,110,24600,24710,module_3,module_4,258,0,110,4920,24600,24600,True
12,12,spacing_burst4,6040,6070,1260.0,6070,29520,29630,110,23450,23560,module_3,module_4,259,0,110,6180,23450,23450,True
13,13,spacing_burst4,6180,6210,140.0,6210,29630,29740,110,23420,23530,module_3,module_4,260,0,110,6320,23420,23420,True
14,14,spacing_burst4,6320,6350,140.0,6350,29740,29850,110,23390,23500,module_3,module_4,261,0,110,6460,23390,23390,True
15,15,spacing_burst4,6460,6490,140.0,6490,29850,29960,110,23360,23470,module_3,module_4,262,0,110,6600,23360,23360,True
16,16,spacing_burst4,7720,7750,1260.0,7750,29960,30070,110,22210,22320,module_3,module_4,263,0,110,7860,22210,22210,True
17,17,spacing_burst4,7860,7890,140.0,7890,30070,30180,110,22180,22290,module_3,module_4,264,0,110,8000,22180,22180,True
18,18,spacing_burst4,8000,8030,140.0,8030,30180,30290,110,22150,22260,module_3,module_4,265,0,110,8140,22150,22150,True
19,19,spacing_burst4,8140,8170,140.0,8170,30290,30400,110,22120,22230,module_3,module_4,266,0,110,8280,22120,22120,True
20,20,spacing_burst4,9400,9430,1260.0,9430,30400,30510,110,20970,21080,module_3,module_4,267,0,110,9540,20970,20970,True
21,21,spacing_burst4,9540,9570,140.0,9570,30510,30620,110,20940,21050,module_3,module_4,268,0,110,9680,20940,20940,True
22,22,spacing_burst4,9680,9710,140.0,9710,30620,30730,110,20910,21020,module_3,module_4,269,0,110,9820,20910,20910,True
23,23,spacing_burst4,9820,9850,140.0,9850,30730,30840,110,20880,20990,module_3,module_4,270,0,110,9960,20880,20880,True
24,24,spacing_burst4,11080,11110,1260.0,11110,30840,30950,110,19730,19840,module_3,module_4,271,0,110,11220,19730,19730,True
25,25,spacing_burst4,11220,11250,140.0,11250,30950,31060,110,19700,19810,module_3,module_4,272,0,110,11360,19700,19700,True
26,26,spacing_burst4,11360,11390,140.0,11390,31060,31170,110,19670,19780,module_3,module_4,273,0,110,11500,19670,19670,True
27,27,spacing_burst4,11500,11530,140.0,11530,31170,31280,110,19640,19750,module_3,module_4,274,0,110,11640,19640,19640,True
28,28,spacing_burst4,12760,12790,1260.0,12790,31280,31390,110,18490,18600,module_3,module_4,275,0,110,12900,18490,18490,True
29,29,spacing_burst4,12900,12930,140.0,12930,31390,31500,110,18460,18570,module_3,module_4,276,0,110,13040,18460,18460,True
30,30,spacing_burst4,13040,13070,140.0,13070,31500,31610,110,18430,18540,module_3,module_4,277,0,110,13180,18430,18430,True
31,31,spacing_burst4,13180,13210,140.0,13210,31610,31720,110,18400,18510,module_3,module_4,278,0,110,13320,18400,18400,True
32,32,spacing_burst4,14440,14470,1260.0,14470,31720,31830,110,17250,17360,module_3,module_4,279,0,110,14580,17250,17250,True
33,33,spacing_burst4,14580,14610,140.0,14610,31830,31940,110,17220,17330,module_3,module_4,280,0,110,14720,17220,17220,True
34,34,spacing_burst4,14720,14750,140.0,14750,31940,32050,110,17190,17300,module_3,module_4,281,0,110,14860,17190,17190,True
