attacker_request_id,probe_id,spacing_name,round_start_time_ns,request_release_time_ns,preceding_interval_ns,actual_arrival_time_ns,service_start_time_ns,victim_on_completion_time_ns,service_time_ns,victim_on_waiting_time_ns,victim_on_turnaround_time_ns,source_module,target_modules,architecture_request_id,baseline_waiting_time_ns,baseline_turnaround_time_ns,baseline_completion_time_ns,excess_waiting_time_ns,excess_turnaround_time_ns,victim_contention_observed
0,0,spacing_uniform,1000,1030,,1030,1030,1140,110,0,110,module_3,module_4,0,0,110,1140,0,0,False
1,1,spacing_uniform,1420,1450,420.0,1450,2920,3030,110,1470,1580,module_3,module_4,17,0,110,1560,1470,1470,True
2,2,spacing_uniform,1840,1870,420.0,1870,3030,3140,110,1160,1270,module_3,module_4,18,0,110,1980,1160,1160,True
3,3,spacing_uniform,2260,2290,420.0,2290,3140,3250,110,850,960,module_3,module_4,19,0,110,2400,850,850,True
4,4,spacing_uniform,2680,2710,420.0,2710,3250,3360,110,540,650,module_3,module_4,20,0,110,2820,540,540,True
5,5,spacing_uniform,3100,3130,420.0,3130,3360,3470,110,230,340,module_3,module_4,21,0,110,3240,230,230,True
6,6,spacing_uniform,3520,3550,420.0,3550,3550,3660,110,0,110,module_3,module_4,22,0,110,3660,0,0,False
7,7,spacing_uniform,3940,3970,420.0,3970,3970,4080,110,0,110,module_3,module_4,23,0,110,4080,0,0,False
8,8,spacing_uniform,4360,4390,420.0,4390,4390,4500,110,0,110,module_3,module_4,24,0,110,4500,0,0,False
9,9,spacing_uniform,4780,4810,420.0,4810,4810,4920,110,0,110,module_3,module_4,25,0,110,4920,0,0,False
10,10,spacing_uniform,5200,5230,420.0,5230,5230,5340,110,0,110,module_3,module_4,26,0,110,5340,0,0,False
11,11,spacing_uniform,5620,5650,420.0,5650,5650,5760,110,0,110,module_3,module_4,27,0,110,5760,0,0,False
12,12,spacing_uniform,6040,6070,420.0,6070,6070,6180,110,0,110,module_3,module_4,28,0,110,6180,0,0,False
13,13,spacing_uniform,6460,6490,420.0,6490,6490,6600,110,0,110,module_3,module_4,29,0,110,6600,0,0,False
14,14,spacing_uniform,6880,6910,420.0,6910,6910,7020,110,0,110,module_3,module_4,30,0,110,7020,0,0,False
15,15,spacing_uniform,7300,7330,420.0,7330,7330,7440,110,0,110,module_3,module_4,31,0,110,7440,0,0,False
16,16,spacing_uniform,7720,7750,420.0,7750,7750,7860,110,0,110,module_3,module_4,32,0,110,7860,0,0,False
17,17,spacing_uniform,8140,8170,420.0,8170,8170,8280,110,0,110,module_3,module_4,33,0,110,8280,0,0,False
18,18,spacing_uniform,8560,8590,420.0,8590,8590,8700,110,0,110,module_3,module_4,34,0,110,8700,0,0,False
19,19,spacing_uniform,8980,9010,420.0,9010,9010,9120,110,0,110,module_3,module_4,35,0,110,9120,0,0,False
20,20,spacing_uniform,9400,9430,420.0,9430,9430,9540,110,0,110,module_3,module_4,36,0,110,9540,0,0,False
21,21,spacing_uniform,9820,9850,420.0,9850,9850,9960,110,0,110,module_3,module_4,37,0,110,9960,0,0,False
22,22,spacing_uniform,10240,10270,420.0,10270,10270,10380,110,0,110,module_3,module_4,38,0,110,10380,0,0,False
23,23,spacing_uniform,10660,10690,420.0,10690,10690,10800,110,0,110,module_3,module_4,39,0,110,10800,0,0,False
24,24,spacing_uniform,11080,11110,420.0,11110,11110,11220,110,0,110,module_3,module_4,40,0,110,11220,0,0,False
25,25,spacing_uniform,11500,11530,420.0,11530,11530,11640,110,0,110,module_3,module_4,41,0,110,11640,0,0,False
26,26,spacing_uniform,11920,11950,420.0,11950,11950,12060,110,0,110,module_3,module_4,42,0,110,12060,0,0,False
27,27,spacing_uniform,12340,12370,420.0,12370,12370,12480,110,0,110,module_3,module_4,43,0,110,12480,0,0,False
28,28,spacing_uniform,12760,12790,420.0,12790,12790,12900,110,0,110,module_3,module_4,44,0,110,12900,0,0,False
