attacker_request_id,probe_id,spacing_name,round_start_time_ns,request_release_time_ns,preceding_interval_ns,actual_arrival_time_ns,service_start_time_ns,victim_on_completion_time_ns,service_time_ns,victim_on_waiting_time_ns,victim_on_turnaround_time_ns,source_module,target_modules,architecture_request_id,baseline_waiting_time_ns,baseline_turnaround_time_ns,baseline_completion_time_ns,excess_waiting_time_ns,excess_turnaround_time_ns,victim_contention_observed
0,0,spacing_uniform,1000,1030,,1030,1030,1140,110,0,110,module_3,module_4,0,0,110,1140,0,0,False
1,1,spacing_uniform,1420,1450,420.0,1450,1450,1560,110,0,110,module_3,module_4,1,0,110,1560,0,0,False
2,2,spacing_uniform,1840,1870,420.0,1870,1870,1980,110,0,110,module_3,module_4,2,0,110,1980,0,0,False
3,3,spacing_uniform,2260,2290,420.0,2290,2290,2400,110,0,110,module_3,module_4,3,0,110,2400,0,0,False
4,4,spacing_uniform,2680,2710,420.0,2710,2710,2820,110,0,110,module_3,module_4,4,0,110,2820,0,0,False
5,5,spacing_uniform,3100,3130,420.0,3130,3130,3240,110,0,110,module_3,module_4,5,0,110,3240,0,0,False
6,6,spacing_uniform,3520,3550,420.0,3550,3550,3660,110,0,110,module_3,module_4,6,0,110,3660,0,0,False
7,7,spacing_uniform,3940,3970,420.0,3970,4650,4760,110,680,790,module_3,module_4,16,0,110,4080,680,680,True
8,8,spacing_uniform,4360,4390,420.0,4390,5310,5420,110,920,1030,module_3,module_4,22,0,110,4500,920,920,True
9,9,spacing_uniform,4780,4810,420.0,4810,5970,6080,110,1160,1270,module_3,module_4,28,0,110,4920,1160,1160,True
10,10,spacing_uniform,5200,5230,420.0,5230,6960,7070,110,1730,1840,module_3,module_4,37,0,110,5340,1730,1730,True
11,11,spacing_uniform,5620,5650,420.0,5650,7070,7180,110,1420,1530,module_3,module_4,38,0,110,5760,1420,1420,True
12,12,spacing_uniform,6040,6070,420.0,6070,7180,7290,110,1110,1220,module_3,module_4,39,0,110,6180,1110,1110,True
13,13,spacing_uniform,6460,6490,420.0,6490,7950,8060,110,1460,1570,module_3,module_4,46,0,110,6600,1460,1460,True
14,14,spacing_uniform,6880,6910,420.0,6910,8720,8830,110,1810,1920,module_3,module_4,53,0,110,7020,1810,1810,True
