attacker_request_id,probe_id,window_name,observation_duration_ns,round_start_time_ns,request_release_time_ns,actual_arrival_time_ns,service_start_time_ns,victim_on_completion_time_ns,service_time_ns,victim_on_waiting_time_ns,victim_on_turnaround_time_ns,source_module,target_modules,architecture_request_id,baseline_waiting_time_ns,baseline_turnaround_time_ns,baseline_completion_time_ns,excess_waiting_time_ns,excess_turnaround_time_ns,victim_contention_observed
0,0,window_10us_medium,10000,1000,1030,1030,1030,1140,110,0,110,module_3,module_4,0,0,110,1140,0,0,False
1,1,window_10us_medium,10000,1420,1450,1450,1450,1560,110,0,110,module_3,module_4,1,0,110,1560,0,0,False
2,2,window_10us_medium,10000,1840,1870,1870,1870,1980,110,0,110,module_3,module_4,2,0,110,1980,0,0,False
3,3,window_10us_medium,10000,2260,2290,2290,2290,2400,110,0,110,module_3,module_4,3,0,110,2400,0,0,False
4,4,window_10us_medium,10000,2680,2710,2710,2710,2820,110,0,110,module_3,module_4,4,0,110,2820,0,0,False
5,5,window_10us_medium,10000,3100,3130,3130,3130,3240,110,0,110,module_3,module_4,5,0,110,3240,0,0,False
6,6,window_10us_medium,10000,3520,3550,3550,3550,3660,110,0,110,module_3,module_4,6,0,110,3660,0,0,False
7,7,window_10us_medium,10000,3940,3970,3970,4650,4760,110,680,790,module_3,module_4,16,0,110,4080,680,680,True
8,8,window_10us_medium,10000,4360,4390,4390,5310,5420,110,920,1030,module_3,module_4,22,0,110,4500,920,920,True
9,9,window_10us_medium,10000,4780,4810,4810,5970,6080,110,1160,1270,module_3,module_4,28,0,110,4920,1160,1160,True
10,10,window_10us_medium,10000,5200,5230,5230,6960,7070,110,1730,1840,module_3,module_4,37,0,110,5340,1730,1730,True
11,11,window_10us_medium,10000,5620,5650,5650,7070,7180,110,1420,1530,module_3,module_4,38,0,110,5760,1420,1420,True
12,12,window_10us_medium,10000,6040,6070,6070,7180,7290,110,1110,1220,module_3,module_4,39,0,110,6180,1110,1110,True
13,13,window_10us_medium,10000,6460,6490,6490,7950,8060,110,1460,1570,module_3,module_4,46,0,110,6600,1460,1460,True
14,14,window_10us_medium,10000,6880,6910,6910,8720,8830,110,1810,1920,module_3,module_4,53,0,110,7020,1810,1810,True
15,15,window_10us_medium,10000,7300,7330,7330,9490,9600,110,2160,2270,module_3,module_4,60,0,110,7440,2160,2160,True
16,16,window_10us_medium,10000,7720,7750,7750,9600,9710,110,1850,1960,module_3,module_4,61,0,110,7860,1850,1850,True
17,17,window_10us_medium,10000,8140,8170,8170,9710,9820,110,1540,1650,module_3,module_4,62,0,110,8280,1540,1540,True
18,18,window_10us_medium,10000,8560,8590,8590,9820,9930,110,1230,1340,module_3,module_4,63,0,110,8700,1230,1230,True
19,19,window_10us_medium,10000,8980,9010,9010,9930,10040,110,920,1030,module_3,module_4,64,0,110,9120,920,920,True
20,20,window_10us_medium,10000,9400,9430,9430,10040,10150,110,610,720,module_3,module_4,65,0,110,9540,610,610,True
21,21,window_10us_medium,10000,9820,9850,9850,11140,11250,110,1290,1400,module_3,module_4,75,0,110,9960,1290,1290,True
22,22,window_10us_medium,10000,10240,10270,10270,11250,11360,110,980,1090,module_3,module_4,76,0,110,10380,980,980,True
23,23,window_10us_medium,10000,10660,10690,10690,12350,12460,110,1660,1770,module_3,module_4,86,0,110,10800,1660,1660,True
