attacker_request_id,probe_id,window_name,observation_duration_ns,round_start_time_ns,request_release_time_ns,actual_arrival_time_ns,service_start_time_ns,victim_on_completion_time_ns,service_time_ns,victim_on_waiting_time_ns,victim_on_turnaround_time_ns,source_module,target_modules,architecture_request_id,baseline_waiting_time_ns,baseline_turnaround_time_ns,baseline_completion_time_ns,excess_waiting_time_ns,excess_turnaround_time_ns,victim_contention_observed
0,0,window_10us_medium,10000,1000,1030,1030,1030,1140,110,0,110,module_3,module_4,0,0,110,1140,0,0,False
1,1,window_10us_medium,10000,1420,1450,1450,1850,1960,110,400,510,module_3,module_4,5,0,110,1560,400,400,True
2,2,window_10us_medium,10000,1840,1870,1870,5370,5480,110,3500,3610,module_3,module_4,37,0,110,1980,3500,3500,True
3,3,window_10us_medium,10000,2260,2290,2290,8010,8120,110,5720,5830,module_3,module_4,61,0,110,2400,5720,5720,True
4,4,window_10us_medium,10000,2680,2710,2710,9660,9770,110,6950,7060,module_3,module_4,76,0,110,2820,6950,6950,True
5,5,window_10us_medium,10000,3100,3130,3130,13510,13620,110,10380,10490,module_3,module_4,111,0,110,3240,10380,10380,True
6,6,window_10us_medium,10000,3520,3550,3550,17030,17140,110,13480,13590,module_3,module_4,143,0,110,3660,13480,13480,True
7,7,window_10us_medium,10000,3940,3970,3970,20330,20440,110,16360,16470,module_3,module_4,173,0,110,4080,16360,16360,True
8,8,window_10us_medium,10000,4360,4390,4390,23300,23410,110,18910,19020,module_3,module_4,200,0,110,4500,18910,18910,True
9,9,window_10us_medium,10000,4780,4810,4810,26050,26160,110,21240,21350,module_3,module_4,225,0,110,4920,21240,21240,True
10,10,window_10us_medium,10000,5200,5230,5230,26280,26390,110,21050,21160,module_3,module_4,227,0,110,5340,21050,21050,True
11,11,window_10us_medium,10000,5620,5650,5650,26390,26500,110,20740,20850,module_3,module_4,228,0,110,5760,20740,20740,True
12,12,window_10us_medium,10000,6040,6070,6070,26500,26610,110,20430,20540,module_3,module_4,229,0,110,6180,20430,20430,True
13,13,window_10us_medium,10000,6460,6490,6490,26610,26720,110,20120,20230,module_3,module_4,230,0,110,6600,20120,20120,True
14,14,window_10us_medium,10000,6880,6910,6910,26720,26830,110,19810,19920,module_3,module_4,231,0,110,7020,19810,19810,True
15,15,window_10us_medium,10000,7300,7330,7330,26830,26940,110,19500,19610,module_3,module_4,232,0,110,7440,19500,19500,True
16,16,window_10us_medium,10000,7720,7750,7750,26940,27050,110,19190,19300,module_3,module_4,233,0,110,7860,19190,19190,True
17,17,window_10us_medium,10000,8140,8170,8170,27050,27160,110,18880,18990,module_3,module_4,234,0,110,8280,18880,18880,True
18,18,window_10us_medium,10000,8560,8590,8590,27160,27270,110,18570,18680,module_3,module_4,235,0,110,8700,18570,18570,True
19,19,window_10us_medium,10000,8980,9010,9010,27270,27380,110,18260,18370,module_3,module_4,236,0,110,9120,18260,18260,True
20,20,window_10us_medium,10000,9400,9430,9430,27380,27490,110,17950,18060,module_3,module_4,237,0,110,9540,17950,17950,True
21,21,window_10us_medium,10000,9820,9850,9850,27490,27600,110,17640,17750,module_3,module_4,238,0,110,9960,17640,17640,True
22,22,window_10us_medium,10000,10240,10270,10270,27600,27710,110,17330,17440,module_3,module_4,239,0,110,10380,17330,17330,True
23,23,window_10us_medium,10000,10660,10690,10690,27710,27820,110,17020,17130,module_3,module_4,240,0,110,10800,17020,17020,True
