run_type,victim_remote_event_id,victim_trace_step,op_name,qubits,source_module,target_modules,arrival_time_ns,service_start_time_ns,completion_time_ns,waiting_time_ns,turnaround_time_ns,service_time_ns
victim_only,0,9,ccx,"1,2,9",module_0,module_2,1045,1045,1155,0,110,110
victim_only,1,10,ccx,"3,9,10",module_0,module_2,1050,1155,1265,105,215,110
victim_only,2,11,ccx,"4,10,5",module_1,module_2,1055,1265,1375,210,320,110
victim_only,3,12,ccx,"3,9,10",module_0,module_2,1060,1375,1485,315,425,110
victim_only,4,13,ccx,"1,2,9",module_0,module_2,1065,1485,1595,420,530,110
victim_only,5,17,ccx,"1,2,9",module_0,module_2,1085,1595,1705,510,620,110
victim_only,6,18,ccx,"3,9,10",module_0,module_2,1090,1705,1815,615,725,110
victim_only,7,19,ccx,"4,10,6",module_1,module_2,1095,1815,1925,720,830,110
victim_only,8,20,ccx,"3,9,10",module_0,module_2,1100,1925,2035,825,935,110
victim_only,9,21,ccx,"1,2,9",module_0,module_2,1105,2035,2145,930,1040,110
victim_only,10,24,ccx,"1,2,9",module_0,module_2,1120,2145,2255,1025,1135,110
victim_only,11,25,ccx,"3,9,10",module_0,module_2,1125,2255,2365,1130,1240,110
victim_only,12,26,ccx,"4,10,7",module_1,module_2,1130,2365,2475,1235,1345,110
victim_only,13,27,ccx,"3,9,10",module_0,module_2,1135,2475,2585,1340,1450,110
victim_only,14,28,ccx,"1,2,9",module_0,module_2,1140,2585,2695,1445,1555,110
victim_only,15,31,ccx,"2,3,8",module_0,module_2,1155,2695,2805,1540,1650,110
victim_only,16,34,ccx,"5,6,9",module_1,module_2,1170,2805,2915,1635,1745,110
victim_only,17,35,ccx,"7,9,10",module_1,module_2,1175,2915,3025,1740,1850,110
victim_only,18,36,ccx,"8,10,0",module_0,module_2,1180,3025,3135,1845,1955,110
victim_only,19,37,ccx,"7,9,10",module_1,module_2,1185,3135,3245,1950,2060,110
victim_only,20,38,ccx,"5,6,9",module_1,module_2,1190,3245,3355,2055,2165,110
victim_only,21,41,ccx,"2,3,8",module_0,module_2,1205,3355,3465,2150,2260,110
victim_only,22,44,ccx,"1,2,9",module_0,module_2,1220,3465,3575,2245,2355,110
victim_only,23,45,ccx,"3,9,10",module_0,module_2,1225,3575,3685,2350,2460,110
victim_only,24,46,ccx,"4,10,7",module_1,module_2,1230,3685,3795,2455,2565,110
victim_only,25,47,ccx,"3,9,10",module_0,module_2,1235,3795,3905,2560,2670,110
victim_only,26,48,ccx,"1,2,9",module_0,module_2,1240,3905,4015,2665,2775,110
victim_only,27,51,ccx,"1,2,9",module_0,module_2,1255,4015,4125,2760,2870,110
victim_only,28,52,ccx,"3,9,10",module_0,module_2,1260,4125,4235,2865,2975,110
victim_only,29,53,ccx,"4,10,6",module_1,module_2,1265,4235,4345,2970,3080,110
victim_only,30,54,ccx,"3,9,10",module_0,module_2,1270,4345,4455,3075,3185,110
victim_only,31,55,ccx,"1,2,9",module_0,module_2,1275,4455,4565,3180,3290,110
victim_only,32,59,ccx,"1,2,9",module_0,module_2,1295,4565,4675,3270,3380,110
victim_only,33,60,ccx,"3,9,10",module_0,module_2,1300,4675,4785,3375,3485,110
victim_only,34,61,ccx,"4,10,5",module_1,module_2,1305,4785,4895,3480,3590,110
victim_only,35,62,ccx,"3,9,10",module_0,module_2,1310,4895,5005,3585,3695,110
victim_only,36,63,ccx,"1,2,9",module_0,module_2,1315,5005,5115,3690,3800,110
victim_only,37,75,ccx,"1,2,9",module_0,module_2,1375,5115,5225,3740,3850,110
victim_only,38,76,ccx,"3,9,10",module_0,module_2,1380,5225,5335,3845,3955,110
victim_only,39,77,ccx,"4,10,0",module_0,"module_1,module_2",1385,5335,5455,3950,4070,120
victim_only,40,78,ccx,"3,9,10",module_0,module_2,1390,5455,5565,4065,4175,110
victim_only,41,79,ccx,"1,2,9",module_0,module_2,1395,5565,5675,4170,4280,110
