run_type,victim_remote_event_id,victim_trace_step,op_name,qubits,source_module,target_modules,arrival_time_ns,service_start_time_ns,completion_time_ns,waiting_time_ns,turnaround_time_ns,service_time_ns
victim_only,0,20,barrier,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",module_0,"module_1,module_2",1100,1100,1220,0,120,120
victim_only,1,21,cx,"0,18",module_0,module_2,1105,1220,1330,115,225,110
victim_only,2,22,cx,"1,18",module_0,module_2,1110,1330,1440,220,330,110
victim_only,3,23,cx,"2,18",module_0,module_2,1115,1440,1550,325,435,110
victim_only,4,24,cx,"3,18",module_0,module_2,1120,1550,1660,430,540,110
victim_only,5,25,cx,"4,18",module_0,module_2,1125,1660,1770,535,645,110
victim_only,6,26,cx,"5,18",module_0,module_2,1130,1770,1880,640,750,110
victim_only,7,27,cx,"6,18",module_0,module_2,1135,1880,1990,745,855,110
victim_only,8,28,cx,"7,18",module_1,module_2,1140,1990,2100,850,960,110
victim_only,9,29,cx,"8,18",module_1,module_2,1145,2100,2210,955,1065,110
victim_only,10,30,cx,"9,18",module_1,module_2,1150,2210,2320,1060,1170,110
victim_only,11,31,cx,"10,18",module_1,module_2,1155,2320,2430,1165,1275,110
victim_only,12,32,cx,"11,18",module_1,module_2,1160,2430,2540,1270,1380,110
victim_only,13,33,cx,"12,18",module_1,module_2,1165,2540,2650,1375,1485,110
victim_only,14,34,cx,"13,18",module_1,module_2,1170,2650,2760,1480,1590,110
victim_only,15,39,barrier,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",module_0,"module_1,module_2",1195,2760,2880,1565,1685,120
