attacker_request_id,probe_id,window_name,observation_duration_ns,round_start_time_ns,request_release_time_ns,actual_arrival_time_ns,service_start_time_ns,victim_on_completion_time_ns,service_time_ns,victim_on_waiting_time_ns,victim_on_turnaround_time_ns,source_module,target_modules,architecture_request_id,baseline_waiting_time_ns,baseline_turnaround_time_ns,baseline_completion_time_ns,excess_waiting_time_ns,excess_turnaround_time_ns,victim_contention_observed
0,0,window_5us_short,5000,1000,1030,1030,1030,1140,110,0,110,module_3,module_4,0,0,110,1140,0,0,False
1,1,window_5us_short,5000,1420,1450,1450,2920,3030,110,1470,1580,module_3,module_4,17,0,110,1560,1470,1470,True
2,2,window_5us_short,5000,1840,1870,1870,3030,3140,110,1160,1270,module_3,module_4,18,0,110,1980,1160,1160,True
3,3,window_5us_short,5000,2260,2290,2290,3140,3250,110,850,960,module_3,module_4,19,0,110,2400,850,850,True
4,4,window_5us_short,5000,2680,2710,2710,3250,3360,110,540,650,module_3,module_4,20,0,110,2820,540,540,True
5,5,window_5us_short,5000,3100,3130,3130,3360,3470,110,230,340,module_3,module_4,21,0,110,3240,230,230,True
6,6,window_5us_short,5000,3520,3550,3550,3550,3660,110,0,110,module_3,module_4,22,0,110,3660,0,0,False
7,7,window_5us_short,5000,3940,3970,3970,3970,4080,110,0,110,module_3,module_4,23,0,110,4080,0,0,False
8,8,window_5us_short,5000,4360,4390,4390,4390,4500,110,0,110,module_3,module_4,24,0,110,4500,0,0,False
9,9,window_5us_short,5000,4780,4810,4810,4810,4920,110,0,110,module_3,module_4,25,0,110,4920,0,0,False
10,10,window_5us_short,5000,5200,5230,5230,5230,5340,110,0,110,module_3,module_4,26,0,110,5340,0,0,False
11,11,window_5us_short,5000,5620,5650,5650,5650,5760,110,0,110,module_3,module_4,27,0,110,5760,0,0,False
