configuration_id,tenancy_model,compute_qubits_per_module,communication_qubits_per_module,communication_qubits_per_tenant,spatial_isolation_degree,local_routing_paths_shared,reset_pipeline_shared,endpoint_lock_scope,trial_count,acceptance_probability,unconditional_node_only_leakage_ns,unconditional_hub4_leakage_ns
dedicated_communication_interface__cq16__mq1__mqt1__iso0p0__route_dedicated__reset_dedicated__communication_qubit_specific,dedicated_communication_interface,16,1,1,0.0,False,False,communication_qubit_specific,15,0.0,0.0,0.0
dedicated_communication_interface__cq16__mq1__mqt1__iso0p0__route_dedicated__reset_dedicated__module_wide,dedicated_communication_interface,16,1,1,0.0,False,False,module_wide,15,0.0,0.0,0.0
dedicated_communication_interface__cq16__mq1__mqt1__iso0p0__route_dedicated__reset_shared__communication_qubit_specific,dedicated_communication_interface,16,1,1,0.0,False,True,communication_qubit_specific,15,0.0,0.0,0.0
dedicated_communication_interface__cq16__mq1__mqt1__iso0p0__route_dedicated__reset_shared__module_wide,dedicated_communication_interface,16,1,1,0.0,False,True,module_wide,15,0.0,0.0,0.0
dedicated_communication_interface__cq16__mq1__mqt1__iso0p0__route_shared__reset_dedicated__communication_qubit_specific,dedicated_communication_interface,16,1,1,0.0,True,False,communication_qubit_specific,15,0.0,0.0,0.0
dedicated_communication_interface__cq16__mq1__mqt1__iso0p0__route_shared__reset_dedicated__module_wide,dedicated_communication_interface,16,1,1,0.0,True,False,module_wide,15,0.0,0.0,0.0
dedicated_communication_interface__cq16__mq1__mqt1__iso0p0__route_shared__reset_shared__communication_qubit_specific,dedicated_communication_interface,16,1,1,0.0,True,True,communication_qubit_specific,15,0.0,0.0,0.0
dedicated_communication_interface__cq16__mq1__mqt1__iso0p0__route_shared__reset_shared__module_wide,dedicated_communication_interface,16,1,1,0.0,True,True,module_wide,15,0.0,0.0,0.0
dedicated_communication_interface__cq16__mq1__mqt1__iso0p5__route_dedicated__reset_dedicated__communication_qubit_specific,dedicated_communication_interface,16,1,1,0.5,False,False,communication_qubit_specific,15,0.0,0.0,0.0
dedicated_communication_interface__cq16__mq1__mqt1__iso0p5__route_dedicated__reset_dedicated__module_wide,dedicated_communication_interface,16,1,1,0.5,False,False,module_wide,15,0.0,0.0,0.0
dedicated_communication_interface__cq16__mq1__mqt1__iso0p5__route_dedicated__reset_shared__communication_qubit_specific,dedicated_communication_interface,16,1,1,0.5,False,True,communication_qubit_specific,15,0.0,0.0,0.0
dedicated_communication_interface__cq16__mq1__mqt1__iso0p5__route_dedicated__reset_shared__module_wide,dedicated_communication_interface,16,1,1,0.5,False,True,module_wide,15,0.0,0.0,0.0
dedicated_communication_interface__cq16__mq1__mqt1__iso0p5__route_shared__reset_dedicated__communication_qubit_specific,dedicated_communication_interface,16,1,1,0.5,True,False,communication_qubit_specific,15,0.0,0.0,0.0
dedicated_communication_interface__cq16__mq1__mqt1__iso0p5__route_shared__reset_dedicated__module_wide,dedicated_communication_interface,16,1,1,0.5,True,False,module_wide,15,0.0,0.0,0.0
