tenancy_model,effect_name,positive_sample_count,negative_sample_count,positive_mean_node_only_leakage_ns,negative_mean_node_only_leakage_ns,estimated_main_effect_ns
dedicated_communication_interface,module_wide_minus_specific,1152,1152,46.953125,29.710919415509263,17.242205584490737
dedicated_communication_interface,route_overlap_minus_no_overlap,618,1686,50.68483683926646,33.8041221826809,16.88071465658556
dedicated_communication_interface,reset_overlap_minus_no_overlap,1152,1152,46.953125,29.710919415509263,17.242205584490737
dedicated_communication_interface,comm_overlap_minus_no_overlap,0,2304,,38.332022207754626,
hybrid_shared_pipeline,module_wide_minus_specific,1152,1152,46.953125,46.953125,0.0
hybrid_shared_pipeline,route_overlap_minus_no_overlap,618,1686,49.0062028047465,46.20057334914986,2.8056294555966375
hybrid_shared_pipeline,reset_overlap_minus_no_overlap,2304,0,46.953125,,
hybrid_shared_pipeline,comm_overlap_minus_no_overlap,0,2304,,46.953125,
module_exclusive,module_wide_minus_specific,2340,2340,0.0,0.0,0.0
module_exclusive,route_overlap_minus_no_overlap,0,4680,,0.0,
module_exclusive,reset_overlap_minus_no_overlap,0,4680,,0.0,
module_exclusive,comm_overlap_minus_no_overlap,0,4680,,0.0,
shared_communication_interface,module_wide_minus_specific,1920,1920,46.95312500000001,41.63400607638889,5.319118923611114
shared_communication_interface,route_overlap_minus_no_overlap,1023,2817,52.29584147930924,41.387520707608566,10.908320771700673
shared_communication_interface,reset_overlap_minus_no_overlap,1920,1920,46.95312500000001,41.63400607638889,5.319118923611114
shared_communication_interface,comm_overlap_minus_no_overlap,3840,0,44.29356553819445,,
spatial_qubit_partitioning,module_wide_minus_specific,1920,1920,46.95312500000001,36.74424913194444,10.208875868055564
spatial_qubit_partitioning,route_overlap_minus_no_overlap,991,2849,51.06552724520687,38.64268895518896,12.422838290017914
spatial_qubit_partitioning,reset_overlap_minus_no_overlap,1920,1920,46.95312500000001,36.74424913194444,10.208875868055564
spatial_qubit_partitioning,comm_overlap_minus_no_overlap,2775,1065,43.298986486486484,38.06973787167449,5.229248614811993
time_sliced_module_sharing,module_wide_minus_specific,2160,2160,384.56886574074076,376.0832368827161,8.485628858024654
time_sliced_module_sharing,route_overlap_minus_no_overlap,1164,3156,388.96925114547537,377.13825517532746,11.83099597014791
time_sliced_module_sharing,reset_overlap_minus_no_overlap,2160,2160,384.56886574074076,376.0832368827161,8.485628858024654
time_sliced_module_sharing,comm_overlap_minus_no_overlap,4320,0,380.3260513117284,,
