allocation_policy,allocation_coordination,trial_count,mean_cq_queue_delay_ns,mean_excess_cq_queue_delay_ns,mean_excess_latency_ns,mean_detection_probability,mean_balanced_detection_accuracy,mean_conflict_count,mean_request_failure_rate,mean_cq_utilization,mean_reset_utilization,mean_allocation_hold_utilization,mean_reservation_utilization,mean_effective_cq_utilization,mean_epr_wastage_fraction,mean_grant_fairness,mean_wait_fairness,mean_victim_slowdown_ratio,mean_allocation_change_probability,mean_redirected_endpoints
coherence_aware,global,90,75.50324074074075,0.0,0.0,0.0,0.5,10978.333333333334,0.0725204799417323,0.11789813804441217,0.059290136438324224,0.0,0.4171069963176164,0.5942952708003528,0.10054931725794472,0.7585898972742746,0.2626142737973821,1.12094016175553,0.17199074074074075,0.0
coherence_aware,local,90,0.20625,0.044444444444444446,0.044444444444444446,0.0004629629629629629,0.5002314814814816,10732.18888888889,0.07661157294459002,0.11684773414611889,0.05900607146923028,0.1098529324067917,0.4278977826167096,0.7136045206388504,0.12095446647907668,0.7567907065225419,0.26276688591136677,1.4530821264761462,0.16712962962962963,0.0
fair_share,global,90,0.22013888888888888,0.0,-0.19675925925925927,0.0,0.5,11360.733333333334,0.0739684067338242,0.11822122111654873,0.05910756907620756,0.0,0.5082391845399441,0.6855679747327004,0.148892974369999,0.7595893889591134,0.2574556062855409,1.2452588332342296,0.4076388888888889,0.0
fair_share,local,90,0.0,0.0,-0.30092592592592593,0.00023148148148148146,0.5001157407407407,11195.366666666667,0.10688282960626413,0.11351984055123447,0.0569312552292067,0.12002920756745615,0.5070826744978514,0.7975629778457487,0.15507539337360882,0.7497856808670491,0.26617806819350576,1.1861959015360681,0.37199074074074073,0.0
first_available,global,90,75.84060185185186,0.0,0.0,0.0,0.5,11283.022222222222,0.07030595429765259,0.11878968177584076,0.05921840827128222,0.0,0.5094924267180004,0.6875005167651234,0.15346990767523852,0.7596021627816938,0.2631110860779743,1.0959816218451788,0.3189814814814815,0.0
first_available,local,90,0.41712962962962963,0.06018518518518519,0.06018518518518519,0.0004629629629629629,0.5002314814814816,10560.166666666666,0.07762115382158077,0.1183011003223006,0.059040143357662445,0.10718137693426193,0.5111135444828823,0.7956361650971071,0.15360761088266273,0.7592259266189845,0.2627430559945033,1.2869168874671668,0.37754629629629627,0.0
per_tenant_reserved,global,90,0.0,0.0,0.0,0.0,0.5,10443.866666666667,0.32293476921560416,0.08819385929780808,0.045008870354561914,0.0,0.27500322204462757,0.4082059516969976,0.08393382573189337,0.4598860186191668,0.7502703913880835,1.0,1.0,0.0
per_tenant_reserved,local,90,0.0,0.0,0.0,0.0,0.5,10420.31111111111,0.32293476921560416,0.08832401388913268,0.04505908982092316,0.018038371376075144,0.27534684643959917,0.42676832152573013,0.08475399379912026,0.4598860186191668,0.7502703913880835,1.0,1.0,0.0
predicted_demand,global,90,12.870833333333334,12.502777777777778,12.676388888888889,0.005092592592592592,0.5025462962962963,11095.822222222223,0.07861685767496963,0.11640202991600355,0.05876129573371251,0.0,0.4124790235329015,0.5876423491826175,0.0985883416541138,0.7628822068644324,0.2689275562579505,1.2581850838348212,0.011111111111111112,0.0
predicted_demand,local,90,0.25,0.0,0.0,0.0,0.5,10861.055555555555,0.1082355501340321,0.11141179556302024,0.05643424196695395,0.11841744945734548,0.42444408928526156,0.7107075762725812,0.12406325881029859,0.7660772470335729,0.2649391854115612,1.324384834636723,0.0,0.0
priority_allocation,global,90,151.04425925925926,0.0,0.0,0.0,0.5,11473.955555555556,0.06431592421915003,0.12128254809511085,0.06018697882372934,0.0,0.5099140621444048,0.691383589063245,0.15974245055558975,0.7520121772790347,0.2621493571245913,1.149141536394999,0.40231481481481485,0.0
priority_allocation,local,90,0.0,0.0,0.0,0.0,0.5,10656.355555555556,0.06745689432501577,0.12081216533551133,0.060190042796306784,0.10480762153104614,0.513164319291404,0.7989741489542682,0.15379738460142525,0.7424440199648007,0.262248632313441,1.220599218997802,0.33819444444444446,0.0
random_allocation,global,90,0.0,0.0,-0.7523148148148148,0.00023148148148148146,0.5001157407407407,11255.866666666667,0.06698568612847551,0.1226574838014324,0.05992958176917259,0.0,0.48566752641848254,0.6682545919890875,0.16218272342865075,0.7572112383547919,0.25850425140512684,1.138918369381477,0.19490740740740742,0.0
random_allocation,local,90,0.17962962962962964,-0.15324074074074073,-0.4888888888888889,0.00324074074074074,0.5016203703703704,10890.577777777778,0.08488600197328851,0.11955508913207648,0.058596741744335885,0.114706231340008,0.4873410016687533,0.7801990638851737,0.18686941089735679,0.7556050876819929,0.2588865986970814,1.322356212954866,0.2039351851851852,0.0
round_robin,global,90,0.1613425925925926,0.0,-0.0925925925925926,0.0006944444444444445,0.5003472222222223,11403.8,0.07299049145562428,0.11913470254921477,0.05937524347174659,0.0,0.5074897611261581,0.6859997071471194,0.14477387295954983,0.7534053002769221,0.2614875363238519,1.1243545157099584,0.2604166666666667,0.0
round_robin,local,90,81.28977826510722,0.2675925925925926,0.09398148148148147,0.00162037037037037,0.5008101851851852,11147.755555555555,0.08837621927232933,0.11674160691921652,0.058348305319053634,0.10891267851643127,0.5107238594922423,0.7947264502469438,0.1568816688712713,0.757792684366144,0.2613437058668376,1.1929307285928765,0.2303240740740741,0.0
shared_global_pool,global,90,0.0,0.0,-7.233796296296297,0.00023148148148148146,0.5001157407407407,4664.6,0.005095973743032567,0.1287584890067608,0.06412597276028281,0.0,0.682296781074887,0.8751812428419306,0.15395566852823203,0.7666270395492347,0.33893943509557195,1.1295694451161673,0.7682870370370369,295.15555555555557
shared_global_pool,local,90,0.0,0.0,-8.206018518518519,0.0,0.5,4901.766666666666,0.013282325605380634,0.12797135743633042,0.06376509344319546,0.0,0.685806039684323,0.8775424905638488,0.1591317855118877,0.7677860861679455,0.33347292944098006,1.1157778506744185,0.8087962962962963,292.3333333333333
static_assignment,global,90,0.0,0.0,0.0,0.0,0.5,14239.477777777778,0.11159101793209952,0.10900207646902792,0.05515993513702114,0.0,0.3830469954253001,0.5472090070313491,0.08078376263537185,0.7684328099975779,0.2641278442510853,1.0,0.0,0.0
static_assignment,local,90,0.0,0.0,0.0,0.0,0.5,14794.544444444444,0.1462803606453986,0.10324357630938936,0.0526041599235812,0.057896378897824806,0.3779315631707177,0.591675678301513,0.09029221536647679,0.7569370220324659,0.2781977483848663,1.0,0.0,0.0
