allocation_policy,trial_count,mean_cq_queue_delay_ns,mean_excess_cq_queue_delay_ns,mean_excess_latency_ns,mean_detection_probability,mean_balanced_detection_accuracy,mean_conflict_count,mean_request_failure_rate,mean_cq_utilization,mean_reset_utilization,mean_allocation_hold_utilization,mean_reservation_utilization,mean_effective_cq_utilization,mean_epr_wastage_fraction,mean_grant_fairness,mean_wait_fairness,mean_victim_slowdown_ratio,mean_allocation_change_probability,mean_redirected_endpoints
coherence_aware,555,52.13607357357357,36.70461711711712,36.70461711711712,0.02286036036036036,0.5114301801801802,9615.291891891891,0.07401347498481278,0.11416372986348743,0.06215228581766764,0.017813989038939194,0.36258226013763195,0.5567122648577262,0.03591953249789536,0.7632791137967538,0.35586468604562466,1.1046775376156852,0.08866366366366367,0.0
fair_share,555,28.87882882882883,26.50472972972973,26.424024024024025,0.023048048048048046,0.511524024024024,9945.216216216217,0.08419292097946389,0.11296378216748579,0.061169064270738475,0.019464195821749648,0.42962914380170225,0.6232261860616761,0.04929216774220667,0.765180400003692,0.3434978774496923,1.0754530860027927,0.383521021021021,0.0
first_available,555,48.867845345345344,33.97417417417417,33.97417417417417,0.023123123123123125,0.5115615615615616,9781.832432432433,0.07728671402727658,0.11407429415192515,0.06163594786452231,0.017380763827177608,0.43271535931380223,0.6258063651574274,0.049796354360740744,0.7637838727634793,0.3397365844248139,1.0550740171547657,0.40701951951951953,0.0
per_tenant_reserved,555,0.0,0.0,0.0,0.10810810810810811,0.5540540540540541,9831.156756756756,0.3066057870634356,0.08456197394658427,0.045357677528019065,0.002925141304228402,0.2450736552833917,0.3779184480622234,0.02735478154556978,0.5227044006880716,0.6717823283734714,1.0,1.0,0.0
predicted_demand,555,16.88262012012012,13.432957957957958,13.461111111111112,0.021471471471471472,0.5107357357357357,9523.091891891892,0.08207559581911121,0.1126289193083971,0.06141985411230824,0.019202829641731697,0.3660585784125905,0.5593101814750274,0.03610566494017498,0.7656673650229181,0.3506175286706511,1.101333020342873,0.05183933933933934,0.0
priority_allocation,555,51.069939939939935,24.560135135135134,24.560135135135134,0.023986486486486488,0.5119932432432432,9799.418018018017,0.07354895182546993,0.11497131133761981,0.062207536812312926,0.016995830518548024,0.43258355486222866,0.6267582335307094,0.05084429759302946,0.7586178947499949,0.3355512104596327,1.0584265536821884,0.4100225225225225,0.0
random_allocation,555,42.522822822822825,36.35394144144144,36.17751501501501,0.02376126126126126,0.5118806306306306,9853.657657657657,0.07600321626324234,0.11515657004974862,0.0620576007864847,0.018601010487568865,0.41360085266251406,0.6094160339863163,0.056603048809622844,0.764292296738053,0.3440511027761368,1.0848086007559432,0.17398648648648649,0.0
round_robin,555,47.82825983878616,32.931981981981984,32.88881381381382,0.023048048048048046,0.511524024024024,9904.347747747748,0.07882557293185519,0.11379040156682672,0.06202238541473168,0.01766151543509696,0.4306747037902022,0.6241490062068575,0.04891711489148451,0.7628667507286453,0.34315554047990465,1.0700571779928973,0.345045045045045,0.0
shared_global_pool,555,30.161486486486485,29.988325825825825,27.484572072072073,0.016966966966966965,0.5084834834834835,4981.756756756757,0.010790352117862204,0.13113444635020588,0.07153540285431557,0.0,0.5806903001061464,0.7833601493106679,0.050770938492992385,0.7831867467583211,0.43758801678168924,1.1370028022402903,0.8518018018018018,296.7927927927928
static_assignment,555,1.059572072072072,-0.09722222222222222,-0.09722222222222222,0.0,0.5,14661.428828828828,0.1214878461076925,0.1044486998735217,0.055857662919594646,0.00938860198343105,0.3241214978334037,0.4938164626099511,0.027742050486786265,0.7748129117289045,0.2835667662810309,0.9506554858041043,0.0,0.0
