scope,sample_count,true_positive,true_negative,false_positive,false_negative,accuracy,balanced_accuracy,sensitivity_recall,specificity,precision,f1,subexperiment,allocation_policy,communication_qubits_per_module
overall,11100,2869,4167,1383,2681,0.6338738738738738,0.6338738738738738,0.516936936936937,0.7508108108108108,0.6747412982126059,0.5853907365843705,,,
subexperiment,4800,927,1985,415,1473,0.6066666666666667,0.6066666666666667,0.38625,0.8270833333333333,0.6907600596125186,0.4954569748797435,core_policy_capacity_tenancy,,
subexperiment,3600,1078,1266,534,722,0.6511111111111111,0.6511111111111112,0.5988888888888889,0.7033333333333334,0.6687344913151365,0.6318874560375146,epr_coordination_granularity,,
subexperiment,2700,864,916,434,486,0.6592592592592592,0.6592592592592592,0.64,0.6785185185185185,0.6656394453004623,0.6525679758308157,reservation_reset,,
policy,480,24,233,7,216,0.5354166666666667,0.5354166666666667,0.1,0.9708333333333333,0.7741935483870968,0.1771217712177122,core_policy_capacity_tenancy,coherence_aware,
policy,480,152,192,48,88,0.7166666666666667,0.7166666666666667,0.6333333333333333,0.8,0.76,0.6909090909090909,core_policy_capacity_tenancy,fair_share,
policy,480,121,212,28,119,0.69375,0.69375,0.5041666666666667,0.8833333333333333,0.8120805369127517,0.6221079691516709,core_policy_capacity_tenancy,first_available,
policy,480,60,240,0,180,0.625,0.625,0.25,1.0,1.0,0.4,core_policy_capacity_tenancy,per_tenant_reserved,
policy,480,9,238,2,231,0.5145833333333333,0.5145833333333334,0.0375,0.9916666666666667,0.8181818181818182,0.07171314741035856,core_policy_capacity_tenancy,predicted_demand,
policy,480,134,200,40,106,0.6958333333333333,0.6958333333333333,0.5583333333333333,0.8333333333333334,0.7701149425287356,0.6473429951690821,core_policy_capacity_tenancy,priority_allocation,
policy,480,132,139,101,108,0.5645833333333333,0.5645833333333334,0.55,0.5791666666666667,0.5665236051502146,0.5581395348837209,core_policy_capacity_tenancy,random_allocation,
policy,480,145,174,66,95,0.6645833333333333,0.6645833333333333,0.6041666666666666,0.725,0.6872037914691943,0.6430155210643015,core_policy_capacity_tenancy,round_robin,
policy,480,143,118,122,97,0.54375,0.54375,0.5958333333333333,0.49166666666666664,0.539622641509434,0.5663366336633664,core_policy_capacity_tenancy,shared_global_pool,
policy,480,7,239,1,233,0.5125,0.5125,0.029166666666666667,0.9958333333333333,0.875,0.056451612903225805,core_policy_capacity_tenancy,static_assignment,
policy,360,58,144,36,122,0.5611111111111111,0.5611111111111111,0.32222222222222224,0.8,0.6170212765957447,0.4233576642335766,epr_coordination_granularity,coherence_aware,
policy,360,170,105,75,10,0.7638888888888888,0.7638888888888888,0.9444444444444444,0.5833333333333334,0.6938775510204082,0.7999999999999999,epr_coordination_granularity,fair_share,
policy,360,138,127,53,42,0.7361111111111112,0.7361111111111112,0.7666666666666667,0.7055555555555556,0.7225130890052356,0.7439353099730458,epr_coordination_granularity,first_available,
policy,360,45,135,45,135,0.5,0.5,0.25,0.75,0.5,0.3333333333333333,epr_coordination_granularity,per_tenant_reserved,
policy,360,48,135,45,132,0.5083333333333333,0.5083333333333333,0.26666666666666666,0.75,0.5161290322580645,0.3516483516483517,epr_coordination_granularity,predicted_demand,
policy,360,134,107,73,46,0.6694444444444444,0.6694444444444445,0.7444444444444445,0.5944444444444444,0.6473429951690821,0.6925064599483204,epr_coordination_granularity,priority_allocation,
policy,360,145,91,89,35,0.6555555555555556,0.6555555555555556,0.8055555555555556,0.5055555555555555,0.6196581196581197,0.7004830917874396,epr_coordination_granularity,random_allocation,
policy,360,142,119,61,38,0.725,0.725,0.7888888888888889,0.6611111111111111,0.6995073891625616,0.7415143603133159,epr_coordination_granularity,round_robin,
policy,360,153,168,12,27,0.8916666666666667,0.8916666666666666,0.85,0.9333333333333333,0.9272727272727272,0.8869565217391303,epr_coordination_granularity,shared_global_pool,
policy,360,45,135,45,135,0.5,0.5,0.25,0.75,0.5,0.3333333333333333,epr_coordination_granularity,static_assignment,
policy,270,72,98,37,63,0.6296296296296297,0.6296296296296297,0.5333333333333333,0.725925925925926,0.6605504587155964,0.5901639344262296,reservation_reset,coherence_aware,
policy,270,115,77,58,20,0.7111111111111111,0.7111111111111111,0.8518518518518519,0.5703703703703704,0.6647398843930635,0.7467532467532467,reservation_reset,fair_share,
policy,270,104,99,36,31,0.7518518518518519,0.7518518518518518,0.7703703703703704,0.7333333333333333,0.7428571428571429,0.7563636363636363,reservation_reset,first_available,
policy,270,45,90,45,90,0.5,0.5,0.3333333333333333,0.6666666666666666,0.5,0.4,reservation_reset,per_tenant_reserved,
