attacker_request_id,rate_name,rate_multiplier,probe_round_period_ns,probe_round_id,round_start_time_ns,request_release_time_ns,actual_arrival_time_ns,service_start_time_ns,victim_on_completion_time_ns,service_time_ns,victim_on_waiting_time_ns,victim_on_turnaround_time_ns,source_module,target_modules,architecture_request_id,baseline_waiting_time_ns,baseline_turnaround_time_ns,baseline_completion_time_ns,excess_waiting_time_ns,excess_turnaround_time_ns,victim_contention_observed
0,rate_0p50x_low,0.5,840,0,1000,1030,1030,1030,1140,110,0,110,module_3,module_4,0,0,110,1140,0,0,False
1,rate_0p50x_low,0.5,840,1,1840,1870,1870,5260,5370,110,3390,3500,module_3,module_4,36,0,110,1980,3390,3390,True
2,rate_0p50x_low,0.5,840,2,2680,2710,2710,9440,9550,110,6730,6840,module_3,module_4,74,0,110,2820,6730,6730,True
3,rate_0p50x_low,0.5,840,3,3520,3550,3550,16700,16810,110,13150,13260,module_3,module_4,140,0,110,3660,13150,13150,True
4,rate_0p50x_low,0.5,840,4,4360,4390,4390,22860,22970,110,18470,18580,module_3,module_4,196,0,110,4500,18470,18470,True
5,rate_0p50x_low,0.5,840,5,5200,5230,5230,25730,25840,110,20500,20610,module_3,module_4,222,0,110,5340,20500,20500,True
6,rate_0p50x_low,0.5,840,6,6040,6070,6070,25840,25950,110,19770,19880,module_3,module_4,223,0,110,6180,19770,19770,True
7,rate_0p50x_low,0.5,840,7,6880,6910,6910,25950,26060,110,19040,19150,module_3,module_4,224,0,110,7020,19040,19040,True
8,rate_0p50x_low,0.5,840,8,7720,7750,7750,26060,26170,110,18310,18420,module_3,module_4,225,0,110,7860,18310,18310,True
9,rate_0p50x_low,0.5,840,9,8560,8590,8590,26170,26280,110,17580,17690,module_3,module_4,226,0,110,8700,17580,17580,True
10,rate_0p50x_low,0.5,840,10,9400,9430,9430,26280,26390,110,16850,16960,module_3,module_4,227,0,110,9540,16850,16850,True
11,rate_0p50x_low,0.5,840,11,10240,10270,10270,26390,26500,110,16120,16230,module_3,module_4,228,0,110,10380,16120,16120,True
12,rate_0p50x_low,0.5,840,12,11080,11110,11110,26500,26610,110,15390,15500,module_3,module_4,229,0,110,11220,15390,15390,True
13,rate_0p50x_low,0.5,840,13,11920,11950,11950,26610,26720,110,14660,14770,module_3,module_4,230,0,110,12060,14660,14660,True
14,rate_0p50x_low,0.5,840,14,12760,12790,12790,26720,26830,110,13930,14040,module_3,module_4,231,0,110,12900,13930,13930,True
15,rate_0p50x_low,0.5,840,15,13600,13630,13630,26830,26940,110,13200,13310,module_3,module_4,232,0,110,13740,13200,13200,True
16,rate_0p50x_low,0.5,840,16,14440,14470,14470,26940,27050,110,12470,12580,module_3,module_4,233,0,110,14580,12470,12470,True
17,rate_0p50x_low,0.5,840,17,15280,15310,15310,27050,27160,110,11740,11850,module_3,module_4,234,0,110,15420,11740,11740,True
18,rate_0p50x_low,0.5,840,18,16120,16150,16150,27160,27270,110,11010,11120,module_3,module_4,235,0,110,16260,11010,11010,True
19,rate_0p50x_low,0.5,840,19,16960,16990,16990,27270,27380,110,10280,10390,module_3,module_4,236,0,110,17100,10280,10280,True
20,rate_0p50x_low,0.5,840,20,17800,17830,17830,27380,27490,110,9550,9660,module_3,module_4,237,0,110,17940,9550,9550,True
21,rate_0p50x_low,0.5,840,21,18640,18670,18670,27490,27600,110,8820,8930,module_3,module_4,238,0,110,18780,8820,8820,True
22,rate_0p50x_low,0.5,840,22,19480,19510,19510,27600,27710,110,8090,8200,module_3,module_4,239,0,110,19620,8090,8090,True
23,rate_0p50x_low,0.5,840,23,20320,20350,20350,27710,27820,110,7360,7470,module_3,module_4,240,0,110,20460,7360,7360,True
