attacker_request_id,rate_name,rate_multiplier,probe_round_period_ns,probe_round_id,round_start_time_ns,request_release_time_ns,actual_arrival_time_ns,service_start_time_ns,victim_on_completion_time_ns,service_time_ns,victim_on_waiting_time_ns,victim_on_turnaround_time_ns,source_module,target_modules,architecture_request_id,baseline_waiting_time_ns,baseline_turnaround_time_ns,baseline_completion_time_ns,excess_waiting_time_ns,excess_turnaround_time_ns,victim_contention_observed
0,rate_0p50x_low,0.5,840,0,1000,1030,1030,1140,1250,110,110,220,module_3,module_4,1,0,110,1140,110,110,True
1,rate_0p50x_low,0.5,840,1,1840,1870,1870,9610,9720,110,7740,7850,module_3,module_4,78,0,110,1980,7740,7740,True
2,rate_0p50x_low,0.5,840,2,2680,2710,2710,18080,18190,110,15370,15480,module_3,module_4,155,0,110,2820,15370,15370,True
3,rate_0p50x_low,0.5,840,3,3520,3550,3550,26550,26660,110,23000,23110,module_3,module_4,232,0,110,3660,23000,23000,True
4,rate_0p50x_low,0.5,840,4,4360,4390,4390,28640,28750,110,24250,24360,module_3,module_4,251,0,110,4500,24250,24250,True
5,rate_0p50x_low,0.5,840,5,5200,5230,5230,28750,28860,110,23520,23630,module_3,module_4,252,0,110,5340,23520,23520,True
6,rate_0p50x_low,0.5,840,6,6040,6070,6070,28860,28970,110,22790,22900,module_3,module_4,253,0,110,6180,22790,22790,True
7,rate_0p50x_low,0.5,840,7,6880,6910,6910,28970,29080,110,22060,22170,module_3,module_4,254,0,110,7020,22060,22060,True
8,rate_0p50x_low,0.5,840,8,7720,7750,7750,29080,29190,110,21330,21440,module_3,module_4,255,0,110,7860,21330,21330,True
9,rate_0p50x_low,0.5,840,9,8560,8590,8590,29190,29300,110,20600,20710,module_3,module_4,256,0,110,8700,20600,20600,True
10,rate_0p50x_low,0.5,840,10,9400,9430,9430,29300,29410,110,19870,19980,module_3,module_4,257,0,110,9540,19870,19870,True
11,rate_0p50x_low,0.5,840,11,10240,10270,10270,29410,29520,110,19140,19250,module_3,module_4,258,0,110,10380,19140,19140,True
12,rate_0p50x_low,0.5,840,12,11080,11110,11110,29520,29630,110,18410,18520,module_3,module_4,259,0,110,11220,18410,18410,True
13,rate_0p50x_low,0.5,840,13,11920,11950,11950,29630,29740,110,17680,17790,module_3,module_4,260,0,110,12060,17680,17680,True
14,rate_0p50x_low,0.5,840,14,12760,12790,12790,29740,29850,110,16950,17060,module_3,module_4,261,0,110,12900,16950,16950,True
15,rate_0p50x_low,0.5,840,15,13600,13630,13630,29850,29960,110,16220,16330,module_3,module_4,262,0,110,13740,16220,16220,True
16,rate_0p50x_low,0.5,840,16,14440,14470,14470,29960,30070,110,15490,15600,module_3,module_4,263,0,110,14580,15490,15490,True
17,rate_0p50x_low,0.5,840,17,15280,15310,15310,30070,30180,110,14760,14870,module_3,module_4,264,0,110,15420,14760,14760,True
18,rate_0p50x_low,0.5,840,18,16120,16150,16150,30180,30290,110,14030,14140,module_3,module_4,265,0,110,16260,14030,14030,True
19,rate_0p50x_low,0.5,840,19,16960,16990,16990,30290,30400,110,13300,13410,module_3,module_4,266,0,110,17100,13300,13300,True
20,rate_0p50x_low,0.5,840,20,17800,17830,17830,30400,30510,110,12570,12680,module_3,module_4,267,0,110,17940,12570,12570,True
21,rate_0p50x_low,0.5,840,21,18640,18670,18670,30510,30620,110,11840,11950,module_3,module_4,268,0,110,18780,11840,11840,True
22,rate_0p50x_low,0.5,840,22,19480,19510,19510,30620,30730,110,11110,11220,module_3,module_4,269,0,110,19620,11110,11110,True
23,rate_0p50x_low,0.5,840,23,20320,20350,20350,30730,30840,110,10380,10490,module_3,module_4,270,0,110,20460,10380,10380,True
