attacker_request_id,rate_name,rate_multiplier,probe_round_period_ns,probe_round_id,round_start_time_ns,request_release_time_ns,actual_arrival_time_ns,service_start_time_ns,victim_on_completion_time_ns,service_time_ns,victim_on_waiting_time_ns,victim_on_turnaround_time_ns,source_module,target_modules,architecture_request_id,baseline_waiting_time_ns,baseline_turnaround_time_ns,baseline_completion_time_ns,excess_waiting_time_ns,excess_turnaround_time_ns,victim_contention_observed
0,rate_2p00x_high,2.0,210,0,1000,1030,1030,1030,1140,110,0,110,module_3,module_4,0,0,110,1140,0,0,False
1,rate_2p00x_high,2.0,210,1,1210,1240,1240,1240,1350,110,0,110,module_3,module_4,1,0,110,1350,0,0,False
2,rate_2p00x_high,2.0,210,2,1420,1450,1450,1850,1960,110,400,510,module_3,module_4,6,0,110,1560,400,400,True
3,rate_2p00x_high,2.0,210,3,1630,1660,1660,3720,3830,110,2060,2170,module_3,module_4,23,0,110,1770,2060,2060,True
4,rate_2p00x_high,2.0,210,4,1840,1870,1870,5480,5590,110,3610,3720,module_3,module_4,39,0,110,1980,3610,3610,True
5,rate_2p00x_high,2.0,210,5,2050,2080,2080,6910,7020,110,4830,4940,module_3,module_4,52,0,110,2190,4830,4830,True
6,rate_2p00x_high,2.0,210,6,2260,2290,2290,8230,8340,110,5940,6050,module_3,module_4,64,0,110,2400,5940,5940,True
7,rate_2p00x_high,2.0,210,7,2470,2500,2500,9220,9330,110,6720,6830,module_3,module_4,73,0,110,2610,6720,6720,True
8,rate_2p00x_high,2.0,210,8,2680,2710,2710,9990,10100,110,7280,7390,module_3,module_4,80,0,110,2820,7280,7280,True
9,rate_2p00x_high,2.0,210,9,2890,2920,2920,11970,12080,110,9050,9160,module_3,module_4,98,0,110,3030,9050,9050,True
10,rate_2p00x_high,2.0,210,10,3100,3130,3130,13950,14060,110,10820,10930,module_3,module_4,116,0,110,3240,10820,10820,True
11,rate_2p00x_high,2.0,210,11,3310,3340,3340,15600,15710,110,12260,12370,module_3,module_4,131,0,110,3450,12260,12260,True
12,rate_2p00x_high,2.0,210,12,3520,3550,3550,17580,17690,110,14030,14140,module_3,module_4,149,0,110,3660,14030,14030,True
13,rate_2p00x_high,2.0,210,13,3730,3760,3760,19010,19120,110,15250,15360,module_3,module_4,162,0,110,3870,15250,15250,True
14,rate_2p00x_high,2.0,210,14,3940,3970,3970,20990,21100,110,17020,17130,module_3,module_4,180,0,110,4080,17020,17020,True
15,rate_2p00x_high,2.0,210,15,4150,4180,4180,22200,22310,110,18020,18130,module_3,module_4,191,0,110,4290,18020,18020,True
16,rate_2p00x_high,2.0,210,16,4360,4390,4390,24070,24180,110,19680,19790,module_3,module_4,208,0,110,4500,19680,19680,True
17,rate_2p00x_high,2.0,210,17,4570,4600,4600,25280,25390,110,20680,20790,module_3,module_4,219,0,110,4710,20680,20680,True
18,rate_2p00x_high,2.0,210,18,4780,4810,4810,26930,27040,110,22120,22230,module_3,module_4,234,0,110,4920,22120,22120,True
19,rate_2p00x_high,2.0,210,19,4990,5020,5020,27160,27270,110,22140,22250,module_3,module_4,236,0,110,5130,22140,22140,True
20,rate_2p00x_high,2.0,210,20,5200,5230,5230,27270,27380,110,22040,22150,module_3,module_4,237,0,110,5340,22040,22040,True
21,rate_2p00x_high,2.0,210,21,5410,5440,5440,27380,27490,110,21940,22050,module_3,module_4,238,0,110,5550,21940,21940,True
22,rate_2p00x_high,2.0,210,22,5620,5650,5650,27490,27600,110,21840,21950,module_3,module_4,239,0,110,5760,21840,21840,True
23,rate_2p00x_high,2.0,210,23,5830,5860,5860,27600,27710,110,21740,21850,module_3,module_4,240,0,110,5970,21740,21740,True
24,rate_2p00x_high,2.0,210,24,6040,6070,6070,27710,27820,110,21640,21750,module_3,module_4,241,0,110,6180,21640,21640,True
25,rate_2p00x_high,2.0,210,25,6250,6280,6280,27820,27930,110,21540,21650,module_3,module_4,242,0,110,6390,21540,21540,True
26,rate_2p00x_high,2.0,210,26,6460,6490,6490,27930,28040,110,21440,21550,module_3,module_4,243,0,110,6600,21440,21440,True
27,rate_2p00x_high,2.0,210,27,6670,6700,6700,28040,28150,110,21340,21450,module_3,module_4,244,0,110,6810,21340,21340,True
28,rate_2p00x_high,2.0,210,28,6880,6910,6910,28150,28260,110,21240,21350,module_3,module_4,245,0,110,7020,21240,21240,True
29,rate_2p00x_high,2.0,210,29,7090,7120,7120,28260,28370,110,21140,21250,module_3,module_4,246,0,110,7230,21140,21140,True
30,rate_2p00x_high,2.0,210,30,7300,7330,7330,28370,28480,110,21040,21150,module_3,module_4,247,0,110,7440,21040,21040,True
31,rate_2p00x_high,2.0,210,31,7510,7540,7540,28480,28590,110,20940,21050,module_3,module_4,248,0,110,7650,20940,20940,True
32,rate_2p00x_high,2.0,210,32,7720,7750,7750,28590,28700,110,20840,20950,module_3,module_4,249,0,110,7860,20840,20840,True
33,rate_2p00x_high,2.0,210,33,7930,7960,7960,28700,28810,110,20740,20850,module_3,module_4,250,0,110,8070,20740,20740,True
34,rate_2p00x_high,2.0,210,34,8140,8170,8170,28810,28920,110,20640,20750,module_3,module_4,251,0,110,8280,20640,20640,True
35,rate_2p00x_high,2.0,210,35,8350,8380,8380,28920,29030,110,20540,20650,module_3,module_4,252,0,110,8490,20540,20540,True
36,rate_2p00x_high,2.0,210,36,8560,8590,8590,29030,29140,110,20440,20550,module_3,module_4,253,0,110,8700,20440,20440,True
37,rate_2p00x_high,2.0,210,37,8770,8800,8800,29140,29250,110,20340,20450,module_3,module_4,254,0,110,8910,20340,20340,True
38,rate_2p00x_high,2.0,210,38,8980,9010,9010,29250,29360,110,20240,20350,module_3,module_4,255,0,110,9120,20240,20240,True
39,rate_2p00x_high,2.0,210,39,9190,9220,9220,29360,29470,110,20140,20250,module_3,module_4,256,0,110,9330,20140,20140,True
40,rate_2p00x_high,2.0,210,40,9400,9430,9430,29470,29580,110,20040,20150,module_3,module_4,257,0,110,9540,20040,20040,True
41,rate_2p00x_high,2.0,210,41,9610,9640,9640,29580,29690,110,19940,20050,module_3,module_4,258,0,110,9750,19940,19940,True
42,rate_2p00x_high,2.0,210,42,9820,9850,9850,29690,29800,110,19840,19950,module_3,module_4,259,0,110,9960,19840,19840,True
43,rate_2p00x_high,2.0,210,43,10030,10060,10060,29800,29910,110,19740,19850,module_3,module_4,260,0,110,10170,19740,19740,True
44,rate_2p00x_high,2.0,210,44,10240,10270,10270,29910,30020,110,19640,19750,module_3,module_4,261,0,110,10380,19640,19640,True
45,rate_2p00x_high,2.0,210,45,10450,10480,10480,30020,30130,110,19540,19650,module_3,module_4,262,0,110,10590,19540,19540,True
46,rate_2p00x_high,2.0,210,46,10660,10690,10690,30130,30240,110,19440,19550,module_3,module_4,263,0,110,10800,19440,19440,True
47,rate_2p00x_high,2.0,210,47,10870,10900,10900,30240,30350,110,19340,19450,module_3,module_4,264,0,110,11010,19340,19340,True
48,rate_2p00x_high,2.0,210,48,11080,11110,11110,30350,30460,110,19240,19350,module_3,module_4,265,0,110,11220,19240,19240,True
49,rate_2p00x_high,2.0,210,49,11290,11320,11320,30460,30570,110,19140,19250,module_3,module_4,266,0,110,11430,19140,19140,True
50,rate_2p00x_high,2.0,210,50,11500,11530,11530,30570,30680,110,19040,19150,module_3,module_4,267,0,110,11640,19040,19040,True
51,rate_2p00x_high,2.0,210,51,11710,11740,11740,30680,30790,110,18940,19050,module_3,module_4,268,0,110,11850,18940,18940,True
52,rate_2p00x_high,2.0,210,52,11920,11950,11950,30790,30900,110,18840,18950,module_3,module_4,269,0,110,12060,18840,18840,True
53,rate_2p00x_high,2.0,210,53,12130,12160,12160,30900,31010,110,18740,18850,module_3,module_4,270,0,110,12270,18740,18740,True
54,rate_2p00x_high,2.0,210,54,12340,12370,12370,31010,31120,110,18640,18750,module_3,module_4,271,0,110,12480,18640,18640,True
55,rate_2p00x_high,2.0,210,55,12550,12580,12580,31120,31230,110,18540,18650,module_3,module_4,272,0,110,12690,18540,18540,True
56,rate_2p00x_high,2.0,210,56,12760,12790,12790,31230,31340,110,18440,18550,module_3,module_4,273,0,110,12900,18440,18440,True
57,rate_2p00x_high,2.0,210,57,12970,13000,13000,31340,31450,110,18340,18450,module_3,module_4,274,0,110,13110,18340,18340,True
58,rate_2p00x_high,2.0,210,58,13180,13210,13210,31450,31560,110,18240,18350,module_3,module_4,275,0,110,13320,18240,18240,True
59,rate_2p00x_high,2.0,210,59,13390,13420,13420,31560,31670,110,18140,18250,module_3,module_4,276,0,110,13530,18140,18140,True
60,rate_2p00x_high,2.0,210,60,13600,13630,13630,31670,31780,110,18040,18150,module_3,module_4,277,0,110,13740,18040,18040,True
61,rate_2p00x_high,2.0,210,61,13810,13840,13840,31780,31890,110,17940,18050,module_3,module_4,278,0,110,13950,17940,17940,True
62,rate_2p00x_high,2.0,210,62,14020,14050,14050,31890,32000,110,17840,17950,module_3,module_4,279,0,110,14160,17840,17840,True
63,rate_2p00x_high,2.0,210,63,14230,14260,14260,32000,32110,110,17740,17850,module_3,module_4,280,0,110,14370,17740,17740,True
64,rate_2p00x_high,2.0,210,64,14440,14470,14470,32110,32220,110,17640,17750,module_3,module_4,281,0,110,14580,17640,17640,True
65,rate_2p00x_high,2.0,210,65,14650,14680,14680,32220,32330,110,17540,17650,module_3,module_4,282,0,110,14790,17540,17540,True
66,rate_2p00x_high,2.0,210,66,14860,14890,14890,32330,32440,110,17440,17550,module_3,module_4,283,0,110,15000,17440,17440,True
67,rate_2p00x_high,2.0,210,67,15070,15100,15100,32440,32550,110,17340,17450,module_3,module_4,284,0,110,15210,17340,17340,True
68,rate_2p00x_high,2.0,210,68,15280,15310,15310,32550,32660,110,17240,17350,module_3,module_4,285,0,110,15420,17240,17240,True
69,rate_2p00x_high,2.0,210,69,15490,15520,15520,32660,32770,110,17140,17250,module_3,module_4,286,0,110,15630,17140,17140,True
70,rate_2p00x_high,2.0,210,70,15700,15730,15730,32770,32880,110,17040,17150,module_3,module_4,287,0,110,15840,17040,17040,True
71,rate_2p00x_high,2.0,210,71,15910,15940,15940,32880,32990,110,16940,17050,module_3,module_4,288,0,110,16050,16940,16940,True
72,rate_2p00x_high,2.0,210,72,16120,16150,16150,32990,33100,110,16840,16950,module_3,module_4,289,0,110,16260,16840,16840,True
73,rate_2p00x_high,2.0,210,73,16330,16360,16360,33100,33210,110,16740,16850,module_3,module_4,290,0,110,16470,16740,16740,True
74,rate_2p00x_high,2.0,210,74,16540,16570,16570,33210,33320,110,16640,16750,module_3,module_4,291,0,110,16680,16640,16640,True
75,rate_2p00x_high,2.0,210,75,16750,16780,16780,33320,33430,110,16540,16650,module_3,module_4,292,0,110,16890,16540,16540,True
76,rate_2p00x_high,2.0,210,76,16960,16990,16990,33430,33540,110,16440,16550,module_3,module_4,293,0,110,17100,16440,16440,True
77,rate_2p00x_high,2.0,210,77,17170,17200,17200,33540,33650,110,16340,16450,module_3,module_4,294,0,110,17310,16340,16340,True
78,rate_2p00x_high,2.0,210,78,17380,17410,17410,33650,33760,110,16240,16350,module_3,module_4,295,0,110,17520,16240,16240,True
79,rate_2p00x_high,2.0,210,79,17590,17620,17620,33760,33870,110,16140,16250,module_3,module_4,296,0,110,17730,16140,16140,True
80,rate_2p00x_high,2.0,210,80,17800,17830,17830,33870,33980,110,16040,16150,module_3,module_4,297,0,110,17940,16040,16040,True
81,rate_2p00x_high,2.0,210,81,18010,18040,18040,33980,34090,110,15940,16050,module_3,module_4,298,0,110,18150,15940,15940,True
82,rate_2p00x_high,2.0,210,82,18220,18250,18250,34090,34200,110,15840,15950,module_3,module_4,299,0,110,18360,15840,15840,True
83,rate_2p00x_high,2.0,210,83,18430,18460,18460,34200,34310,110,15740,15850,module_3,module_4,300,0,110,18570,15740,15740,True
84,rate_2p00x_high,2.0,210,84,18640,18670,18670,34310,34420,110,15640,15750,module_3,module_4,301,0,110,18780,15640,15640,True
85,rate_2p00x_high,2.0,210,85,18850,18880,18880,34420,34530,110,15540,15650,module_3,module_4,302,0,110,18990,15540,15540,True
86,rate_2p00x_high,2.0,210,86,19060,19090,19090,34530,34640,110,15440,15550,module_3,module_4,303,0,110,19200,15440,15440,True
87,rate_2p00x_high,2.0,210,87,19270,19300,19300,34640,34750,110,15340,15450,module_3,module_4,304,0,110,19410,15340,15340,True
88,rate_2p00x_high,2.0,210,88,19480,19510,19510,34750,34860,110,15240,15350,module_3,module_4,305,0,110,19620,15240,15240,True
89,rate_2p00x_high,2.0,210,89,19690,19720,19720,34860,34970,110,15140,15250,module_3,module_4,306,0,110,19830,15140,15140,True
90,rate_2p00x_high,2.0,210,90,19900,19930,19930,34970,35080,110,15040,15150,module_3,module_4,307,0,110,20040,15040,15040,True
91,rate_2p00x_high,2.0,210,91,20110,20140,20140,35080,35190,110,14940,15050,module_3,module_4,308,0,110,20250,14940,14940,True
