attacker_request_id,rate_name,rate_multiplier,probe_round_period_ns,probe_round_id,round_start_time_ns,request_release_time_ns,actual_arrival_time_ns,service_start_time_ns,victim_on_completion_time_ns,service_time_ns,victim_on_waiting_time_ns,victim_on_turnaround_time_ns,source_module,target_modules,architecture_request_id,baseline_waiting_time_ns,baseline_turnaround_time_ns,baseline_completion_time_ns,excess_waiting_time_ns,excess_turnaround_time_ns,victim_contention_observed
0,rate_3p00x_dense,3.0,140,0,1000,1030,1030,1030,1140,110,0,110,module_3,module_4,0,0,110,1140,0,0,False
1,rate_3p00x_dense,3.0,140,1,1140,1170,1170,1170,1280,110,0,110,module_3,module_4,1,0,110,1280,0,0,False
2,rate_3p00x_dense,3.0,140,2,1280,1310,1310,1310,1420,110,0,110,module_3,module_4,2,0,110,1420,0,0,False
3,rate_3p00x_dense,3.0,140,3,1420,1450,1450,1450,1560,110,0,110,module_3,module_4,3,0,110,1560,0,0,False
4,rate_3p00x_dense,3.0,140,4,1560,1590,1590,1590,1700,110,0,110,module_3,module_4,4,0,110,1700,0,0,False
5,rate_3p00x_dense,3.0,140,5,1700,1730,1730,1730,1840,110,0,110,module_3,module_4,5,0,110,1840,0,0,False
6,rate_3p00x_dense,3.0,140,6,1840,1870,1870,1870,1980,110,0,110,module_3,module_4,6,0,110,1980,0,0,False
7,rate_3p00x_dense,3.0,140,7,1980,2010,2010,2010,2120,110,0,110,module_3,module_4,7,0,110,2120,0,0,False
8,rate_3p00x_dense,3.0,140,8,2120,2150,2150,2150,2260,110,0,110,module_3,module_4,8,0,110,2260,0,0,False
9,rate_3p00x_dense,3.0,140,9,2260,2290,2290,2290,2400,110,0,110,module_3,module_4,9,0,110,2400,0,0,False
10,rate_3p00x_dense,3.0,140,10,2400,2430,2430,2430,2540,110,0,110,module_3,module_4,10,0,110,2540,0,0,False
11,rate_3p00x_dense,3.0,140,11,2540,2570,2570,2570,2680,110,0,110,module_3,module_4,11,0,110,2680,0,0,False
12,rate_3p00x_dense,3.0,140,12,2680,2710,2710,2710,2820,110,0,110,module_3,module_4,12,0,110,2820,0,0,False
13,rate_3p00x_dense,3.0,140,13,2820,2850,2850,2850,2960,110,0,110,module_3,module_4,13,0,110,2960,0,0,False
14,rate_3p00x_dense,3.0,140,14,2960,2990,2990,2990,3100,110,0,110,module_3,module_4,14,0,110,3100,0,0,False
15,rate_3p00x_dense,3.0,140,15,3100,3130,3130,3130,3240,110,0,110,module_3,module_4,15,0,110,3240,0,0,False
16,rate_3p00x_dense,3.0,140,16,3240,3270,3270,3270,3380,110,0,110,module_3,module_4,16,0,110,3380,0,0,False
17,rate_3p00x_dense,3.0,140,17,3380,3410,3410,3410,3520,110,0,110,module_3,module_4,17,0,110,3520,0,0,False
18,rate_3p00x_dense,3.0,140,18,3520,3550,3550,3550,3660,110,0,110,module_3,module_4,18,0,110,3660,0,0,False
19,rate_3p00x_dense,3.0,140,19,3660,3690,3690,4540,4650,110,850,960,module_3,module_4,27,0,110,3800,850,850,True
20,rate_3p00x_dense,3.0,140,20,3800,3830,3830,4760,4870,110,930,1040,module_3,module_4,29,0,110,3940,930,930,True
21,rate_3p00x_dense,3.0,140,21,3940,3970,3970,4870,4980,110,900,1010,module_3,module_4,30,0,110,4080,900,900,True
22,rate_3p00x_dense,3.0,140,22,4080,4110,4110,4980,5090,110,870,980,module_3,module_4,31,0,110,4220,870,870,True
23,rate_3p00x_dense,3.0,140,23,4220,4250,4250,5090,5200,110,840,950,module_3,module_4,32,0,110,4360,840,840,True
24,rate_3p00x_dense,3.0,140,24,4360,4390,4390,5750,5860,110,1360,1470,module_3,module_4,38,0,110,4500,1360,1360,True
25,rate_3p00x_dense,3.0,140,25,4500,4530,4530,6300,6410,110,1770,1880,module_3,module_4,43,0,110,4640,1770,1770,True
26,rate_3p00x_dense,3.0,140,26,4640,4670,4670,6410,6520,110,1740,1850,module_3,module_4,44,0,110,4780,1740,1740,True
27,rate_3p00x_dense,3.0,140,27,4780,4810,4810,6630,6740,110,1820,1930,module_3,module_4,46,0,110,4920,1820,1820,True
28,rate_3p00x_dense,3.0,140,28,4920,4950,4950,7510,7620,110,2560,2670,module_3,module_4,54,0,110,5060,2560,2560,True
