run_type,victim_remote_event_id,victim_trace_step,op_name,qubits,source_module,target_modules,arrival_time_ns,service_start_time_ns,completion_time_ns,waiting_time_ns,turnaround_time_ns,service_time_ns
victim_present,0,511,cx,"5,6",module_0,module_1,3555,3660,3770,105,215,110
victim_present,1,514,cx,"6,5",module_0,module_1,3570,3770,3880,200,310,110
victim_present,2,517,cx,"5,6",module_0,module_1,3585,3880,3990,295,405,110
victim_present,3,523,cx,"5,6",module_0,module_1,3615,3990,4100,375,485,110
victim_present,4,526,cx,"6,5",module_0,module_1,3630,4100,4210,470,580,110
victim_present,5,529,cx,"5,6",module_0,module_1,3645,4210,4320,565,675,110
victim_present,6,535,cx,"5,6",module_0,module_1,3675,4320,4430,645,755,110
victim_present,7,538,cx,"6,5",module_0,module_1,3690,4430,4540,740,850,110
victim_present,8,541,cx,"5,6",module_0,module_1,3705,4650,4760,945,1055,110
victim_present,9,661,cx,"11,12",module_1,module_2,4305,5200,5310,895,1005,110
victim_present,10,664,cx,"12,11",module_1,module_2,4320,5310,5420,990,1100,110
victim_present,11,667,cx,"11,12",module_1,module_2,4335,5420,5530,1085,1195,110
victim_present,12,673,cx,"11,12",module_1,module_2,4365,5530,5640,1165,1275,110
victim_present,13,676,cx,"12,11",module_1,module_2,4380,5640,5750,1260,1370,110
victim_present,14,679,cx,"11,12",module_1,module_2,4395,5860,5970,1465,1575,110
victim_present,15,685,cx,"11,12",module_1,module_2,4425,5970,6080,1545,1655,110
victim_present,16,688,cx,"12,11",module_1,module_2,4440,6080,6190,1640,1750,110
victim_present,17,691,cx,"11,12",module_1,module_2,4455,6190,6300,1735,1845,110
victim_present,18,761,cx,"15,0",module_0,module_2,4805,6520,6630,1715,1825,110
victim_present,19,764,cx,"0,15",module_0,module_2,4820,6740,6850,1920,2030,110
victim_present,20,767,cx,"15,0",module_0,module_2,4835,6850,6960,2015,2125,110
victim_present,21,773,cx,"15,0",module_0,module_2,4865,6960,7070,2095,2205,110
victim_present,22,776,cx,"0,15",module_0,module_2,4880,7070,7180,2190,2300,110
victim_present,23,779,cx,"15,0",module_0,module_2,4895,7180,7290,2285,2395,110
victim_present,24,785,cx,"15,0",module_0,module_2,4925,7290,7400,2365,2475,110
victim_present,25,788,cx,"0,15",module_0,module_2,4940,7400,7510,2460,2570,110
victim_present,26,791,cx,"15,0",module_0,module_2,4955,7620,7730,2665,2775,110
victim_present,27,1040,cx,"5,6",module_0,module_1,6200,8610,8720,2410,2520,110
victim_present,28,1043,cx,"6,5",module_0,module_1,6215,8830,8940,2615,2725,110
victim_present,29,1046,cx,"5,6",module_0,module_1,6230,8940,9050,2710,2820,110
victim_present,30,1082,cx,"11,12",module_1,module_2,6410,9160,9270,2750,2860,110
victim_present,31,1085,cx,"12,11",module_1,module_2,6425,9270,9380,2845,2955,110
victim_present,32,1088,cx,"11,12",module_1,module_2,6440,9380,9490,2940,3050,110
victim_present,33,1110,cx,"15,0",module_0,module_2,6550,9600,9710,3050,3160,110
victim_present,34,1113,cx,"0,15",module_0,module_2,6565,9710,9820,3145,3255,110
victim_present,35,1116,cx,"15,0",module_0,module_2,6580,9820,9930,3240,3350,110
victim_present,36,1147,cx,"5,6",module_0,module_1,6735,10040,10150,3305,3415,110
victim_present,37,1150,cx,"6,5",module_0,module_1,6750,10150,10260,3400,3510,110
victim_present,38,1153,cx,"5,6",module_0,module_1,6765,10260,10370,3495,3605,110
victim_present,39,1183,cx,"11,12",module_1,module_2,6915,10590,10700,3675,3785,110
victim_present,40,1186,cx,"12,11",module_1,module_2,6930,10700,10810,3770,3880,110
victim_present,41,1189,cx,"11,12",module_1,module_2,6945,10810,10920,3865,3975,110
victim_present,42,1207,cx,"15,0",module_0,module_2,7035,10920,11030,3885,3995,110
victim_present,43,1210,cx,"0,15",module_0,module_2,7050,11030,11140,3980,4090,110
victim_present,44,1213,cx,"15,0",module_0,module_2,7065,11250,11360,4185,4295,110
victim_present,45,1727,cx,"5,6",module_0,module_1,9635,13340,13450,3705,3815,110
victim_present,46,1730,cx,"6,5",module_0,module_1,9650,13450,13560,3800,3910,110
victim_present,47,1733,cx,"5,6",module_0,module_1,9665,13560,13670,3895,4005,110
victim_present,48,1739,cx,"5,6",module_0,module_1,9695,13670,13780,3975,4085,110
victim_present,49,1742,cx,"6,5",module_0,module_1,9710,13780,13890,4070,4180,110
victim_present,50,1745,cx,"5,6",module_0,module_1,9725,14000,14110,4275,4385,110
victim_present,51,1751,cx,"5,6",module_0,module_1,9755,14110,14220,4355,4465,110
victim_present,52,1754,cx,"6,5",module_0,module_1,9770,14220,14330,4450,4560,110
victim_present,53,1757,cx,"5,6",module_0,module_1,9785,14330,14440,4545,4655,110
