attacker_request_id,rate_name,rate_multiplier,probe_round_period_ns,probe_round_id,round_start_time_ns,request_release_time_ns,actual_arrival_time_ns,service_start_time_ns,victim_on_completion_time_ns,service_time_ns,victim_on_waiting_time_ns,victim_on_turnaround_time_ns,source_module,target_modules,architecture_request_id,baseline_waiting_time_ns,baseline_turnaround_time_ns,baseline_completion_time_ns,excess_waiting_time_ns,excess_turnaround_time_ns,victim_contention_observed
0,rate_3p00x_dense,3.0,140,0,1000,1030,1030,1030,1140,110,0,110,module_3,module_4,0,0,110,1140,0,0,False
1,rate_3p00x_dense,3.0,140,1,1140,1170,1170,1170,1280,110,0,110,module_3,module_4,1,0,110,1280,0,0,False
2,rate_3p00x_dense,3.0,140,2,1280,1310,1310,1310,1420,110,0,110,module_3,module_4,2,0,110,1420,0,0,False
3,rate_3p00x_dense,3.0,140,3,1420,1450,1450,1860,1970,110,410,520,module_3,module_4,7,0,110,1560,410,410,True
4,rate_3p00x_dense,3.0,140,4,1560,1590,1590,3180,3290,110,1590,1700,module_3,module_4,19,0,110,1700,1590,1590,True
5,rate_3p00x_dense,3.0,140,5,1700,1730,1730,4280,4390,110,2550,2660,module_3,module_4,29,0,110,1840,2550,2550,True
6,rate_3p00x_dense,3.0,140,6,1840,1870,1870,5600,5710,110,3730,3840,module_3,module_4,41,0,110,1980,3730,3730,True
7,rate_3p00x_dense,3.0,140,7,1980,2010,2010,6480,6590,110,4470,4580,module_3,module_4,49,0,110,2120,4470,4470,True
8,rate_3p00x_dense,3.0,140,8,2120,2150,2150,7250,7360,110,5100,5210,module_3,module_4,56,0,110,2260,5100,5100,True
9,rate_3p00x_dense,3.0,140,9,2260,2290,2290,8460,8570,110,6170,6280,module_3,module_4,67,0,110,2400,6170,6170,True
10,rate_3p00x_dense,3.0,140,10,2400,2430,2430,8790,8900,110,6360,6470,module_3,module_4,70,0,110,2540,6360,6360,True
11,rate_3p00x_dense,3.0,140,11,2540,2570,2570,10220,10330,110,7650,7760,module_3,module_4,83,0,110,2680,7650,7650,True
12,rate_3p00x_dense,3.0,140,12,2680,2710,2710,10330,10440,110,7620,7730,module_3,module_4,84,0,110,2820,7620,7620,True
13,rate_3p00x_dense,3.0,140,13,2820,2850,2850,11760,11870,110,8910,9020,module_3,module_4,97,0,110,2960,8910,8910,True
14,rate_3p00x_dense,3.0,140,14,2960,2990,2990,13080,13190,110,10090,10200,module_3,module_4,109,0,110,3100,10090,10090,True
15,rate_3p00x_dense,3.0,140,15,3100,3130,3130,14400,14510,110,11270,11380,module_3,module_4,121,0,110,3240,11270,11270,True
16,rate_3p00x_dense,3.0,140,16,3240,3270,3270,15720,15830,110,12450,12560,module_3,module_4,133,0,110,3380,12450,12450,True
17,rate_3p00x_dense,3.0,140,17,3380,3410,3410,16820,16930,110,13410,13520,module_3,module_4,143,0,110,3520,13410,13410,True
18,rate_3p00x_dense,3.0,140,18,3520,3550,3550,18140,18250,110,14590,14700,module_3,module_4,155,0,110,3660,14590,14590,True
19,rate_3p00x_dense,3.0,140,19,3660,3690,3690,19020,19130,110,15330,15440,module_3,module_4,163,0,110,3800,15330,15330,True
20,rate_3p00x_dense,3.0,140,20,3800,3830,3830,20340,20450,110,16510,16620,module_3,module_4,175,0,110,3940,16510,16510,True
21,rate_3p00x_dense,3.0,140,21,3940,3970,3970,21660,21770,110,17690,17800,module_3,module_4,187,0,110,4080,17690,17690,True
22,rate_3p00x_dense,3.0,140,22,4080,4110,4110,22320,22430,110,18210,18320,module_3,module_4,193,0,110,4220,18210,18210,True
23,rate_3p00x_dense,3.0,140,23,4220,4250,4250,23640,23750,110,19390,19500,module_3,module_4,205,0,110,4360,19390,19390,True
24,rate_3p00x_dense,3.0,140,24,4360,4390,4390,24850,24960,110,20460,20570,module_3,module_4,216,0,110,4500,20460,20460,True
25,rate_3p00x_dense,3.0,140,25,4500,4530,4530,25400,25510,110,20870,20980,module_3,module_4,221,0,110,4640,20870,20870,True
26,rate_3p00x_dense,3.0,140,26,4640,4670,4670,26720,26830,110,22050,22160,module_3,module_4,233,0,110,4780,22050,22050,True
