attacker_request_id,rate_name,rate_multiplier,probe_round_period_ns,probe_round_id,round_start_time_ns,request_release_time_ns,actual_arrival_time_ns,service_start_time_ns,victim_on_completion_time_ns,service_time_ns,victim_on_waiting_time_ns,victim_on_turnaround_time_ns,source_module,target_modules,architecture_request_id,baseline_waiting_time_ns,baseline_turnaround_time_ns,baseline_completion_time_ns,excess_waiting_time_ns,excess_turnaround_time_ns,victim_contention_observed
0,rate_4p00x_sat,4.0,105,0,1000,1030,1030,1030,1140,110,0,110,module_3,module_4,0,0,110,1140,0,0,False
1,rate_4p00x_sat,4.0,105,1,1105,1135,1135,1140,1250,110,5,115,module_3,module_4,1,5,115,1250,0,0,False
2,rate_4p00x_sat,4.0,105,2,1210,1240,1240,1250,1360,110,10,120,module_3,module_4,2,10,120,1360,0,0,False
3,rate_4p00x_sat,4.0,105,3,1315,1345,1345,1360,1470,110,15,125,module_3,module_4,3,15,125,1470,0,0,False
4,rate_4p00x_sat,4.0,105,4,1420,1450,1450,1470,1580,110,20,130,module_3,module_4,4,20,130,1580,0,0,False
5,rate_4p00x_sat,4.0,105,5,1525,1555,1555,1580,1690,110,25,135,module_3,module_4,5,25,135,1690,0,0,False
6,rate_4p00x_sat,4.0,105,6,1630,1660,1660,1690,1800,110,30,140,module_3,module_4,6,30,140,1800,0,0,False
7,rate_4p00x_sat,4.0,105,7,1735,1765,1765,1800,1910,110,35,145,module_3,module_4,7,35,145,1910,0,0,False
8,rate_4p00x_sat,4.0,105,8,1840,1870,1870,1910,2020,110,40,150,module_3,module_4,8,40,150,2020,0,0,False
9,rate_4p00x_sat,4.0,105,9,1945,1975,1975,2020,2130,110,45,155,module_3,module_4,9,45,155,2130,0,0,False
10,rate_4p00x_sat,4.0,105,10,2050,2080,2080,2130,2240,110,50,160,module_3,module_4,10,50,160,2240,0,0,False
11,rate_4p00x_sat,4.0,105,11,2155,2185,2185,2240,2350,110,55,165,module_3,module_4,11,55,165,2350,0,0,False
12,rate_4p00x_sat,4.0,105,12,2260,2290,2290,2350,2460,110,60,170,module_3,module_4,12,60,170,2460,0,0,False
13,rate_4p00x_sat,4.0,105,13,2365,2395,2395,2460,2570,110,65,175,module_3,module_4,13,65,175,2570,0,0,False
14,rate_4p00x_sat,4.0,105,14,2470,2500,2500,2570,2680,110,70,180,module_3,module_4,14,70,180,2680,0,0,False
15,rate_4p00x_sat,4.0,105,15,2575,2605,2605,2680,2790,110,75,185,module_3,module_4,15,75,185,2790,0,0,False
16,rate_4p00x_sat,4.0,105,16,2680,2710,2710,2790,2900,110,80,190,module_3,module_4,16,80,190,2900,0,0,False
17,rate_4p00x_sat,4.0,105,17,2785,2815,2815,2900,3010,110,85,195,module_3,module_4,17,85,195,3010,0,0,False
18,rate_4p00x_sat,4.0,105,18,2890,2920,2920,3010,3120,110,90,200,module_3,module_4,18,90,200,3120,0,0,False
19,rate_4p00x_sat,4.0,105,19,2995,3025,3025,3120,3230,110,95,205,module_3,module_4,19,95,205,3230,0,0,False
20,rate_4p00x_sat,4.0,105,20,3100,3130,3130,3230,3340,110,100,210,module_3,module_4,20,100,210,3340,0,0,False
21,rate_4p00x_sat,4.0,105,21,3205,3235,3235,3340,3450,110,105,215,module_3,module_4,21,105,215,3450,0,0,False
22,rate_4p00x_sat,4.0,105,22,3310,3340,3340,3450,3560,110,110,220,module_3,module_4,22,110,220,3560,0,0,False
23,rate_4p00x_sat,4.0,105,23,3415,3445,3445,3560,3670,110,115,225,module_3,module_4,23,115,225,3670,0,0,False
24,rate_4p00x_sat,4.0,105,24,3520,3550,3550,3670,3780,110,120,230,module_3,module_4,24,120,230,3780,0,0,False
25,rate_4p00x_sat,4.0,105,25,3625,3655,3655,4440,4550,110,785,895,module_3,module_4,31,125,235,3890,660,660,True
26,rate_4p00x_sat,4.0,105,26,3730,3760,3760,4880,4990,110,1120,1230,module_3,module_4,35,130,240,4000,990,990,True
27,rate_4p00x_sat,4.0,105,27,3835,3865,3865,4990,5100,110,1125,1235,module_3,module_4,36,135,245,4110,990,990,True
28,rate_4p00x_sat,4.0,105,28,3940,3970,3970,5100,5210,110,1130,1240,module_3,module_4,37,140,250,4220,990,990,True
29,rate_4p00x_sat,4.0,105,29,4045,4075,4075,5210,5320,110,1135,1245,module_3,module_4,38,145,255,4330,990,990,True
30,rate_4p00x_sat,4.0,105,30,4150,4180,4180,5320,5430,110,1140,1250,module_3,module_4,39,150,260,4440,990,990,True
31,rate_4p00x_sat,4.0,105,31,4255,4285,4285,5430,5540,110,1145,1255,module_3,module_4,40,155,265,4550,990,990,True
32,rate_4p00x_sat,4.0,105,32,4360,4390,4390,6090,6200,110,1700,1810,module_3,module_4,46,160,270,4660,1540,1540,True
33,rate_4p00x_sat,4.0,105,33,4465,4495,4495,6640,6750,110,2145,2255,module_3,module_4,51,165,275,4770,1980,1980,True
34,rate_4p00x_sat,4.0,105,34,4570,4600,4600,6750,6860,110,2150,2260,module_3,module_4,52,170,280,4880,1980,1980,True
35,rate_4p00x_sat,4.0,105,35,4675,4705,4705,6860,6970,110,2155,2265,module_3,module_4,53,175,285,4990,1980,1980,True
36,rate_4p00x_sat,4.0,105,36,4780,4810,4810,7080,7190,110,2270,2380,module_3,module_4,55,180,290,5100,2090,2090,True
37,rate_4p00x_sat,4.0,105,37,4885,4915,4915,7740,7850,110,2825,2935,module_3,module_4,61,185,295,5210,2640,2640,True
38,rate_4p00x_sat,4.0,105,38,4990,5020,5020,8180,8290,110,3160,3270,module_3,module_4,65,190,300,5320,2970,2970,True
39,rate_4p00x_sat,4.0,105,39,5095,5125,5125,8290,8400,110,3165,3275,module_3,module_4,66,195,305,5430,2970,2970,True
40,rate_4p00x_sat,4.0,105,40,5200,5230,5230,8400,8510,110,3170,3280,module_3,module_4,67,200,310,5540,2970,2970,True
41,rate_4p00x_sat,4.0,105,41,5305,5335,5335,8510,8620,110,3175,3285,module_3,module_4,68,205,315,5650,2970,2970,True
42,rate_4p00x_sat,4.0,105,42,5410,5440,5440,8620,8730,110,3180,3290,module_3,module_4,69,210,320,5760,2970,2970,True
43,rate_4p00x_sat,4.0,105,43,5515,5545,5545,8730,8840,110,3185,3295,module_3,module_4,70,215,325,5870,2970,2970,True
44,rate_4p00x_sat,4.0,105,44,5620,5650,5650,8840,8950,110,3190,3300,module_3,module_4,71,220,330,5980,2970,2970,True
45,rate_4p00x_sat,4.0,105,45,5725,5755,5755,8950,9060,110,3195,3305,module_3,module_4,72,225,335,6090,2970,2970,True
46,rate_4p00x_sat,4.0,105,46,5830,5860,5860,9060,9170,110,3200,3310,module_3,module_4,73,230,340,6200,2970,2970,True
47,rate_4p00x_sat,4.0,105,47,5935,5965,5965,9170,9280,110,3205,3315,module_3,module_4,74,235,345,6310,2970,2970,True
48,rate_4p00x_sat,4.0,105,48,6040,6070,6070,9280,9390,110,3210,3320,module_3,module_4,75,240,350,6420,2970,2970,True
49,rate_4p00x_sat,4.0,105,49,6145,6175,6175,9390,9500,110,3215,3325,module_3,module_4,76,245,355,6530,2970,2970,True
50,rate_4p00x_sat,4.0,105,50,6250,6280,6280,9830,9940,110,3550,3660,module_3,module_4,80,250,360,6640,3300,3300,True
51,rate_4p00x_sat,4.0,105,51,6355,6385,6385,9940,10050,110,3555,3665,module_3,module_4,81,255,365,6750,3300,3300,True
52,rate_4p00x_sat,4.0,105,52,6460,6490,6490,10380,10490,110,3890,4000,module_3,module_4,85,260,370,6860,3630,3630,True
53,rate_4p00x_sat,4.0,105,53,6565,6595,6595,10820,10930,110,4225,4335,module_3,module_4,89,265,375,6970,3960,3960,True
54,rate_4p00x_sat,4.0,105,54,6670,6700,6700,10930,11040,110,4230,4340,module_3,module_4,90,270,380,7080,3960,3960,True
55,rate_4p00x_sat,4.0,105,55,6775,6805,6805,11370,11480,110,4565,4675,module_3,module_4,94,275,385,7190,4290,4290,True
56,rate_4p00x_sat,4.0,105,56,6880,6910,6910,11480,11590,110,4570,4680,module_3,module_4,95,280,390,7300,4290,4290,True
57,rate_4p00x_sat,4.0,105,57,6985,7015,7015,11920,12030,110,4905,5015,module_3,module_4,99,285,395,7410,4620,4620,True
58,rate_4p00x_sat,4.0,105,58,7090,7120,7120,12360,12470,110,5240,5350,module_3,module_4,103,290,400,7520,4950,4950,True
59,rate_4p00x_sat,4.0,105,59,7195,7225,7225,12470,12580,110,5245,5355,module_3,module_4,104,295,405,7630,4950,4950,True
