run_type,victim_remote_event_id,victim_trace_step,op_name,qubits,source_module,target_modules,arrival_time_ns,service_start_time_ns,completion_time_ns,waiting_time_ns,turnaround_time_ns,service_time_ns
victim_present,0,82,cx,"6,0",module_0,module_1,1410,1470,1580,60,170,110
victim_present,1,84,cx,"6,0",module_0,module_1,1420,1580,1690,160,270,110
victim_present,2,87,cx,"6,1",module_0,module_1,1435,1690,1800,255,365,110
victim_present,3,89,cx,"6,1",module_0,module_1,1445,1800,1910,355,465,110
victim_present,4,92,cx,"6,2",module_0,module_1,1460,2020,2130,560,670,110
victim_present,5,94,cx,"6,2",module_0,module_1,1470,2130,2240,660,770,110
victim_present,6,97,cx,"6,3",module_0,module_1,1485,2240,2350,755,865,110
victim_present,7,99,cx,"6,3",module_0,module_1,1495,2350,2460,855,965,110
victim_present,8,102,cx,"6,4",module_0,module_1,1510,2460,2570,950,1060,110
victim_present,9,104,cx,"6,4",module_0,module_1,1520,2570,2680,1050,1160,110
victim_present,10,107,cx,"6,5",module_0,module_1,1535,2680,2790,1145,1255,110
victim_present,11,109,cx,"6,5",module_0,module_1,1545,2790,2900,1245,1355,110
victim_present,12,113,cx,"7,0",module_0,module_1,1565,3010,3120,1445,1555,110
victim_present,13,115,cx,"7,0",module_0,module_1,1575,3120,3230,1545,1655,110
victim_present,14,118,cx,"7,1",module_0,module_1,1590,3230,3340,1640,1750,110
victim_present,15,120,cx,"7,1",module_0,module_1,1600,3340,3450,1740,1850,110
victim_present,16,123,cx,"7,2",module_0,module_1,1615,3450,3560,1835,1945,110
victim_present,17,125,cx,"7,2",module_0,module_1,1625,3560,3670,1935,2045,110
victim_present,18,128,cx,"7,3",module_0,module_1,1640,3670,3780,2030,2140,110
victim_present,19,130,cx,"7,3",module_0,module_1,1650,3780,3890,2130,2240,110
victim_present,20,133,cx,"7,4",module_0,module_1,1665,4000,4110,2335,2445,110
victim_present,21,135,cx,"7,4",module_0,module_1,1675,4110,4220,2435,2545,110
victim_present,22,138,cx,"7,5",module_0,module_1,1690,4220,4330,2530,2640,110
victim_present,23,140,cx,"7,5",module_0,module_1,1700,4330,4440,2630,2740,110
victim_present,24,149,cx,"8,0",module_0,module_1,1745,4440,4550,2695,2805,110
victim_present,25,151,cx,"8,0",module_0,module_1,1755,4550,4660,2795,2905,110
victim_present,26,154,cx,"8,1",module_0,module_1,1770,4770,4880,3000,3110,110
victim_present,27,156,cx,"8,1",module_0,module_1,1780,4880,4990,3100,3210,110
victim_present,28,159,cx,"8,2",module_0,module_1,1795,4990,5100,3195,3305,110
victim_present,29,161,cx,"8,2",module_0,module_1,1805,5100,5210,3295,3405,110
victim_present,30,164,cx,"8,3",module_0,module_1,1820,5210,5320,3390,3500,110
victim_present,31,166,cx,"8,3",module_0,module_1,1830,5320,5430,3490,3600,110
victim_present,32,169,cx,"8,4",module_0,module_1,1845,5430,5540,3585,3695,110
victim_present,33,171,cx,"8,4",module_0,module_1,1855,5540,5650,3685,3795,110
victim_present,34,174,cx,"8,5",module_0,module_1,1870,5650,5760,3780,3890,110
victim_present,35,176,cx,"8,5",module_0,module_1,1880,5870,5980,3990,4100,110
victim_present,36,190,cx,"9,0",module_0,module_1,1950,5980,6090,4030,4140,110
victim_present,37,192,cx,"9,0",module_0,module_1,1960,6090,6200,4130,4240,110
victim_present,38,195,cx,"9,1",module_0,module_1,1975,6200,6310,4225,4335,110
victim_present,39,197,cx,"9,1",module_0,module_1,1985,6420,6530,4435,4545,110
victim_present,40,200,cx,"9,2",module_0,module_1,2000,6530,6640,4530,4640,110
victim_present,41,202,cx,"9,2",module_0,module_1,2010,6640,6750,4630,4740,110
victim_present,42,205,cx,"9,3",module_0,module_1,2025,6750,6860,4725,4835,110
victim_present,43,207,cx,"9,3",module_0,module_1,2035,6860,6970,4825,4935,110
victim_present,44,210,cx,"9,4",module_0,module_1,2050,6970,7080,4920,5030,110
victim_present,45,212,cx,"9,4",module_0,module_1,2060,7080,7190,5020,5130,110
victim_present,46,215,cx,"9,5",module_0,module_1,2075,7190,7300,5115,5225,110
victim_present,47,217,cx,"9,5",module_0,module_1,2085,7410,7520,5325,5435,110
victim_present,48,236,cx,"10,0",module_0,module_1,2180,7520,7630,5340,5450,110
victim_present,49,238,cx,"10,0",module_0,module_1,2190,7740,7850,5550,5660,110
victim_present,50,241,cx,"10,1",module_0,module_1,2205,7850,7960,5645,5755,110
victim_present,51,243,cx,"10,1",module_0,module_1,2215,7960,8070,5745,5855,110
victim_present,52,246,cx,"10,2",module_0,module_1,2230,8070,8180,5840,5950,110
victim_present,53,248,cx,"10,2",module_0,module_1,2240,8180,8290,5940,6050,110
victim_present,54,251,cx,"10,3",module_0,module_1,2255,8290,8400,6035,6145,110
victim_present,55,253,cx,"10,3",module_0,module_1,2265,8400,8510,6135,6245,110
victim_present,56,256,cx,"10,4",module_0,module_1,2280,8510,8620,6230,6340,110
victim_present,57,258,cx,"10,4",module_0,module_1,2290,8620,8730,6330,6440,110
victim_present,58,261,cx,"10,5",module_0,module_1,2305,8840,8950,6535,6645,110
victim_present,59,263,cx,"10,5",module_0,module_1,2315,8950,9060,6635,6745,110
victim_present,60,287,cx,"11,0",module_0,module_1,2435,9170,9280,6735,6845,110
victim_present,61,289,cx,"11,0",module_0,module_1,2445,9280,9390,6835,6945,110
victim_present,62,292,cx,"11,1",module_0,module_1,2460,9390,9500,6930,7040,110
victim_present,63,294,cx,"11,1",module_0,module_1,2470,9500,9610,7030,7140,110
victim_present,64,297,cx,"11,2",module_0,module_1,2485,9610,9720,7125,7235,110
victim_present,65,299,cx,"11,2",module_0,module_1,2495,9720,9830,7225,7335,110
victim_present,66,302,cx,"11,3",module_0,module_1,2510,9940,10050,7430,7540,110
victim_present,67,304,cx,"11,3",module_0,module_1,2520,10050,10160,7530,7640,110
victim_present,68,307,cx,"11,4",module_0,module_1,2535,10160,10270,7625,7735,110
victim_present,69,309,cx,"11,4",module_0,module_1,2545,10270,10380,7725,7835,110
victim_present,70,312,cx,"11,5",module_0,module_1,2560,10380,10490,7820,7930,110
victim_present,71,314,cx,"11,5",module_0,module_1,2570,10490,10600,7920,8030,110
victim_present,72,343,cx,"12,0",module_0,module_2,2715,10820,10930,8105,8215,110
victim_present,73,345,cx,"12,0",module_0,module_2,2725,10930,11040,8205,8315,110
victim_present,74,348,cx,"12,1",module_0,module_2,2740,11040,11150,8300,8410,110
victim_present,75,350,cx,"12,1",module_0,module_2,2750,11150,11260,8400,8510,110
victim_present,76,353,cx,"12,2",module_0,module_2,2765,11260,11370,8495,8605,110
victim_present,77,355,cx,"12,2",module_0,module_2,2775,11370,11480,8595,8705,110
victim_present,78,358,cx,"12,3",module_0,module_2,2790,11480,11590,8690,8800,110
victim_present,79,360,cx,"12,3",module_0,module_2,2800,11590,11700,8790,8900,110
victim_present,80,363,cx,"12,4",module_0,module_2,2815,11700,11810,8885,8995,110
victim_present,81,365,cx,"12,4",module_0,module_2,2825,11920,12030,9095,9205,110
victim_present,82,368,cx,"12,5",module_0,module_2,2840,12030,12140,9190,9300,110
victim_present,83,370,cx,"12,5",module_0,module_2,2850,12140,12250,9290,9400,110
victim_present,84,373,cx,"12,6",module_1,module_2,2865,12250,12360,9385,9495,110
victim_present,85,375,cx,"12,6",module_1,module_2,2875,12360,12470,9485,9595,110
victim_present,86,378,cx,"12,7",module_1,module_2,2890,12470,12580,9580,9690,110
victim_present,87,380,cx,"12,7",module_1,module_2,2900,12580,12690,9680,9790,110
victim_present,88,383,cx,"12,8",module_1,module_2,2915,12690,12800,9775,9885,110
victim_present,89,385,cx,"12,8",module_1,module_2,2925,12910,13020,9985,10095,110
victim_present,90,388,cx,"12,9",module_1,module_2,2940,13020,13130,10080,10190,110
victim_present,91,390,cx,"12,9",module_1,module_2,2950,13130,13240,10180,10290,110
victim_present,92,393,cx,"12,10",module_1,module_2,2965,13240,13350,10275,10385,110
victim_present,93,395,cx,"12,10",module_1,module_2,2975,13350,13460,10375,10485,110
victim_present,94,398,cx,"12,11",module_1,module_2,2990,13460,13570,10470,10580,110
victim_present,95,400,cx,"12,11",module_1,module_2,3000,13570,13680,10570,10680,110
victim_present,96,404,cx,"13,0",module_0,module_2,3020,13680,13790,10660,10770,110
victim_present,97,406,cx,"13,0",module_0,module_2,3030,13900,14010,10870,10980,110
victim_present,98,409,cx,"13,1",module_0,module_2,3045,14010,14120,10965,11075,110
victim_present,99,411,cx,"13,1",module_0,module_2,3055,14120,14230,11065,11175,110
victim_present,100,414,cx,"13,2",module_0,module_2,3070,14230,14340,11160,11270,110
victim_present,101,416,cx,"13,2",module_0,module_2,3080,14340,14450,11260,11370,110
victim_present,102,419,cx,"13,3",module_0,module_2,3095,14450,14560,11355,11465,110
victim_present,103,421,cx,"13,3",module_0,module_2,3105,14560,14670,11455,11565,110
victim_present,104,424,cx,"13,4",module_0,module_2,3120,14670,14780,11550,11660,110
victim_present,105,426,cx,"13,4",module_0,module_2,3130,14780,14890,11650,11760,110
victim_present,106,429,cx,"13,5",module_0,module_2,3145,15000,15110,11855,11965,110
victim_present,107,431,cx,"13,5",module_0,module_2,3155,15110,15220,11955,12065,110
victim_present,108,434,cx,"13,6",module_1,module_2,3170,15220,15330,12050,12160,110
victim_present,109,436,cx,"13,6",module_1,module_2,3180,15330,15440,12150,12260,110
victim_present,110,439,cx,"13,7",module_1,module_2,3195,15440,15550,12245,12355,110
victim_present,111,441,cx,"13,7",module_1,module_2,3205,15550,15660,12345,12455,110
victim_present,112,444,cx,"13,8",module_1,module_2,3220,15660,15770,12440,12550,110
victim_present,113,446,cx,"13,8",module_1,module_2,3230,15770,15880,12540,12650,110
victim_present,114,449,cx,"13,9",module_1,module_2,3245,15990,16100,12745,12855,110
victim_present,115,451,cx,"13,9",module_1,module_2,3255,16100,16210,12845,12955,110
victim_present,116,454,cx,"13,10",module_1,module_2,3270,16210,16320,12940,13050,110
victim_present,117,456,cx,"13,10",module_1,module_2,3280,16320,16430,13040,13150,110
victim_present,118,459,cx,"13,11",module_1,module_2,3295,16430,16540,13135,13245,110
victim_present,119,461,cx,"13,11",module_1,module_2,3305,16540,16650,13235,13345,110
victim_present,120,470,cx,"14,0",module_0,module_2,3350,16760,16870,13410,13520,110
victim_present,121,472,cx,"14,0",module_0,module_2,3360,16870,16980,13510,13620,110
victim_present,122,475,cx,"14,1",module_0,module_2,3375,16980,17090,13605,13715,110
victim_present,123,477,cx,"14,1",module_0,module_2,3385,17090,17200,13705,13815,110
victim_present,124,480,cx,"14,2",module_0,module_2,3400,17200,17310,13800,13910,110
victim_present,125,482,cx,"14,2",module_0,module_2,3410,17310,17420,13900,14010,110
victim_present,126,485,cx,"14,3",module_0,module_2,3425,17420,17530,13995,14105,110
victim_present,127,487,cx,"14,3",module_0,module_2,3435,17530,17640,14095,14205,110
victim_present,128,490,cx,"14,4",module_0,module_2,3450,17750,17860,14300,14410,110
victim_present,129,492,cx,"14,4",module_0,module_2,3460,17860,17970,14400,14510,110
victim_present,130,495,cx,"14,5",module_0,module_2,3475,17970,18080,14495,14605,110
victim_present,131,497,cx,"14,5",module_0,module_2,3485,18080,18190,14595,14705,110
victim_present,132,500,cx,"14,6",module_1,module_2,3500,18190,18300,14690,14800,110
victim_present,133,502,cx,"14,6",module_1,module_2,3510,18300,18410,14790,14900,110
victim_present,134,505,cx,"14,7",module_1,module_2,3525,18410,18520,14885,14995,110
victim_present,135,507,cx,"14,7",module_1,module_2,3535,18520,18630,14985,15095,110
victim_present,136,510,cx,"14,8",module_1,module_2,3550,18630,18740,15080,15190,110
victim_present,137,512,cx,"14,8",module_1,module_2,3560,18850,18960,15290,15400,110
victim_present,138,515,cx,"14,9",module_1,module_2,3575,18960,19070,15385,15495,110
victim_present,139,517,cx,"14,9",module_1,module_2,3585,19070,19180,15485,15595,110
victim_present,140,520,cx,"14,10",module_1,module_2,3600,19180,19290,15580,15690,110
victim_present,141,522,cx,"14,10",module_1,module_2,3610,19290,19400,15680,15790,110
victim_present,142,525,cx,"14,11",module_1,module_2,3625,19400,19510,15775,15885,110
victim_present,143,527,cx,"14,11",module_1,module_2,3635,19510,19620,15875,15985,110
victim_present,144,541,cx,"15,0",module_0,module_2,3705,19730,19840,16025,16135,110
victim_present,145,543,cx,"15,0",module_0,module_2,3715,19840,19950,16125,16235,110
victim_present,146,546,cx,"15,1",module_0,module_2,3730,19950,20060,16220,16330,110
victim_present,147,548,cx,"15,1",module_0,module_2,3740,20060,20170,16320,16430,110
victim_present,148,551,cx,"15,2",module_0,module_2,3755,20170,20280,16415,16525,110
victim_present,149,553,cx,"15,2",module_0,module_2,3765,20390,20500,16625,16735,110
victim_present,150,556,cx,"15,3",module_0,module_2,3780,20500,20610,16720,16830,110
victim_present,151,558,cx,"15,3",module_0,module_2,3790,20610,20720,16820,16930,110
victim_present,152,561,cx,"15,4",module_0,module_2,3805,20720,20830,16915,17025,110
victim_present,153,563,cx,"15,4",module_0,module_2,3815,20830,20940,17015,17125,110
victim_present,154,566,cx,"15,5",module_0,module_2,3830,20940,21050,17110,17220,110
victim_present,155,568,cx,"15,5",module_0,module_2,3840,21050,21160,17210,17320,110
victim_present,156,571,cx,"15,6",module_1,module_2,3855,21160,21270,17305,17415,110
victim_present,157,573,cx,"15,6",module_1,module_2,3865,21270,21380,17405,17515,110
victim_present,158,576,cx,"15,7",module_1,module_2,3880,21490,21600,17610,17720,110
victim_present,159,578,cx,"15,7",module_1,module_2,3890,21600,21710,17710,17820,110
victim_present,160,581,cx,"15,8",module_1,module_2,3905,21710,21820,17805,17915,110
victim_present,161,583,cx,"15,8",module_1,module_2,3915,21820,21930,17905,18015,110
victim_present,162,586,cx,"15,9",module_1,module_2,3930,21930,22040,18000,18110,110
victim_present,163,588,cx,"15,9",module_1,module_2,3940,22040,22150,18100,18210,110
victim_present,164,591,cx,"15,10",module_1,module_2,3955,22150,22260,18195,18305,110
victim_present,165,593,cx,"15,10",module_1,module_2,3965,22260,22370,18295,18405,110
victim_present,166,596,cx,"15,11",module_1,module_2,3980,22480,22590,18500,18610,110
victim_present,167,598,cx,"15,11",module_1,module_2,3990,22590,22700,18600,18710,110
victim_present,168,617,cx,"16,0",module_0,module_2,4085,22810,22920,18725,18835,110
victim_present,169,619,cx,"16,0",module_0,module_2,4095,22920,23030,18825,18935,110
victim_present,170,622,cx,"16,1",module_0,module_2,4110,23030,23140,18920,19030,110
victim_present,171,624,cx,"16,1",module_0,module_2,4120,23140,23250,19020,19130,110
victim_present,172,627,cx,"16,2",module_0,module_2,4135,23250,23360,19115,19225,110
victim_present,173,629,cx,"16,2",module_0,module_2,4145,23360,23470,19215,19325,110
victim_present,174,632,cx,"16,3",module_0,module_2,4160,23470,23580,19310,19420,110
victim_present,175,634,cx,"16,3",module_0,module_2,4170,23580,23690,19410,19520,110
victim_present,176,637,cx,"16,4",module_0,module_2,4185,23800,23910,19615,19725,110
victim_present,177,639,cx,"16,4",module_0,module_2,4195,23910,24020,19715,19825,110
victim_present,178,642,cx,"16,5",module_0,module_2,4210,24020,24130,19810,19920,110
victim_present,179,644,cx,"16,5",module_0,module_2,4220,24130,24240,19910,20020,110
victim_present,180,647,cx,"16,6",module_1,module_2,4235,24240,24350,20005,20115,110
victim_present,181,649,cx,"16,6",module_1,module_2,4245,24350,24460,20105,20215,110
victim_present,182,652,cx,"16,7",module_1,module_2,4260,24460,24570,20200,20310,110
victim_present,183,654,cx,"16,7",module_1,module_2,4270,24570,24680,20300,20410,110
victim_present,184,657,cx,"16,8",module_1,module_2,4285,24680,24790,20395,20505,110
victim_present,185,659,cx,"16,8",module_1,module_2,4295,24900,25010,20605,20715,110
victim_present,186,662,cx,"16,9",module_1,module_2,4310,25010,25120,20700,20810,110
victim_present,187,664,cx,"16,9",module_1,module_2,4320,25120,25230,20800,20910,110
victim_present,188,667,cx,"16,10",module_1,module_2,4335,25230,25340,20895,21005,110
victim_present,189,669,cx,"16,10",module_1,module_2,4345,25340,25450,20995,21105,110
victim_present,190,672,cx,"16,11",module_1,module_2,4360,25450,25560,21090,21200,110
victim_present,191,674,cx,"16,11",module_1,module_2,4370,25560,25670,21190,21300,110
victim_present,192,698,cx,"17,0",module_0,module_2,4490,25780,25890,21290,21400,110
victim_present,193,700,cx,"17,0",module_0,module_2,4500,26000,26110,21500,21610,110
victim_present,194,703,cx,"17,1",module_0,module_2,4515,26110,26220,21595,21705,110
victim_present,195,705,cx,"17,1",module_0,module_2,4525,26220,26330,21695,21805,110
victim_present,196,708,cx,"17,2",module_0,module_2,4540,26330,26440,21790,21900,110
victim_present,197,710,cx,"17,2",module_0,module_2,4550,26440,26550,21890,22000,110
victim_present,198,713,cx,"17,3",module_0,module_2,4565,26550,26660,21985,22095,110
victim_present,199,715,cx,"17,3",module_0,module_2,4575,26660,26770,22085,22195,110
victim_present,200,718,cx,"17,4",module_0,module_2,4590,26770,26880,22180,22290,110
victim_present,201,720,cx,"17,4",module_0,module_2,4600,26880,26990,22280,22390,110
victim_present,202,723,cx,"17,5",module_0,module_2,4615,27100,27210,22485,22595,110
victim_present,203,725,cx,"17,5",module_0,module_2,4625,27210,27320,22585,22695,110
victim_present,204,728,cx,"17,6",module_1,module_2,4640,27320,27430,22680,22790,110
victim_present,205,730,cx,"17,6",module_1,module_2,4650,27430,27540,22780,22890,110
victim_present,206,733,cx,"17,7",module_1,module_2,4665,27540,27650,22875,22985,110
victim_present,207,735,cx,"17,7",module_1,module_2,4675,27650,27760,22975,23085,110
victim_present,208,738,cx,"17,8",module_1,module_2,4690,27760,27870,23070,23180,110
victim_present,209,740,cx,"17,8",module_1,module_2,4700,27870,27980,23170,23280,110
victim_present,210,743,cx,"17,9",module_1,module_2,4715,28090,28200,23375,23485,110
victim_present,211,745,cx,"17,9",module_1,module_2,4725,28200,28310,23475,23585,110
victim_present,212,748,cx,"17,10",module_1,module_2,4740,28310,28420,23570,23680,110
victim_present,213,750,cx,"17,10",module_1,module_2,4750,28420,28530,23670,23780,110
victim_present,214,753,cx,"17,11",module_1,module_2,4765,28530,28640,23765,23875,110
victim_present,215,755,cx,"17,11",module_1,module_2,4775,28640,28750,23865,23975,110
victim_present,216,783,barrier,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17",module_0,"module_1,module_2",4915,28860,28980,23945,24065,120
