run_type,victim_remote_event_id,victim_trace_step,op_name,qubits,source_module,target_modules,arrival_time_ns,service_start_time_ns,completion_time_ns,waiting_time_ns,turnaround_time_ns,service_time_ns
victim_present,0,9,ccx,"1,2,9",module_0,module_2,1045,1220,1330,175,285,110
victim_present,1,10,ccx,"3,9,10",module_0,module_2,1050,1330,1440,280,390,110
victim_present,2,11,ccx,"4,10,5",module_1,module_2,1055,1440,1550,385,495,110
victim_present,3,12,ccx,"3,9,10",module_0,module_2,1060,1550,1660,490,600,110
victim_present,4,13,ccx,"1,2,9",module_0,module_2,1065,1660,1770,595,705,110
victim_present,5,17,ccx,"1,2,9",module_0,module_2,1085,1770,1880,685,795,110
victim_present,6,18,ccx,"3,9,10",module_0,module_2,1090,1880,1990,790,900,110
victim_present,7,19,ccx,"4,10,6",module_1,module_2,1095,1990,2100,895,1005,110
victim_present,8,20,ccx,"3,9,10",module_0,module_2,1100,2100,2210,1000,1110,110
victim_present,9,21,ccx,"1,2,9",module_0,module_2,1105,2210,2320,1105,1215,110
victim_present,10,24,ccx,"1,2,9",module_0,module_2,1120,2320,2430,1200,1310,110
victim_present,11,25,ccx,"3,9,10",module_0,module_2,1125,2430,2540,1305,1415,110
victim_present,12,26,ccx,"4,10,7",module_1,module_2,1130,2540,2650,1410,1520,110
victim_present,13,27,ccx,"3,9,10",module_0,module_2,1135,2650,2760,1515,1625,110
victim_present,14,28,ccx,"1,2,9",module_0,module_2,1140,2760,2870,1620,1730,110
victim_present,15,31,ccx,"2,3,8",module_0,module_2,1155,2870,2980,1715,1825,110
victim_present,16,34,ccx,"5,6,9",module_1,module_2,1170,2980,3090,1810,1920,110
victim_present,17,35,ccx,"7,9,10",module_1,module_2,1175,3090,3200,1915,2025,110
victim_present,18,36,ccx,"8,10,0",module_0,module_2,1180,3200,3310,2020,2130,110
victim_present,19,37,ccx,"7,9,10",module_1,module_2,1185,3310,3420,2125,2235,110
victim_present,20,38,ccx,"5,6,9",module_1,module_2,1190,3420,3530,2230,2340,110
victim_present,21,41,ccx,"2,3,8",module_0,module_2,1205,3530,3640,2325,2435,110
victim_present,22,44,ccx,"1,2,9",module_0,module_2,1220,3640,3750,2420,2530,110
victim_present,23,45,ccx,"3,9,10",module_0,module_2,1225,3750,3860,2525,2635,110
victim_present,24,46,ccx,"4,10,7",module_1,module_2,1230,3860,3970,2630,2740,110
victim_present,25,47,ccx,"3,9,10",module_0,module_2,1235,3970,4080,2735,2845,110
victim_present,26,48,ccx,"1,2,9",module_0,module_2,1240,4080,4190,2840,2950,110
victim_present,27,51,ccx,"1,2,9",module_0,module_2,1255,4190,4300,2935,3045,110
victim_present,28,52,ccx,"3,9,10",module_0,module_2,1260,4300,4410,3040,3150,110
victim_present,29,53,ccx,"4,10,6",module_1,module_2,1265,4410,4520,3145,3255,110
victim_present,30,54,ccx,"3,9,10",module_0,module_2,1270,4520,4630,3250,3360,110
victim_present,31,55,ccx,"1,2,9",module_0,module_2,1275,4630,4740,3355,3465,110
victim_present,32,59,ccx,"1,2,9",module_0,module_2,1295,4740,4850,3445,3555,110
victim_present,33,60,ccx,"3,9,10",module_0,module_2,1300,4850,4960,3550,3660,110
victim_present,34,61,ccx,"4,10,5",module_1,module_2,1305,4960,5070,3655,3765,110
victim_present,35,62,ccx,"3,9,10",module_0,module_2,1310,5070,5180,3760,3870,110
victim_present,36,63,ccx,"1,2,9",module_0,module_2,1315,5180,5290,3865,3975,110
victim_present,37,75,ccx,"1,2,9",module_0,module_2,1375,5290,5400,3915,4025,110
victim_present,38,76,ccx,"3,9,10",module_0,module_2,1380,5400,5510,4020,4130,110
victim_present,39,77,ccx,"4,10,0",module_0,"module_1,module_2",1385,5510,5630,4125,4245,120
victim_present,40,78,ccx,"3,9,10",module_0,module_2,1390,5630,5740,4240,4350,110
victim_present,41,79,ccx,"1,2,9",module_0,module_2,1395,5740,5850,4345,4455,110
