run_type,victim_remote_event_id,victim_trace_step,op_name,qubits,source_module,target_modules,arrival_time_ns,service_start_time_ns,completion_time_ns,waiting_time_ns,turnaround_time_ns,service_time_ns
victim_present,0,6,cx,"0,6",module_0,module_1,1030,1220,1330,190,300,110
victim_present,1,7,cx,"1,8",module_0,module_1,1035,1330,1440,295,405,110
victim_present,2,8,cx,"2,10",module_0,module_1,1040,1440,1550,400,510,110
victim_present,3,9,cx,"3,6",module_0,module_1,1045,1550,1660,505,615,110
victim_present,4,10,cx,"3,7",module_0,module_1,1050,1660,1770,610,720,110
victim_present,5,11,cx,"4,8",module_0,module_1,1055,1770,1880,715,825,110
victim_present,6,12,cx,"4,9",module_0,module_1,1060,1880,1990,820,930,110
victim_present,7,13,cx,"5,10",module_0,module_1,1065,1990,2100,925,1035,110
victim_present,8,14,cx,"5,11",module_0,module_1,1070,2100,2210,1030,1140,110
victim_present,9,25,ccx,"7,6,13",module_1,module_2,1125,2210,2320,1085,1195,110
victim_present,10,26,ccx,"13,8,14",module_1,module_2,1130,2320,2430,1190,1300,110
victim_present,11,27,ccx,"14,9,15",module_1,module_2,1135,2430,2540,1295,1405,110
victim_present,12,28,ccx,"15,10,16",module_1,module_2,1140,2540,2650,1400,1510,110
victim_present,13,29,ccx,"16,11,17",module_1,module_2,1145,2650,2760,1505,1615,110
victim_present,14,31,ccx,"16,11,17",module_1,module_2,1155,2760,2870,1605,1715,110
victim_present,15,32,ccx,"15,10,16",module_1,module_2,1160,2870,2980,1710,1820,110
victim_present,16,33,ccx,"14,9,15",module_1,module_2,1165,2980,3090,1815,1925,110
victim_present,17,34,ccx,"13,8,14",module_1,module_2,1170,3090,3200,1920,2030,110
victim_present,18,35,ccx,"7,6,13",module_1,module_2,1175,3200,3310,2025,2135,110
victim_present,19,41,cx,"0,6",module_0,module_1,1205,3310,3420,2105,2215,110
victim_present,20,42,cx,"1,8",module_0,module_1,1210,3420,3530,2210,2320,110
victim_present,21,43,cx,"2,10",module_0,module_1,1215,3530,3640,2315,2425,110
victim_present,22,44,cx,"3,6",module_0,module_1,1220,3640,3750,2420,2530,110
victim_present,23,45,cx,"3,7",module_0,module_1,1225,3750,3860,2525,2635,110
victim_present,24,46,cx,"4,8",module_0,module_1,1230,3860,3970,2630,2740,110
victim_present,25,47,cx,"4,9",module_0,module_1,1235,3970,4080,2735,2845,110
victim_present,26,48,cx,"5,10",module_0,module_1,1240,4080,4190,2840,2950,110
victim_present,27,49,cx,"5,11",module_0,module_1,1245,4190,4300,2945,3055,110
victim_present,28,67,ccx,"1,0,13",module_0,module_2,1335,4300,4410,2965,3075,110
victim_present,29,68,ccx,"13,2,14",module_0,module_2,1340,4410,4520,3070,3180,110
victim_present,30,69,ccx,"14,3,15",module_0,module_2,1345,4520,4630,3175,3285,110
victim_present,31,70,ccx,"15,4,16",module_0,module_2,1350,4630,4740,3280,3390,110
victim_present,32,71,ccx,"16,5,17",module_0,module_2,1355,4740,4850,3385,3495,110
victim_present,33,73,ccx,"16,5,17",module_0,module_2,1365,4850,4960,3485,3595,110
