attacker_request_id,probe_name,probe_round_id,cross_index_in_round,round_start_time_ns,request_release_time_ns,actual_arrival_time_ns,service_start_time_ns,victim_on_completion_time_ns,service_time_ns,victim_on_waiting_time_ns,victim_on_turnaround_time_ns,source_module,target_modules,architecture_request_id,baseline_waiting_time_ns,baseline_turnaround_time_ns,baseline_completion_time_ns,excess_waiting_time_ns,excess_turnaround_time_ns,victim_contention_observed
0,probe_2_bursty_entangling,0,0,1000,1000,1000,1000,1110,110,0,110,module_3,module_4,0,0,110,1110,0,0,False
1,probe_2_bursty_entangling,0,1,1000,1005,1005,1110,1220,110,105,215,module_3,module_4,1,105,215,1220,0,0,False
2,probe_2_bursty_entangling,0,2,1000,1010,1010,1220,1330,110,210,320,module_3,module_4,2,210,320,1330,0,0,False
3,probe_2_bursty_entangling,0,3,1000,1015,1015,1330,1440,110,315,425,module_3,module_4,3,315,425,1440,0,0,False
4,probe_2_bursty_entangling,0,4,1000,1020,1020,1440,1550,110,420,530,module_3,module_4,4,420,530,1550,0,0,False
5,probe_2_bursty_entangling,0,5,1000,1025,1025,1550,1660,110,525,635,module_3,module_4,5,525,635,1660,0,0,False
6,probe_2_bursty_entangling,1,0,1420,1420,1420,1880,1990,110,460,570,module_3,module_4,8,240,350,1770,220,220,True
7,probe_2_bursty_entangling,1,1,1420,1425,1425,1990,2100,110,565,675,module_3,module_4,9,345,455,1880,220,220,True
8,probe_2_bursty_entangling,1,2,1420,1430,1430,2100,2210,110,670,780,module_3,module_4,10,450,560,1990,220,220,True
9,probe_2_bursty_entangling,1,3,1420,1435,1435,2320,2430,110,885,995,module_3,module_4,12,555,665,2100,330,330,True
10,probe_2_bursty_entangling,1,4,1420,1440,1440,2430,2540,110,990,1100,module_3,module_4,13,660,770,2210,330,330,True
11,probe_2_bursty_entangling,1,5,1420,1445,1445,2650,2760,110,1205,1315,module_3,module_4,15,765,875,2320,440,440,True
12,probe_2_bursty_entangling,2,0,1840,1840,1840,5840,5950,110,4000,4110,module_3,module_4,44,480,590,2430,3520,3520,True
13,probe_2_bursty_entangling,2,1,1840,1845,1845,6060,6170,110,4215,4325,module_3,module_4,46,585,695,2540,3630,3630,True
14,probe_2_bursty_entangling,2,2,1840,1850,1850,6170,6280,110,4320,4430,module_3,module_4,47,690,800,2650,3630,3630,True
15,probe_2_bursty_entangling,2,3,1840,1855,1855,6390,6500,110,4535,4645,module_3,module_4,49,795,905,2760,3740,3740,True
16,probe_2_bursty_entangling,2,4,1840,1860,1860,6500,6610,110,4640,4750,module_3,module_4,50,900,1010,2870,3740,3740,True
17,probe_2_bursty_entangling,2,5,1840,1865,1865,6610,6720,110,4745,4855,module_3,module_4,51,1005,1115,2980,3740,3740,True
18,probe_2_bursty_entangling,3,0,2260,2260,2260,9030,9140,110,6770,6880,module_3,module_4,73,720,830,3090,6050,6050,True
19,probe_2_bursty_entangling,3,1,2260,2265,2265,9250,9360,110,6985,7095,module_3,module_4,75,825,935,3200,6160,6160,True
20,probe_2_bursty_entangling,3,2,2260,2270,2270,9360,9470,110,7090,7200,module_3,module_4,76,930,1040,3310,6160,6160,True
21,probe_2_bursty_entangling,3,3,2260,2275,2275,9470,9580,110,7195,7305,module_3,module_4,77,1035,1145,3420,6160,6160,True
22,probe_2_bursty_entangling,3,4,2260,2280,2280,9690,9800,110,7410,7520,module_3,module_4,79,1140,1250,3530,6270,6270,True
23,probe_2_bursty_entangling,3,5,2260,2285,2285,9800,9910,110,7515,7625,module_3,module_4,80,1245,1355,3640,6270,6270,True
24,probe_2_bursty_entangling,4,0,2680,2680,2680,11560,11670,110,8880,8990,module_3,module_4,96,960,1070,3750,7920,7920,True
25,probe_2_bursty_entangling,4,1,2680,2685,2685,11670,11780,110,8985,9095,module_3,module_4,97,1065,1175,3860,7920,7920,True
26,probe_2_bursty_entangling,4,2,2680,2690,2690,11780,11890,110,9090,9200,module_3,module_4,98,1170,1280,3970,7920,7920,True
27,probe_2_bursty_entangling,4,3,2680,2695,2695,11890,12000,110,9195,9305,module_3,module_4,99,1275,1385,4080,7920,7920,True
28,probe_2_bursty_entangling,4,4,2680,2700,2700,12000,12110,110,9300,9410,module_3,module_4,100,1380,1490,4190,7920,7920,True
29,probe_2_bursty_entangling,4,5,2680,2705,2705,12110,12220,110,9405,9515,module_3,module_4,101,1485,1595,4300,7920,7920,True
30,probe_2_bursty_entangling,5,0,3100,3100,3100,15630,15740,110,12530,12640,module_3,module_4,133,1200,1310,4410,11330,11330,True
31,probe_2_bursty_entangling,5,1,3100,3105,3105,15850,15960,110,12745,12855,module_3,module_4,135,1305,1415,4520,11440,11440,True
32,probe_2_bursty_entangling,5,2,3100,3110,3110,15960,16070,110,12850,12960,module_3,module_4,136,1410,1520,4630,11440,11440,True
33,probe_2_bursty_entangling,5,3,3100,3115,3115,16070,16180,110,12955,13065,module_3,module_4,137,1515,1625,4740,11440,11440,True
34,probe_2_bursty_entangling,5,4,3100,3120,3120,16290,16400,110,13170,13280,module_3,module_4,139,1620,1730,4850,11550,11550,True
35,probe_2_bursty_entangling,5,5,3100,3125,3125,16400,16510,110,13275,13385,module_3,module_4,140,1725,1835,4960,11550,11550,True
36,probe_2_bursty_entangling,6,0,3520,3520,3520,19700,19810,110,16180,16290,module_3,module_4,170,1440,1550,5070,14740,14740,True
37,probe_2_bursty_entangling,6,1,3520,3525,3525,19920,20030,110,16395,16505,module_3,module_4,172,1545,1655,5180,14850,14850,True
38,probe_2_bursty_entangling,6,2,3520,3530,3530,20030,20140,110,16500,16610,module_3,module_4,173,1650,1760,5290,14850,14850,True
39,probe_2_bursty_entangling,6,3,3520,3535,3535,20250,20360,110,16715,16825,module_3,module_4,175,1755,1865,5400,14960,14960,True
