run_type,victim_remote_event_id,victim_trace_step,op_name,qubits,source_module,target_modules,arrival_time_ns,service_start_time_ns,completion_time_ns,waiting_time_ns,turnaround_time_ns,service_time_ns
victim_present,0,9,ccx,"1,2,9",module_0,module_2,1045,1660,1770,615,725,110
victim_present,1,10,ccx,"3,9,10",module_0,module_2,1050,1770,1880,720,830,110
victim_present,2,11,ccx,"4,10,5",module_1,module_2,1055,1880,1990,825,935,110
victim_present,3,12,ccx,"3,9,10",module_0,module_2,1060,1990,2100,930,1040,110
victim_present,4,13,ccx,"1,2,9",module_0,module_2,1065,2100,2210,1035,1145,110
victim_present,5,17,ccx,"1,2,9",module_0,module_2,1085,2210,2320,1125,1235,110
victim_present,6,18,ccx,"3,9,10",module_0,module_2,1090,2320,2430,1230,1340,110
victim_present,7,19,ccx,"4,10,6",module_1,module_2,1095,2430,2540,1335,1445,110
victim_present,8,20,ccx,"3,9,10",module_0,module_2,1100,2540,2650,1440,1550,110
victim_present,9,21,ccx,"1,2,9",module_0,module_2,1105,2650,2760,1545,1655,110
victim_present,10,24,ccx,"1,2,9",module_0,module_2,1120,2760,2870,1640,1750,110
victim_present,11,25,ccx,"3,9,10",module_0,module_2,1125,2870,2980,1745,1855,110
victim_present,12,26,ccx,"4,10,7",module_1,module_2,1130,2980,3090,1850,1960,110
victim_present,13,27,ccx,"3,9,10",module_0,module_2,1135,3090,3200,1955,2065,110
victim_present,14,28,ccx,"1,2,9",module_0,module_2,1140,3200,3310,2060,2170,110
victim_present,15,31,ccx,"2,3,8",module_0,module_2,1155,3310,3420,2155,2265,110
victim_present,16,34,ccx,"5,6,9",module_1,module_2,1170,3420,3530,2250,2360,110
victim_present,17,35,ccx,"7,9,10",module_1,module_2,1175,3530,3640,2355,2465,110
victim_present,18,36,ccx,"8,10,0",module_0,module_2,1180,3640,3750,2460,2570,110
victim_present,19,37,ccx,"7,9,10",module_1,module_2,1185,3750,3860,2565,2675,110
victim_present,20,38,ccx,"5,6,9",module_1,module_2,1190,3860,3970,2670,2780,110
victim_present,21,41,ccx,"2,3,8",module_0,module_2,1205,3970,4080,2765,2875,110
victim_present,22,44,ccx,"1,2,9",module_0,module_2,1220,4080,4190,2860,2970,110
victim_present,23,45,ccx,"3,9,10",module_0,module_2,1225,4190,4300,2965,3075,110
victim_present,24,46,ccx,"4,10,7",module_1,module_2,1230,4300,4410,3070,3180,110
victim_present,25,47,ccx,"3,9,10",module_0,module_2,1235,4410,4520,3175,3285,110
victim_present,26,48,ccx,"1,2,9",module_0,module_2,1240,4520,4630,3280,3390,110
victim_present,27,51,ccx,"1,2,9",module_0,module_2,1255,4630,4740,3375,3485,110
victim_present,28,52,ccx,"3,9,10",module_0,module_2,1260,4740,4850,3480,3590,110
victim_present,29,53,ccx,"4,10,6",module_1,module_2,1265,4850,4960,3585,3695,110
victim_present,30,54,ccx,"3,9,10",module_0,module_2,1270,4960,5070,3690,3800,110
victim_present,31,55,ccx,"1,2,9",module_0,module_2,1275,5070,5180,3795,3905,110
victim_present,32,59,ccx,"1,2,9",module_0,module_2,1295,5180,5290,3885,3995,110
victim_present,33,60,ccx,"3,9,10",module_0,module_2,1300,5290,5400,3990,4100,110
victim_present,34,61,ccx,"4,10,5",module_1,module_2,1305,5400,5510,4095,4205,110
victim_present,35,62,ccx,"3,9,10",module_0,module_2,1310,5510,5620,4200,4310,110
victim_present,36,63,ccx,"1,2,9",module_0,module_2,1315,5620,5730,4305,4415,110
victim_present,37,75,ccx,"1,2,9",module_0,module_2,1375,5730,5840,4355,4465,110
victim_present,38,76,ccx,"3,9,10",module_0,module_2,1380,5840,5950,4460,4570,110
victim_present,39,77,ccx,"4,10,0",module_0,"module_1,module_2",1385,5950,6070,4565,4685,120
victim_present,40,78,ccx,"3,9,10",module_0,module_2,1390,6070,6180,4680,4790,110
victim_present,41,79,ccx,"1,2,9",module_0,module_2,1395,6180,6290,4785,4895,110
