attacker_request_id,probe_name,probe_round_id,cross_index_in_round,round_start_time_ns,request_release_time_ns,actual_arrival_time_ns,service_start_time_ns,victim_on_completion_time_ns,service_time_ns,victim_on_waiting_time_ns,victim_on_turnaround_time_ns,source_module,target_modules,architecture_request_id,baseline_waiting_time_ns,baseline_turnaround_time_ns,baseline_completion_time_ns,excess_waiting_time_ns,excess_turnaround_time_ns,victim_contention_observed
0,probe_2_bursty_entangling,0,0,1000,1000,1000,1000,1110,110,0,110,module_3,module_4,0,0,110,1110,0,0,False
1,probe_2_bursty_entangling,0,1,1000,1005,1005,1110,1220,110,105,215,module_3,module_4,1,105,215,1220,0,0,False
2,probe_2_bursty_entangling,0,2,1000,1010,1010,1220,1330,110,210,320,module_3,module_4,2,210,320,1330,0,0,False
3,probe_2_bursty_entangling,0,3,1000,1015,1015,1330,1440,110,315,425,module_3,module_4,3,315,425,1440,0,0,False
4,probe_2_bursty_entangling,0,4,1000,1020,1020,1440,1550,110,420,530,module_3,module_4,4,420,530,1550,0,0,False
5,probe_2_bursty_entangling,0,5,1000,1025,1025,1550,1660,110,525,635,module_3,module_4,5,525,635,1660,0,0,False
6,probe_2_bursty_entangling,1,0,1420,1420,1420,5840,5950,110,4420,4530,module_3,module_4,44,240,350,1770,4180,4180,True
7,probe_2_bursty_entangling,1,1,1420,1425,1425,5950,6060,110,4525,4635,module_3,module_4,45,345,455,1880,4180,4180,True
8,probe_2_bursty_entangling,1,2,1420,1430,1430,6060,6170,110,4630,4740,module_3,module_4,46,450,560,1990,4180,4180,True
9,probe_2_bursty_entangling,1,3,1420,1435,1435,6170,6280,110,4735,4845,module_3,module_4,47,555,665,2100,4180,4180,True
10,probe_2_bursty_entangling,1,4,1420,1440,1440,6280,6390,110,4840,4950,module_3,module_4,48,660,770,2210,4180,4180,True
11,probe_2_bursty_entangling,1,5,1420,1445,1445,6390,6500,110,4945,5055,module_3,module_4,49,765,875,2320,4180,4180,True
12,probe_2_bursty_entangling,2,0,1840,1840,1840,10680,10790,110,8840,8950,module_3,module_4,88,480,590,2430,8360,8360,True
13,probe_2_bursty_entangling,2,1,1840,1845,1845,10790,10900,110,8945,9055,module_3,module_4,89,585,695,2540,8360,8360,True
14,probe_2_bursty_entangling,2,2,1840,1850,1850,10900,11010,110,9050,9160,module_3,module_4,90,690,800,2650,8360,8360,True
15,probe_2_bursty_entangling,2,3,1840,1855,1855,11010,11120,110,9155,9265,module_3,module_4,91,795,905,2760,8360,8360,True
16,probe_2_bursty_entangling,2,4,1840,1860,1860,11120,11230,110,9260,9370,module_3,module_4,92,900,1010,2870,8360,8360,True
17,probe_2_bursty_entangling,2,5,1840,1865,1865,11230,11340,110,9365,9475,module_3,module_4,93,1005,1115,2980,8360,8360,True
18,probe_2_bursty_entangling,3,0,2260,2260,2260,15520,15630,110,13260,13370,module_3,module_4,132,720,830,3090,12540,12540,True
19,probe_2_bursty_entangling,3,1,2260,2265,2265,15630,15740,110,13365,13475,module_3,module_4,133,825,935,3200,12540,12540,True
20,probe_2_bursty_entangling,3,2,2260,2270,2270,15740,15850,110,13470,13580,module_3,module_4,134,930,1040,3310,12540,12540,True
21,probe_2_bursty_entangling,3,3,2260,2275,2275,15850,15960,110,13575,13685,module_3,module_4,135,1035,1145,3420,12540,12540,True
22,probe_2_bursty_entangling,3,4,2260,2280,2280,15960,16070,110,13680,13790,module_3,module_4,136,1140,1250,3530,12540,12540,True
23,probe_2_bursty_entangling,3,5,2260,2285,2285,16070,16180,110,13785,13895,module_3,module_4,137,1245,1355,3640,12540,12540,True
24,probe_2_bursty_entangling,4,0,2680,2680,2680,20360,20470,110,17680,17790,module_3,module_4,176,960,1070,3750,16720,16720,True
25,probe_2_bursty_entangling,4,1,2680,2685,2685,20470,20580,110,17785,17895,module_3,module_4,177,1065,1175,3860,16720,16720,True
26,probe_2_bursty_entangling,4,2,2680,2690,2690,20580,20690,110,17890,18000,module_3,module_4,178,1170,1280,3970,16720,16720,True
27,probe_2_bursty_entangling,4,3,2680,2695,2695,20690,20800,110,17995,18105,module_3,module_4,179,1275,1385,4080,16720,16720,True
28,probe_2_bursty_entangling,4,4,2680,2700,2700,20800,20910,110,18100,18210,module_3,module_4,180,1380,1490,4190,16720,16720,True
29,probe_2_bursty_entangling,4,5,2680,2705,2705,20910,21020,110,18205,18315,module_3,module_4,181,1485,1595,4300,16720,16720,True
30,probe_2_bursty_entangling,5,0,3100,3100,3100,25200,25310,110,22100,22210,module_3,module_4,220,1200,1310,4410,20900,20900,True
31,probe_2_bursty_entangling,5,1,3100,3105,3105,25310,25420,110,22205,22315,module_3,module_4,221,1305,1415,4520,20900,20900,True
32,probe_2_bursty_entangling,5,2,3100,3110,3110,25420,25530,110,22310,22420,module_3,module_4,222,1410,1520,4630,20900,20900,True
33,probe_2_bursty_entangling,5,3,3100,3115,3115,25530,25640,110,22415,22525,module_3,module_4,223,1515,1625,4740,20900,20900,True
34,probe_2_bursty_entangling,5,4,3100,3120,3120,25640,25750,110,22520,22630,module_3,module_4,224,1620,1730,4850,20900,20900,True
35,probe_2_bursty_entangling,5,5,3100,3125,3125,25750,25860,110,22625,22735,module_3,module_4,225,1725,1835,4960,20900,20900,True
36,probe_2_bursty_entangling,6,0,3520,3520,3520,30040,30150,110,26520,26630,module_3,module_4,264,1440,1550,5070,25080,25080,True
37,probe_2_bursty_entangling,6,1,3520,3525,3525,30150,30260,110,26625,26735,module_3,module_4,265,1545,1655,5180,25080,25080,True
38,probe_2_bursty_entangling,6,2,3520,3530,3530,30260,30370,110,26730,26840,module_3,module_4,266,1650,1760,5290,25080,25080,True
39,probe_2_bursty_entangling,6,3,3520,3535,3535,30370,30480,110,26835,26945,module_3,module_4,267,1755,1865,5400,25080,25080,True
