run_type,victim_remote_event_id,victim_trace_step,op_name,qubits,source_module,target_modules,arrival_time_ns,service_start_time_ns,completion_time_ns,waiting_time_ns,turnaround_time_ns,service_time_ns
victim_present,0,6,cx,"0,6",module_0,module_1,1030,1660,1770,630,740,110
victim_present,1,7,cx,"1,8",module_0,module_1,1035,1770,1880,735,845,110
victim_present,2,8,cx,"2,10",module_0,module_1,1040,1880,1990,840,950,110
victim_present,3,9,cx,"3,6",module_0,module_1,1045,1990,2100,945,1055,110
victim_present,4,10,cx,"3,7",module_0,module_1,1050,2100,2210,1050,1160,110
victim_present,5,11,cx,"4,8",module_0,module_1,1055,2210,2320,1155,1265,110
victim_present,6,12,cx,"4,9",module_0,module_1,1060,2320,2430,1260,1370,110
victim_present,7,13,cx,"5,10",module_0,module_1,1065,2430,2540,1365,1475,110
victim_present,8,14,cx,"5,11",module_0,module_1,1070,2540,2650,1470,1580,110
victim_present,9,25,ccx,"7,6,13",module_1,module_2,1125,2650,2760,1525,1635,110
victim_present,10,26,ccx,"13,8,14",module_1,module_2,1130,2760,2870,1630,1740,110
victim_present,11,27,ccx,"14,9,15",module_1,module_2,1135,2870,2980,1735,1845,110
victim_present,12,28,ccx,"15,10,16",module_1,module_2,1140,2980,3090,1840,1950,110
victim_present,13,29,ccx,"16,11,17",module_1,module_2,1145,3090,3200,1945,2055,110
victim_present,14,31,ccx,"16,11,17",module_1,module_2,1155,3200,3310,2045,2155,110
victim_present,15,32,ccx,"15,10,16",module_1,module_2,1160,3310,3420,2150,2260,110
victim_present,16,33,ccx,"14,9,15",module_1,module_2,1165,3420,3530,2255,2365,110
victim_present,17,34,ccx,"13,8,14",module_1,module_2,1170,3530,3640,2360,2470,110
victim_present,18,35,ccx,"7,6,13",module_1,module_2,1175,3640,3750,2465,2575,110
victim_present,19,41,cx,"0,6",module_0,module_1,1205,3750,3860,2545,2655,110
victim_present,20,42,cx,"1,8",module_0,module_1,1210,3860,3970,2650,2760,110
victim_present,21,43,cx,"2,10",module_0,module_1,1215,3970,4080,2755,2865,110
victim_present,22,44,cx,"3,6",module_0,module_1,1220,4080,4190,2860,2970,110
victim_present,23,45,cx,"3,7",module_0,module_1,1225,4190,4300,2965,3075,110
victim_present,24,46,cx,"4,8",module_0,module_1,1230,4300,4410,3070,3180,110
victim_present,25,47,cx,"4,9",module_0,module_1,1235,4410,4520,3175,3285,110
victim_present,26,48,cx,"5,10",module_0,module_1,1240,4520,4630,3280,3390,110
victim_present,27,49,cx,"5,11",module_0,module_1,1245,4630,4740,3385,3495,110
victim_present,28,67,ccx,"1,0,13",module_0,module_2,1335,4740,4850,3405,3515,110
victim_present,29,68,ccx,"13,2,14",module_0,module_2,1340,4850,4960,3510,3620,110
victim_present,30,69,ccx,"14,3,15",module_0,module_2,1345,4960,5070,3615,3725,110
victim_present,31,70,ccx,"15,4,16",module_0,module_2,1350,5070,5180,3720,3830,110
victim_present,32,71,ccx,"16,5,17",module_0,module_2,1355,5180,5290,3825,3935,110
victim_present,33,73,ccx,"16,5,17",module_0,module_2,1365,5290,5400,3925,4035,110
victim_present,34,74,ccx,"15,4,16",module_0,module_2,1370,5400,5510,4030,4140,110
victim_present,35,75,ccx,"14,3,15",module_0,module_2,1375,5510,5620,4135,4245,110
victim_present,36,76,ccx,"13,2,14",module_0,module_2,1380,5620,5730,4240,4350,110
victim_present,37,77,ccx,"1,0,13",module_0,module_2,1385,5730,5840,4345,4455,110
victim_present,38,90,cx,"0,6",module_0,module_1,1450,6500,6610,5050,5160,110
victim_present,39,91,cx,"1,8",module_0,module_1,1455,6610,6720,5155,5265,110
victim_present,40,92,cx,"2,10",module_0,module_1,1460,6720,6830,5260,5370,110
victim_present,41,93,cx,"3,6",module_0,module_1,1465,6830,6940,5365,5475,110
victim_present,42,94,cx,"3,7",module_0,module_1,1470,6940,7050,5470,5580,110
