step,op_name,qubits,modules_touched,is_cross_module,params
0,rz,0,module_0,False,[1.5707963267948966]
1,sx,0,module_0,False,[]
2,rz,0,module_0,False,[3.141592653589793]
3,rz,1,module_0,False,[1.5707963267948966]
4,sx,1,module_0,False,[]
5,rz,1,module_0,False,[3.141592653589793]
6,rz,2,module_0,False,[1.5707963267948966]
7,sx,2,module_0,False,[]
8,rz,2,module_0,False,[1.5707963267948966]
9,cx,"1,2",module_0,False,[]
10,rz,2,module_0,False,[-1.289490231525826]
11,cx,"1,2",module_0,False,[]
12,rz,3,module_0,False,[1.5707963267948966]
13,sx,3,module_0,False,[]
14,rz,3,module_0,False,[3.141592653589793]
15,rz,4,module_1,False,[1.5707963267948966]
16,sx,4,module_1,False,[]
17,rz,4,module_1,False,[1.5707963267948966]
18,cx,"3,4","module_0,module_1",True,[]
19,rz,4,module_1,False,[-1.289490231525826]
20,cx,"3,4","module_0,module_1",True,[]
21,rz,5,module_1,False,[1.5707963267948966]
22,sx,5,module_1,False,[]
23,rz,5,module_1,False,[1.5707963267948966]
24,cx,"1,5","module_0,module_1",True,[]
25,rz,5,module_1,False,[-1.289490231525826]
26,cx,"1,5","module_0,module_1",True,[]
27,sx,1,module_0,False,[]
28,rz,1,module_0,False,[5.6384559124818825]
29,sx,1,module_0,False,[]
30,rz,1,module_0,False,[9.42477796076938]
31,rz,6,module_1,False,[1.5707963267948966]
32,sx,6,module_1,False,[]
33,rz,6,module_1,False,[1.5707963267948966]
34,cx,"4,6",module_1,False,[]
35,rz,6,module_1,False,[-1.289490231525826]
36,cx,"4,6",module_1,False,[]
37,rz,4,module_1,False,[1.5707963267948966]
38,sx,4,module_1,False,[]
39,rz,4,module_1,False,[5.6384559124818825]
40,sx,4,module_1,False,[]
41,rz,4,module_1,False,[7.853981633974483]
42,rz,7,module_1,False,[1.5707963267948966]
43,sx,7,module_1,False,[]
44,rz,7,module_1,False,[1.5707963267948966]
45,cx,"5,7",module_1,False,[]
46,rz,7,module_1,False,[-1.289490231525826]
