run_type,victim_remote_event_id,victim_trace_step,op_name,qubits,source_module,target_modules,arrival_time_ns,service_start_time_ns,completion_time_ns,waiting_time_ns,turnaround_time_ns,service_time_ns
victim_present,0,21,cx,"1,5",module_0,module_1,1105,1140,1250,35,145,110
victim_present,1,23,cx,"1,5",module_0,module_1,1115,1250,1360,135,245,110
victim_present,2,38,cx,"2,7",module_0,module_1,1190,1360,1470,170,280,110
victim_present,3,40,cx,"2,7",module_0,module_1,1200,1470,1580,270,380,110
victim_present,4,44,cx,"0,8",module_0,module_1,1220,1580,1690,360,470,110
victim_present,5,46,cx,"0,8",module_0,module_1,1230,1690,1800,460,570,110
victim_present,6,47,cx,"3,8",module_0,module_1,1235,1800,1910,565,675,110
victim_present,7,49,cx,"3,8",module_0,module_1,1245,1910,2020,665,775,110
victim_present,8,62,cx,"1,9",module_0,module_1,1310,2020,2130,710,820,110
victim_present,9,64,cx,"1,9",module_0,module_1,1320,2130,2240,810,920,110
victim_present,10,69,cx,"1,5",module_0,module_1,1345,2240,2350,895,1005,110
victim_present,11,71,cx,"1,5",module_0,module_1,1355,2350,2460,995,1105,110
victim_present,12,85,cx,"1,9",module_0,module_1,1425,2460,2570,1035,1145,110
victim_present,13,87,cx,"1,9",module_0,module_1,1435,2570,2680,1135,1245,110
victim_present,14,95,cx,"6,10",module_1,module_2,1475,2790,2900,1315,1425,110
victim_present,15,97,cx,"6,10",module_1,module_2,1485,2900,3010,1415,1525,110
victim_present,16,114,cx,"4,11",module_0,module_2,1570,3010,3120,1440,1550,110
victim_present,17,116,cx,"4,11",module_0,module_2,1580,3120,3230,1540,1650,110
victim_present,18,133,cx,"6,10",module_1,module_2,1665,3230,3340,1565,1675,110
victim_present,19,135,cx,"6,10",module_1,module_2,1675,3340,3450,1665,1775,110
victim_present,20,146,cx,"4,11",module_0,module_2,1730,3450,3560,1720,1830,110
victim_present,21,148,cx,"4,11",module_0,module_2,1740,3560,3670,1820,1930,110
victim_present,22,170,cx,"0,12",module_0,module_2,1850,3670,3780,1820,1930,110
victim_present,23,172,cx,"0,12",module_0,module_2,1860,3780,3890,1920,2030,110
victim_present,24,177,cx,"0,8",module_0,module_1,1885,4000,4110,2115,2225,110
victim_present,25,178,cx,"2,12",module_0,module_2,1890,4110,4220,2220,2330,110
victim_present,26,180,cx,"0,8",module_0,module_1,1900,4220,4330,2320,2430,110
victim_present,27,181,cx,"3,8",module_0,module_1,1905,4330,4440,2425,2535,110
victim_present,28,183,cx,"3,8",module_0,module_1,1915,4440,4550,2525,2635,110
victim_present,29,194,cx,"2,12",module_0,module_2,1970,4550,4660,2580,2690,110
victim_present,30,199,cx,"2,7",module_0,module_1,1995,4660,4770,2665,2775,110
victim_present,31,201,cx,"2,7",module_0,module_1,2005,4770,4880,2765,2875,110
victim_present,32,220,cx,"0,12",module_0,module_2,2100,4880,4990,2780,2890,110
victim_present,33,222,cx,"0,12",module_0,module_2,2110,4990,5100,2880,2990,110
victim_present,34,227,cx,"2,12",module_0,module_2,2135,5100,5210,2965,3075,110
victim_present,35,229,cx,"2,12",module_0,module_2,2145,5210,5320,3065,3175,110
victim_present,36,239,barrier,"0,1,2,3,4,5,6,7,8,9,10,11,12",module_0,"module_1,module_2",2195,5320,5440,3125,3245,120
