run_type,victim_remote_event_id,victim_trace_step,op_name,qubits,source_module,target_modules,arrival_time_ns,service_start_time_ns,completion_time_ns,waiting_time_ns,turnaround_time_ns,service_time_ns
victim_only,0,9,cx,"0,2",module_0,module_1,1045,1045,1155,0,110,110
victim_only,1,11,cx,"0,2",module_0,module_1,1055,1155,1265,100,210,110
victim_only,2,15,cx,"0,3",module_0,module_1,1075,1265,1375,190,300,110
victim_only,3,17,cx,"0,3",module_0,module_1,1085,1375,1485,290,400,110
victim_only,4,25,cx,"1,4",module_0,module_2,1125,1485,1595,360,470,110
victim_only,5,27,cx,"1,4",module_0,module_2,1135,1595,1705,460,570,110
victim_only,6,28,cx,"2,4",module_1,module_2,1140,1705,1815,565,675,110
victim_only,7,30,cx,"2,4",module_1,module_2,1150,1815,1925,665,775,110
victim_only,8,36,cx,"0,2",module_0,module_1,1180,1925,2035,745,855,110
victim_only,9,38,cx,"0,2",module_0,module_1,1190,2035,2145,845,955,110
victim_only,10,47,cx,"1,5",module_0,module_2,1235,2145,2255,910,1020,110
victim_only,11,49,cx,"1,5",module_0,module_2,1245,2255,2365,1010,1120,110
victim_only,12,54,cx,"1,4",module_0,module_2,1270,2365,2475,1095,1205,110
victim_only,13,55,cx,"3,5",module_1,module_2,1275,2475,2585,1200,1310,110
victim_only,14,57,cx,"1,4",module_0,module_2,1285,2585,2695,1300,1410,110
victim_only,15,58,cx,"2,4",module_1,module_2,1290,2695,2805,1405,1515,110
victim_only,16,60,cx,"2,4",module_1,module_2,1300,2805,2915,1505,1615,110
victim_only,17,72,cx,"3,5",module_1,module_2,1360,2915,3025,1555,1665,110
victim_only,18,78,cx,"0,3",module_0,module_1,1390,3025,3135,1635,1745,110
victim_only,19,80,cx,"0,3",module_0,module_1,1400,3135,3245,1735,1845,110
victim_only,20,90,cx,"1,5",module_0,module_2,1450,3245,3355,1795,1905,110
victim_only,21,92,cx,"1,5",module_0,module_2,1460,3355,3465,1895,2005,110
victim_only,22,97,cx,"3,5",module_1,module_2,1485,3465,3575,1980,2090,110
victim_only,23,99,cx,"3,5",module_1,module_2,1495,3575,3685,2080,2190,110
victim_only,24,110,barrier,"0,1,2,3,4,5",module_0,"module_1,module_2",1550,3685,3805,2135,2255,120
