run_type,victim_remote_event_id,victim_trace_step,op_name,qubits,source_module,target_modules,arrival_time_ns,service_start_time_ns,completion_time_ns,waiting_time_ns,turnaround_time_ns,service_time_ns
victim_present,0,15,cx,"0,3",module_0,module_1,825,825,935,0,110,110
victim_present,1,17,cx,"0,3",module_0,module_1,835,935,1045,100,210,110
victim_present,2,21,cx,"1,4",module_0,module_1,855,1045,1155,190,300,110
victim_present,3,23,cx,"1,4",module_0,module_1,865,1155,1265,290,400,110
victim_present,4,28,cx,"2,4",module_0,module_1,890,1265,1375,375,485,110
victim_present,5,30,cx,"2,4",module_0,module_1,900,1375,1485,475,585,110
victim_present,6,44,cx,"1,4",module_0,module_1,970,1485,1595,515,625,110
victim_present,7,46,cx,"1,4",module_0,module_1,980,1595,1705,615,725,110
victim_present,8,51,cx,"2,4",module_0,module_1,1005,1705,1815,700,810,110
victim_present,9,53,cx,"2,4",module_0,module_1,1015,1815,1925,800,910,110
victim_present,10,67,cx,"0,5",module_0,module_1,1085,2035,2145,950,1060,110
victim_present,11,69,cx,"0,5",module_0,module_1,1095,2145,2255,1050,1160,110
victim_present,12,77,cx,"3,6",module_1,module_2,1135,2255,2365,1120,1230,110
victim_present,13,79,cx,"3,6",module_1,module_2,1145,2365,2475,1220,1330,110
victim_present,14,85,cx,"0,3",module_0,module_1,1175,2475,2585,1300,1410,110
victim_present,15,87,cx,"0,3",module_0,module_1,1185,2585,2695,1400,1510,110
victim_present,16,88,cx,"5,6",module_1,module_2,1190,2695,2805,1505,1615,110
victim_present,17,90,cx,"5,6",module_1,module_2,1200,2805,2915,1605,1715,110
victim_present,18,96,cx,"0,5",module_0,module_1,1230,2915,3025,1685,1795,110
victim_present,19,98,cx,"0,5",module_0,module_1,1240,3025,3135,1785,1895,110
victim_present,20,108,cx,"3,6",module_1,module_2,1290,3135,3245,1845,1955,110
victim_present,21,110,cx,"3,6",module_1,module_2,1300,3245,3355,1945,2055,110
victim_present,22,116,cx,"5,6",module_1,module_2,1330,3355,3465,2025,2135,110
victim_present,23,118,cx,"5,6",module_1,module_2,1340,3465,3575,2125,2235,110
victim_present,24,129,barrier,"0,1,2,3,4,5,6",module_0,"module_1,module_2",1395,3575,3695,2180,2300,120
