attacker_request_id,probe_id,window_name,observation_duration_ns,round_start_time_ns,request_release_time_ns,actual_arrival_time_ns,service_start_time_ns,victim_on_completion_time_ns,service_time_ns,victim_on_waiting_time_ns,victim_on_turnaround_time_ns,source_module,target_modules,architecture_request_id,baseline_waiting_time_ns,baseline_turnaround_time_ns,baseline_completion_time_ns,excess_waiting_time_ns,excess_turnaround_time_ns,victim_contention_observed
0,0,random_victim_start,20000,20000,20030,20030,20030,20140,110,0,110,module_3,module_4,0,0,110,20140,0,0,False
1,1,random_victim_start,20000,20420,20450,20450,22395,22505,110,1945,2055,module_3,module_4,20,0,110,20560,1945,1945,True
2,2,random_victim_start,20000,20840,20870,20870,26685,26795,110,5815,5925,module_3,module_4,59,0,110,20980,5815,5815,True
3,3,random_victim_start,20000,21260,21290,21290,30975,31085,110,9685,9795,module_3,module_4,98,0,110,21400,9685,9685,True
4,4,random_victim_start,20000,21680,21710,21710,35265,35375,110,13555,13665,module_3,module_4,137,0,110,21820,13555,13555,True
5,5,random_victim_start,20000,22100,22130,22130,39555,39665,110,17425,17535,module_3,module_4,176,0,110,22240,17425,17425,True
6,6,random_victim_start,20000,22520,22550,22550,43845,43955,110,21295,21405,module_3,module_4,215,0,110,22660,21295,21295,True
7,7,random_victim_start,20000,22940,22970,22970,48135,48245,110,25165,25275,module_3,module_4,254,0,110,23080,25165,25165,True
8,8,random_victim_start,20000,23360,23390,23390,48245,48355,110,24855,24965,module_3,module_4,255,0,110,23500,24855,24855,True
9,9,random_victim_start,20000,23780,23810,23810,48355,48465,110,24545,24655,module_3,module_4,256,0,110,23920,24545,24545,True
10,10,random_victim_start,20000,24200,24230,24230,48465,48575,110,24235,24345,module_3,module_4,257,0,110,24340,24235,24235,True
11,11,random_victim_start,20000,24620,24650,24650,48575,48685,110,23925,24035,module_3,module_4,258,0,110,24760,23925,23925,True
12,12,random_victim_start,20000,25040,25070,25070,48685,48795,110,23615,23725,module_3,module_4,259,0,110,25180,23615,23615,True
13,13,random_victim_start,20000,25460,25490,25490,48795,48905,110,23305,23415,module_3,module_4,260,0,110,25600,23305,23305,True
14,14,random_victim_start,20000,25880,25910,25910,48905,49015,110,22995,23105,module_3,module_4,261,0,110,26020,22995,22995,True
15,15,random_victim_start,20000,26300,26330,26330,49015,49125,110,22685,22795,module_3,module_4,262,0,110,26440,22685,22685,True
16,16,random_victim_start,20000,26720,26750,26750,49125,49235,110,22375,22485,module_3,module_4,263,0,110,26860,22375,22375,True
17,17,random_victim_start,20000,27140,27170,27170,49235,49345,110,22065,22175,module_3,module_4,264,0,110,27280,22065,22065,True
18,18,random_victim_start,20000,27560,27590,27590,49345,49455,110,21755,21865,module_3,module_4,265,0,110,27700,21755,21755,True
19,19,random_victim_start,20000,27980,28010,28010,49455,49565,110,21445,21555,module_3,module_4,266,0,110,28120,21445,21445,True
