run_type,victim_remote_event_id,victim_trace_step,op_name,qubits,source_module,target_modules,arrival_time_ns,service_start_time_ns,completion_time_ns,waiting_time_ns,turnaround_time_ns,service_time_ns
victim_present,0,511,cx,"5,6",module_0,module_1,23260,23260,23370,0,110,110
victim_present,1,514,cx,"6,5",module_0,module_1,23275,23370,23480,95,205,110
victim_present,2,517,cx,"5,6",module_0,module_1,23290,23480,23590,190,300,110
victim_present,3,523,cx,"5,6",module_0,module_1,23320,23590,23700,270,380,110
victim_present,4,526,cx,"6,5",module_0,module_1,23335,23700,23810,365,475,110
victim_present,5,529,cx,"5,6",module_0,module_1,23350,23810,23920,460,570,110
victim_present,6,535,cx,"5,6",module_0,module_1,23380,23920,24030,540,650,110
victim_present,7,538,cx,"6,5",module_0,module_1,23395,24140,24250,745,855,110
victim_present,8,541,cx,"5,6",module_0,module_1,23410,24250,24360,840,950,110
victim_present,9,661,cx,"11,12",module_1,module_2,24010,24470,24580,460,570,110
victim_present,10,664,cx,"12,11",module_1,module_2,24025,24580,24690,555,665,110
victim_present,11,667,cx,"11,12",module_1,module_2,24040,24690,24800,650,760,110
victim_present,12,673,cx,"11,12",module_1,module_2,24070,24800,24910,730,840,110
victim_present,13,676,cx,"12,11",module_1,module_2,24085,24910,25020,825,935,110
victim_present,14,679,cx,"11,12",module_1,module_2,24100,25020,25130,920,1030,110
victim_present,15,685,cx,"11,12",module_1,module_2,24130,25130,25240,1000,1110,110
victim_present,16,688,cx,"12,11",module_1,module_2,24145,25240,25350,1095,1205,110
victim_present,17,691,cx,"11,12",module_1,module_2,24160,25350,25460,1190,1300,110
victim_present,18,761,cx,"15,0",module_0,module_2,24510,25570,25680,1060,1170,110
victim_present,19,764,cx,"0,15",module_0,module_2,24525,25680,25790,1155,1265,110
victim_present,20,767,cx,"15,0",module_0,module_2,24540,25790,25900,1250,1360,110
victim_present,21,773,cx,"15,0",module_0,module_2,24570,25900,26010,1330,1440,110
victim_present,22,776,cx,"0,15",module_0,module_2,24585,26010,26120,1425,1535,110
victim_present,23,779,cx,"15,0",module_0,module_2,24600,26120,26230,1520,1630,110
victim_present,24,785,cx,"15,0",module_0,module_2,24630,26230,26340,1600,1710,110
victim_present,25,788,cx,"0,15",module_0,module_2,24645,26340,26450,1695,1805,110
