run_type,victim_remote_event_id,victim_trace_step,op_name,qubits,source_module,target_modules,arrival_time_ns,service_start_time_ns,completion_time_ns,waiting_time_ns,turnaround_time_ns,service_time_ns
victim_present,0,9,ccx,"1,2,9",module_0,module_2,16810,16810,16920,0,110,110
victim_present,1,10,ccx,"3,9,10",module_0,module_2,16815,16920,17030,105,215,110
victim_present,2,11,ccx,"4,10,5",module_1,module_2,16820,17030,17140,210,320,110
victim_present,3,12,ccx,"3,9,10",module_0,module_2,16825,17140,17250,315,425,110
victim_present,4,13,ccx,"1,2,9",module_0,module_2,16830,17250,17360,420,530,110
victim_present,5,17,ccx,"1,2,9",module_0,module_2,16850,17360,17470,510,620,110
victim_present,6,18,ccx,"3,9,10",module_0,module_2,16855,17470,17580,615,725,110
victim_present,7,19,ccx,"4,10,6",module_1,module_2,16860,17580,17690,720,830,110
victim_present,8,20,ccx,"3,9,10",module_0,module_2,16865,17690,17800,825,935,110
victim_present,9,21,ccx,"1,2,9",module_0,module_2,16870,17800,17910,930,1040,110
victim_present,10,24,ccx,"1,2,9",module_0,module_2,16885,17910,18020,1025,1135,110
victim_present,11,25,ccx,"3,9,10",module_0,module_2,16890,18020,18130,1130,1240,110
victim_present,12,26,ccx,"4,10,7",module_1,module_2,16895,18130,18240,1235,1345,110
victim_present,13,27,ccx,"3,9,10",module_0,module_2,16900,18240,18350,1340,1450,110
victim_present,14,28,ccx,"1,2,9",module_0,module_2,16905,18350,18460,1445,1555,110
victim_present,15,31,ccx,"2,3,8",module_0,module_2,16920,18460,18570,1540,1650,110
victim_present,16,34,ccx,"5,6,9",module_1,module_2,16935,18570,18680,1635,1745,110
victim_present,17,35,ccx,"7,9,10",module_1,module_2,16940,18680,18790,1740,1850,110
victim_present,18,36,ccx,"8,10,0",module_0,module_2,16945,18790,18900,1845,1955,110
victim_present,19,37,ccx,"7,9,10",module_1,module_2,16950,18900,19010,1950,2060,110
victim_present,20,38,ccx,"5,6,9",module_1,module_2,16955,19010,19120,2055,2165,110
victim_present,21,41,ccx,"2,3,8",module_0,module_2,16970,19120,19230,2150,2260,110
victim_present,22,44,ccx,"1,2,9",module_0,module_2,16985,19230,19340,2245,2355,110
victim_present,23,45,ccx,"3,9,10",module_0,module_2,16990,19340,19450,2350,2460,110
victim_present,24,46,ccx,"4,10,7",module_1,module_2,16995,19450,19560,2455,2565,110
victim_present,25,47,ccx,"3,9,10",module_0,module_2,17000,19560,19670,2560,2670,110
victim_present,26,48,ccx,"1,2,9",module_0,module_2,17005,19670,19780,2665,2775,110
victim_present,27,51,ccx,"1,2,9",module_0,module_2,17020,19780,19890,2760,2870,110
victim_present,28,52,ccx,"3,9,10",module_0,module_2,17025,19890,20000,2865,2975,110
victim_present,29,53,ccx,"4,10,6",module_1,module_2,17030,20000,20110,2970,3080,110
victim_present,30,54,ccx,"3,9,10",module_0,module_2,17035,20110,20220,3075,3185,110
victim_present,31,55,ccx,"1,2,9",module_0,module_2,17040,20220,20330,3180,3290,110
victim_present,32,59,ccx,"1,2,9",module_0,module_2,17060,20330,20440,3270,3380,110
victim_present,33,60,ccx,"3,9,10",module_0,module_2,17065,20440,20550,3375,3485,110
victim_present,34,61,ccx,"4,10,5",module_1,module_2,17070,20550,20660,3480,3590,110
victim_present,35,62,ccx,"3,9,10",module_0,module_2,17075,20660,20770,3585,3695,110
victim_present,36,63,ccx,"1,2,9",module_0,module_2,17080,20770,20880,3690,3800,110
victim_present,37,75,ccx,"1,2,9",module_0,module_2,17140,20880,20990,3740,3850,110
victim_present,38,76,ccx,"3,9,10",module_0,module_2,17145,20990,21100,3845,3955,110
victim_present,39,77,ccx,"4,10,0",module_0,"module_1,module_2",17150,21100,21220,3950,4070,120
victim_present,40,78,ccx,"3,9,10",module_0,module_2,17155,21220,21330,4065,4175,110
victim_present,41,79,ccx,"1,2,9",module_0,module_2,17160,21330,21440,4170,4280,110
