run_type,victim_remote_event_id,victim_trace_step,op_name,qubits,source_module,target_modules,arrival_time_ns,service_start_time_ns,completion_time_ns,waiting_time_ns,turnaround_time_ns,service_time_ns
victim_present,0,6,cx,"0,6",module_0,module_1,19245,19245,19355,0,110,110
victim_present,1,7,cx,"1,8",module_0,module_1,19250,19355,19465,105,215,110
victim_present,2,8,cx,"2,10",module_0,module_1,19255,19465,19575,210,320,110
victim_present,3,9,cx,"3,6",module_0,module_1,19260,19575,19685,315,425,110
victim_present,4,10,cx,"3,7",module_0,module_1,19265,19685,19795,420,530,110
victim_present,5,11,cx,"4,8",module_0,module_1,19270,19795,19905,525,635,110
victim_present,6,12,cx,"4,9",module_0,module_1,19275,19905,20015,630,740,110
victim_present,7,13,cx,"5,10",module_0,module_1,19280,20015,20125,735,845,110
victim_present,8,14,cx,"5,11",module_0,module_1,19285,20125,20235,840,950,110
victim_present,9,25,ccx,"7,6,13",module_1,module_2,19340,20235,20345,895,1005,110
victim_present,10,26,ccx,"13,8,14",module_1,module_2,19345,20345,20455,1000,1110,110
victim_present,11,27,ccx,"14,9,15",module_1,module_2,19350,20455,20565,1105,1215,110
victim_present,12,28,ccx,"15,10,16",module_1,module_2,19355,20565,20675,1210,1320,110
victim_present,13,29,ccx,"16,11,17",module_1,module_2,19360,20675,20785,1315,1425,110
victim_present,14,31,ccx,"16,11,17",module_1,module_2,19370,20785,20895,1415,1525,110
victim_present,15,32,ccx,"15,10,16",module_1,module_2,19375,20895,21005,1520,1630,110
victim_present,16,33,ccx,"14,9,15",module_1,module_2,19380,21005,21115,1625,1735,110
victim_present,17,34,ccx,"13,8,14",module_1,module_2,19385,21115,21225,1730,1840,110
victim_present,18,35,ccx,"7,6,13",module_1,module_2,19390,21225,21335,1835,1945,110
victim_present,19,41,cx,"0,6",module_0,module_1,19420,21335,21445,1915,2025,110
victim_present,20,42,cx,"1,8",module_0,module_1,19425,21445,21555,2020,2130,110
victim_present,21,43,cx,"2,10",module_0,module_1,19430,21555,21665,2125,2235,110
victim_present,22,44,cx,"3,6",module_0,module_1,19435,21665,21775,2230,2340,110
victim_present,23,45,cx,"3,7",module_0,module_1,19440,21775,21885,2335,2445,110
victim_present,24,46,cx,"4,8",module_0,module_1,19445,21885,21995,2440,2550,110
victim_present,25,47,cx,"4,9",module_0,module_1,19450,21995,22105,2545,2655,110
victim_present,26,48,cx,"5,10",module_0,module_1,19455,22105,22215,2650,2760,110
victim_present,27,49,cx,"5,11",module_0,module_1,19460,22215,22325,2755,2865,110
victim_present,28,67,ccx,"1,0,13",module_0,module_2,19550,22325,22435,2775,2885,110
victim_present,29,68,ccx,"13,2,14",module_0,module_2,19555,22435,22545,2880,2990,110
