run_type,victim_remote_event_id,victim_trace_step,op_name,qubits,source_module,target_modules,arrival_time_ns,service_start_time_ns,completion_time_ns,waiting_time_ns,turnaround_time_ns,service_time_ns
victim_present,0,511,cx,"5,6",module_0,module_1,20205,20205,20315,0,110,110
victim_present,1,514,cx,"6,5",module_0,module_1,20220,20315,20425,95,205,110
victim_present,2,517,cx,"5,6",module_0,module_1,20235,20425,20535,190,300,110
victim_present,3,523,cx,"5,6",module_0,module_1,20265,20535,20645,270,380,110
victim_present,4,526,cx,"6,5",module_0,module_1,20280,20645,20755,365,475,110
victim_present,5,529,cx,"5,6",module_0,module_1,20295,20755,20865,460,570,110
victim_present,6,535,cx,"5,6",module_0,module_1,20325,20865,20975,540,650,110
victim_present,7,538,cx,"6,5",module_0,module_1,20340,20975,21085,635,745,110
victim_present,8,541,cx,"5,6",module_0,module_1,20355,21085,21195,730,840,110
victim_present,9,661,cx,"11,12",module_1,module_2,20955,21415,21525,460,570,110
victim_present,10,664,cx,"12,11",module_1,module_2,20970,21525,21635,555,665,110
victim_present,11,667,cx,"11,12",module_1,module_2,20985,21635,21745,650,760,110
victim_present,12,673,cx,"11,12",module_1,module_2,21015,21745,21855,730,840,110
victim_present,13,676,cx,"12,11",module_1,module_2,21030,21855,21965,825,935,110
victim_present,14,679,cx,"11,12",module_1,module_2,21045,21965,22075,920,1030,110
victim_present,15,685,cx,"11,12",module_1,module_2,21075,22075,22185,1000,1110,110
victim_present,16,688,cx,"12,11",module_1,module_2,21090,22185,22295,1095,1205,110
victim_present,17,691,cx,"11,12",module_1,module_2,21105,22295,22405,1190,1300,110
victim_present,18,761,cx,"15,0",module_0,module_2,21455,22515,22625,1060,1170,110
victim_present,19,764,cx,"0,15",module_0,module_2,21470,22625,22735,1155,1265,110
victim_present,20,767,cx,"15,0",module_0,module_2,21485,22735,22845,1250,1360,110
victim_present,21,773,cx,"15,0",module_0,module_2,21515,22845,22955,1330,1440,110
victim_present,22,776,cx,"0,15",module_0,module_2,21530,22955,23065,1425,1535,110
victim_present,23,779,cx,"15,0",module_0,module_2,21545,23065,23175,1520,1630,110
victim_present,24,785,cx,"15,0",module_0,module_2,21575,23175,23285,1600,1710,110
victim_present,25,788,cx,"0,15",module_0,module_2,21590,23285,23395,1695,1805,110
victim_present,26,791,cx,"15,0",module_0,module_2,21605,23395,23505,1790,1900,110
victim_present,27,1040,cx,"5,6",module_0,module_1,22850,23835,23945,985,1095,110
victim_present,28,1043,cx,"6,5",module_0,module_1,22865,23945,24055,1080,1190,110
victim_present,29,1046,cx,"5,6",module_0,module_1,22880,24055,24165,1175,1285,110
victim_present,30,1082,cx,"11,12",module_1,module_2,23060,24275,24385,1215,1325,110
victim_present,31,1085,cx,"12,11",module_1,module_2,23075,24385,24495,1310,1420,110
victim_present,32,1088,cx,"11,12",module_1,module_2,23090,24495,24605,1405,1515,110
