run_type,victim_remote_event_id,victim_trace_step,op_name,qubits,source_module,target_modules,arrival_time_ns,service_start_time_ns,completion_time_ns,waiting_time_ns,turnaround_time_ns,service_time_ns
victim_present,0,82,cx,"6,0",module_0,module_1,20270,20270,20380,0,110,110
victim_present,1,84,cx,"6,0",module_0,module_1,20280,20380,20490,100,210,110
victim_present,2,87,cx,"6,1",module_0,module_1,20295,20490,20600,195,305,110
victim_present,3,89,cx,"6,1",module_0,module_1,20305,20600,20710,295,405,110
victim_present,4,92,cx,"6,2",module_0,module_1,20320,20710,20820,390,500,110
victim_present,5,94,cx,"6,2",module_0,module_1,20330,20820,20930,490,600,110
victim_present,6,97,cx,"6,3",module_0,module_1,20345,20930,21040,585,695,110
victim_present,7,99,cx,"6,3",module_0,module_1,20355,21040,21150,685,795,110
victim_present,8,102,cx,"6,4",module_0,module_1,20370,21150,21260,780,890,110
victim_present,9,104,cx,"6,4",module_0,module_1,20380,21260,21370,880,990,110
victim_present,10,107,cx,"6,5",module_0,module_1,20395,21370,21480,975,1085,110
victim_present,11,109,cx,"6,5",module_0,module_1,20405,21480,21590,1075,1185,110
victim_present,12,113,cx,"7,0",module_0,module_1,20425,21590,21700,1165,1275,110
victim_present,13,115,cx,"7,0",module_0,module_1,20435,21700,21810,1265,1375,110
victim_present,14,118,cx,"7,1",module_0,module_1,20450,21810,21920,1360,1470,110
victim_present,15,120,cx,"7,1",module_0,module_1,20460,22030,22140,1570,1680,110
victim_present,16,123,cx,"7,2",module_0,module_1,20475,22140,22250,1665,1775,110
victim_present,17,125,cx,"7,2",module_0,module_1,20485,22250,22360,1765,1875,110
victim_present,18,128,cx,"7,3",module_0,module_1,20500,22360,22470,1860,1970,110
victim_present,19,130,cx,"7,3",module_0,module_1,20510,22470,22580,1960,2070,110
victim_present,20,133,cx,"7,4",module_0,module_1,20525,22580,22690,2055,2165,110
victim_present,21,135,cx,"7,4",module_0,module_1,20535,22690,22800,2155,2265,110
victim_present,22,138,cx,"7,5",module_0,module_1,20550,22800,22910,2250,2360,110
victim_present,23,140,cx,"7,5",module_0,module_1,20560,22910,23020,2350,2460,110
victim_present,24,149,cx,"8,0",module_0,module_1,20605,23020,23130,2415,2525,110
victim_present,25,151,cx,"8,0",module_0,module_1,20615,23130,23240,2515,2625,110
victim_present,26,154,cx,"8,1",module_0,module_1,20630,23240,23350,2610,2720,110
victim_present,27,156,cx,"8,1",module_0,module_1,20640,23350,23460,2710,2820,110
victim_present,28,159,cx,"8,2",module_0,module_1,20655,23460,23570,2805,2915,110
victim_present,29,161,cx,"8,2",module_0,module_1,20665,23570,23680,2905,3015,110
victim_present,30,164,cx,"8,3",module_0,module_1,20680,23680,23790,3000,3110,110
victim_present,31,166,cx,"8,3",module_0,module_1,20690,23790,23900,3100,3210,110
victim_present,32,169,cx,"8,4",module_0,module_1,20705,23900,24010,3195,3305,110
victim_present,33,171,cx,"8,4",module_0,module_1,20715,24010,24120,3295,3405,110
victim_present,34,174,cx,"8,5",module_0,module_1,20730,24120,24230,3390,3500,110
victim_present,35,176,cx,"8,5",module_0,module_1,20740,24230,24340,3490,3600,110
victim_present,36,190,cx,"9,0",module_0,module_1,20810,24340,24450,3530,3640,110
victim_present,37,192,cx,"9,0",module_0,module_1,20820,24450,24560,3630,3740,110
victim_present,38,195,cx,"9,1",module_0,module_1,20835,24560,24670,3725,3835,110
victim_present,39,197,cx,"9,1",module_0,module_1,20845,24670,24780,3825,3935,110
victim_present,40,200,cx,"9,2",module_0,module_1,20860,24780,24890,3920,4030,110
victim_present,41,202,cx,"9,2",module_0,module_1,20870,24890,25000,4020,4130,110
victim_present,42,205,cx,"9,3",module_0,module_1,20885,25110,25220,4225,4335,110
victim_present,43,207,cx,"9,3",module_0,module_1,20895,25220,25330,4325,4435,110
victim_present,44,210,cx,"9,4",module_0,module_1,20910,25330,25440,4420,4530,110
victim_present,45,212,cx,"9,4",module_0,module_1,20920,25440,25550,4520,4630,110
victim_present,46,215,cx,"9,5",module_0,module_1,20935,25550,25660,4615,4725,110
victim_present,47,217,cx,"9,5",module_0,module_1,20945,25660,25770,4715,4825,110
victim_present,48,236,cx,"10,0",module_0,module_1,21040,25770,25880,4730,4840,110
victim_present,49,238,cx,"10,0",module_0,module_1,21050,25880,25990,4830,4940,110
victim_present,50,241,cx,"10,1",module_0,module_1,21065,25990,26100,4925,5035,110
victim_present,51,243,cx,"10,1",module_0,module_1,21075,26100,26210,5025,5135,110
victim_present,52,246,cx,"10,2",module_0,module_1,21090,26210,26320,5120,5230,110
victim_present,53,248,cx,"10,2",module_0,module_1,21100,26320,26430,5220,5330,110
victim_present,54,251,cx,"10,3",module_0,module_1,21115,26430,26540,5315,5425,110
victim_present,55,253,cx,"10,3",module_0,module_1,21125,26540,26650,5415,5525,110
victim_present,56,256,cx,"10,4",module_0,module_1,21140,26650,26760,5510,5620,110
victim_present,57,258,cx,"10,4",module_0,module_1,21150,26760,26870,5610,5720,110
victim_present,58,261,cx,"10,5",module_0,module_1,21165,26870,26980,5705,5815,110
victim_present,59,263,cx,"10,5",module_0,module_1,21175,26980,27090,5805,5915,110
victim_present,60,287,cx,"11,0",module_0,module_1,21295,27200,27310,5905,6015,110
victim_present,61,289,cx,"11,0",module_0,module_1,21305,27310,27420,6005,6115,110
victim_present,62,292,cx,"11,1",module_0,module_1,21320,27420,27530,6100,6210,110
victim_present,63,294,cx,"11,1",module_0,module_1,21330,27530,27640,6200,6310,110
victim_present,64,297,cx,"11,2",module_0,module_1,21345,27640,27750,6295,6405,110
victim_present,65,299,cx,"11,2",module_0,module_1,21355,27750,27860,6395,6505,110
victim_present,66,302,cx,"11,3",module_0,module_1,21370,27860,27970,6490,6600,110
victim_present,67,304,cx,"11,3",module_0,module_1,21380,27970,28080,6590,6700,110
victim_present,68,307,cx,"11,4",module_0,module_1,21395,28080,28190,6685,6795,110
victim_present,69,309,cx,"11,4",module_0,module_1,21405,28190,28300,6785,6895,110
victim_present,70,312,cx,"11,5",module_0,module_1,21420,28300,28410,6880,6990,110
victim_present,71,314,cx,"11,5",module_0,module_1,21430,28410,28520,6980,7090,110
victim_present,72,343,cx,"12,0",module_0,module_2,21575,28520,28630,6945,7055,110
victim_present,73,345,cx,"12,0",module_0,module_2,21585,28630,28740,7045,7155,110
victim_present,74,348,cx,"12,1",module_0,module_2,21600,28740,28850,7140,7250,110
victim_present,75,350,cx,"12,1",module_0,module_2,21610,28850,28960,7240,7350,110
victim_present,76,353,cx,"12,2",module_0,module_2,21625,28960,29070,7335,7445,110
victim_present,77,355,cx,"12,2",module_0,module_2,21635,29070,29180,7435,7545,110
victim_present,78,358,cx,"12,3",module_0,module_2,21650,29180,29290,7530,7640,110
victim_present,79,360,cx,"12,3",module_0,module_2,21660,29290,29400,7630,7740,110
victim_present,80,363,cx,"12,4",module_0,module_2,21675,29400,29510,7725,7835,110
victim_present,81,365,cx,"12,4",module_0,module_2,21685,29510,29620,7825,7935,110
victim_present,82,368,cx,"12,5",module_0,module_2,21700,29620,29730,7920,8030,110
victim_present,83,370,cx,"12,5",module_0,module_2,21710,29730,29840,8020,8130,110
victim_present,84,373,cx,"12,6",module_1,module_2,21725,29950,30060,8225,8335,110
victim_present,85,375,cx,"12,6",module_1,module_2,21735,30060,30170,8325,8435,110
victim_present,86,378,cx,"12,7",module_1,module_2,21750,30170,30280,8420,8530,110
victim_present,87,380,cx,"12,7",module_1,module_2,21760,30280,30390,8520,8630,110
victim_present,88,383,cx,"12,8",module_1,module_2,21775,30390,30500,8615,8725,110
victim_present,89,385,cx,"12,8",module_1,module_2,21785,30500,30610,8715,8825,110
victim_present,90,388,cx,"12,9",module_1,module_2,21800,30610,30720,8810,8920,110
victim_present,91,390,cx,"12,9",module_1,module_2,21810,30720,30830,8910,9020,110
victim_present,92,393,cx,"12,10",module_1,module_2,21825,30830,30940,9005,9115,110
victim_present,93,395,cx,"12,10",module_1,module_2,21835,30940,31050,9105,9215,110
victim_present,94,398,cx,"12,11",module_1,module_2,21850,31050,31160,9200,9310,110
victim_present,95,400,cx,"12,11",module_1,module_2,21860,31160,31270,9300,9410,110
victim_present,96,404,cx,"13,0",module_0,module_2,21880,31270,31380,9390,9500,110
victim_present,97,406,cx,"13,0",module_0,module_2,21890,31380,31490,9490,9600,110
victim_present,98,409,cx,"13,1",module_0,module_2,21905,31490,31600,9585,9695,110
victim_present,99,411,cx,"13,1",module_0,module_2,21915,31600,31710,9685,9795,110
victim_present,100,414,cx,"13,2",module_0,module_2,21930,31710,31820,9780,9890,110
victim_present,101,416,cx,"13,2",module_0,module_2,21940,31820,31930,9880,9990,110
victim_present,102,419,cx,"13,3",module_0,module_2,21955,31930,32040,9975,10085,110
victim_present,103,421,cx,"13,3",module_0,module_2,21965,32040,32150,10075,10185,110
victim_present,104,424,cx,"13,4",module_0,module_2,21980,32150,32260,10170,10280,110
victim_present,105,426,cx,"13,4",module_0,module_2,21990,32260,32370,10270,10380,110
victim_present,106,429,cx,"13,5",module_0,module_2,22005,32370,32480,10365,10475,110
victim_present,107,431,cx,"13,5",module_0,module_2,22015,32480,32590,10465,10575,110
victim_present,108,434,cx,"13,6",module_1,module_2,22030,32590,32700,10560,10670,110
victim_present,109,436,cx,"13,6",module_1,module_2,22040,32700,32810,10660,10770,110
victim_present,110,439,cx,"13,7",module_1,module_2,22055,32810,32920,10755,10865,110
victim_present,111,441,cx,"13,7",module_1,module_2,22065,32920,33030,10855,10965,110
victim_present,112,444,cx,"13,8",module_1,module_2,22080,33030,33140,10950,11060,110
victim_present,113,446,cx,"13,8",module_1,module_2,22090,33140,33250,11050,11160,110
victim_present,114,449,cx,"13,9",module_1,module_2,22105,33250,33360,11145,11255,110
victim_present,115,451,cx,"13,9",module_1,module_2,22115,33360,33470,11245,11355,110
victim_present,116,454,cx,"13,10",module_1,module_2,22130,33470,33580,11340,11450,110
victim_present,117,456,cx,"13,10",module_1,module_2,22140,33690,33800,11550,11660,110
victim_present,118,459,cx,"13,11",module_1,module_2,22155,33800,33910,11645,11755,110
victim_present,119,461,cx,"13,11",module_1,module_2,22165,33910,34020,11745,11855,110
victim_present,120,470,cx,"14,0",module_0,module_2,22210,34020,34130,11810,11920,110
