run_type,victim_remote_event_id,victim_trace_step,op_name,qubits,source_module,target_modules,arrival_time_ns,service_start_time_ns,completion_time_ns,waiting_time_ns,turnaround_time_ns,service_time_ns
victim_present,0,511,cx,"5,6",module_0,module_1,22555,22660,22770,105,215,110
victim_present,1,514,cx,"6,5",module_0,module_1,22570,22770,22880,200,310,110
victim_present,2,517,cx,"5,6",module_0,module_1,22585,22880,22990,295,405,110
victim_present,3,523,cx,"5,6",module_0,module_1,22615,22990,23100,375,485,110
victim_present,4,526,cx,"6,5",module_0,module_1,22630,23100,23210,470,580,110
victim_present,5,529,cx,"5,6",module_0,module_1,22645,23210,23320,565,675,110
victim_present,6,535,cx,"5,6",module_0,module_1,22675,23320,23430,645,755,110
victim_present,7,538,cx,"6,5",module_0,module_1,22690,23430,23540,740,850,110
victim_present,8,541,cx,"5,6",module_0,module_1,22705,23540,23650,835,945,110
victim_present,9,661,cx,"11,12",module_1,module_2,23305,23760,23870,455,565,110
victim_present,10,664,cx,"12,11",module_1,module_2,23320,23870,23980,550,660,110
victim_present,11,667,cx,"11,12",module_1,module_2,23335,23980,24090,645,755,110
victim_present,12,673,cx,"11,12",module_1,module_2,23365,24090,24200,725,835,110
victim_present,13,676,cx,"12,11",module_1,module_2,23380,24200,24310,820,930,110
victim_present,14,679,cx,"11,12",module_1,module_2,23395,24420,24530,1025,1135,110
victim_present,15,685,cx,"11,12",module_1,module_2,23425,24530,24640,1105,1215,110
victim_present,16,688,cx,"12,11",module_1,module_2,23440,24640,24750,1200,1310,110
victim_present,17,691,cx,"11,12",module_1,module_2,23455,24750,24860,1295,1405,110
victim_present,18,761,cx,"15,0",module_0,module_2,23805,24860,24970,1055,1165,110
victim_present,19,764,cx,"0,15",module_0,module_2,23820,25080,25190,1260,1370,110
victim_present,20,767,cx,"15,0",module_0,module_2,23835,25190,25300,1355,1465,110
victim_present,21,773,cx,"15,0",module_0,module_2,23865,25300,25410,1435,1545,110
victim_present,22,776,cx,"0,15",module_0,module_2,23880,25410,25520,1530,1640,110
victim_present,23,779,cx,"15,0",module_0,module_2,23895,25520,25630,1625,1735,110
victim_present,24,785,cx,"15,0",module_0,module_2,23925,25630,25740,1705,1815,110
victim_present,25,788,cx,"0,15",module_0,module_2,23940,25740,25850,1800,1910,110
victim_present,26,791,cx,"15,0",module_0,module_2,23955,25850,25960,1895,2005,110
victim_present,27,1040,cx,"5,6",module_0,module_1,25200,26290,26400,1090,1200,110
victim_present,28,1043,cx,"6,5",module_0,module_1,25215,26400,26510,1185,1295,110
victim_present,29,1046,cx,"5,6",module_0,module_1,25230,26510,26620,1280,1390,110
victim_present,30,1082,cx,"11,12",module_1,module_2,25410,26620,26730,1210,1320,110
victim_present,31,1085,cx,"12,11",module_1,module_2,25425,26730,26840,1305,1415,110
victim_present,32,1088,cx,"11,12",module_1,module_2,25440,26840,26950,1400,1510,110
