attacker_request_id,probe_id,window_name,observation_duration_ns,round_start_time_ns,request_release_time_ns,actual_arrival_time_ns,service_start_time_ns,victim_on_completion_time_ns,service_time_ns,victim_on_waiting_time_ns,victim_on_turnaround_time_ns,source_module,target_modules,architecture_request_id,baseline_waiting_time_ns,baseline_turnaround_time_ns,baseline_completion_time_ns,excess_waiting_time_ns,excess_turnaround_time_ns,victim_contention_observed
0,0,start_m5us,20000,15000,15030,15030,15030,15140,110,0,110,module_3,module_4,0,0,110,15140,0,0,False
1,1,start_m5us,20000,15420,15450,15450,15450,15560,110,0,110,module_3,module_4,1,0,110,15560,0,0,False
2,2,start_m5us,20000,15840,15870,15870,15870,15980,110,0,110,module_3,module_4,2,0,110,15980,0,0,False
3,3,start_m5us,20000,16260,16290,16290,16290,16400,110,0,110,module_3,module_4,3,0,110,16400,0,0,False
4,4,start_m5us,20000,16680,16710,16710,16710,16820,110,0,110,module_3,module_4,4,0,110,16820,0,0,False
5,5,start_m5us,20000,17100,17130,17130,17130,17240,110,0,110,module_3,module_4,5,0,110,17240,0,0,False
6,6,start_m5us,20000,17520,17550,17550,17550,17660,110,0,110,module_3,module_4,6,0,110,17660,0,0,False
7,7,start_m5us,20000,17940,17970,17970,17970,18080,110,0,110,module_3,module_4,7,0,110,18080,0,0,False
8,8,start_m5us,20000,18360,18390,18390,18390,18500,110,0,110,module_3,module_4,8,0,110,18500,0,0,False
9,9,start_m5us,20000,18780,18810,18810,18810,18920,110,0,110,module_3,module_4,9,0,110,18920,0,0,False
10,10,start_m5us,20000,19200,19230,19230,19230,19340,110,0,110,module_3,module_4,10,0,110,19340,0,0,False
11,11,start_m5us,20000,19620,19650,19650,19650,19760,110,0,110,module_3,module_4,11,0,110,19760,0,0,False
12,12,start_m5us,20000,20040,20070,20070,20070,20180,110,0,110,module_3,module_4,12,0,110,20180,0,0,False
13,13,start_m5us,20000,20460,20490,20490,21180,21290,110,690,800,module_3,module_4,20,0,110,20600,690,690,True
14,14,start_m5us,20000,20880,20910,20910,24480,24590,110,3570,3680,module_3,module_4,50,0,110,21020,3570,3570,True
15,15,start_m5us,20000,21300,21330,21330,27230,27340,110,5900,6010,module_3,module_4,75,0,110,21440,5900,5900,True
16,16,start_m5us,20000,21720,21750,21750,29100,29210,110,7350,7460,module_3,module_4,92,0,110,21860,7350,7350,True
17,17,start_m5us,20000,22140,22170,22170,32840,32950,110,10670,10780,module_3,module_4,126,0,110,22280,10670,10670,True
18,18,start_m5us,20000,22560,22590,22590,36360,36470,110,13770,13880,module_3,module_4,158,0,110,22700,13770,13770,True
19,19,start_m5us,20000,22980,23010,23010,39550,39660,110,16540,16650,module_3,module_4,187,0,110,23120,16540,16540,True
20,20,start_m5us,20000,23400,23430,23430,42300,42410,110,18870,18980,module_3,module_4,212,0,110,23540,18870,18870,True
