run_type,victim_remote_event_id,victim_trace_step,op_name,qubits,source_module,target_modules,arrival_time_ns,service_start_time_ns,completion_time_ns,waiting_time_ns,turnaround_time_ns,service_time_ns
victim_only,0,6,cx,"0,6",module_0,module_1,20030,20030,20140,0,110,110
victim_only,1,7,cx,"1,8",module_0,module_1,20035,20140,20250,105,215,110
victim_only,2,8,cx,"2,10",module_0,module_1,20040,20250,20360,210,320,110
victim_only,3,9,cx,"3,6",module_0,module_1,20045,20360,20470,315,425,110
victim_only,4,10,cx,"3,7",module_0,module_1,20050,20470,20580,420,530,110
victim_only,5,11,cx,"4,8",module_0,module_1,20055,20580,20690,525,635,110
victim_only,6,12,cx,"4,9",module_0,module_1,20060,20690,20800,630,740,110
victim_only,7,13,cx,"5,10",module_0,module_1,20065,20800,20910,735,845,110
victim_only,8,14,cx,"5,11",module_0,module_1,20070,20910,21020,840,950,110
victim_only,9,25,ccx,"7,6,13",module_1,module_2,20125,21020,21130,895,1005,110
victim_only,10,26,ccx,"13,8,14",module_1,module_2,20130,21130,21240,1000,1110,110
victim_only,11,27,ccx,"14,9,15",module_1,module_2,20135,21240,21350,1105,1215,110
victim_only,12,28,ccx,"15,10,16",module_1,module_2,20140,21350,21460,1210,1320,110
victim_only,13,29,ccx,"16,11,17",module_1,module_2,20145,21460,21570,1315,1425,110
victim_only,14,31,ccx,"16,11,17",module_1,module_2,20155,21570,21680,1415,1525,110
victim_only,15,32,ccx,"15,10,16",module_1,module_2,20160,21680,21790,1520,1630,110
victim_only,16,33,ccx,"14,9,15",module_1,module_2,20165,21790,21900,1625,1735,110
victim_only,17,34,ccx,"13,8,14",module_1,module_2,20170,21900,22010,1730,1840,110
victim_only,18,35,ccx,"7,6,13",module_1,module_2,20175,22010,22120,1835,1945,110
victim_only,19,41,cx,"0,6",module_0,module_1,20205,22120,22230,1915,2025,110
victim_only,20,42,cx,"1,8",module_0,module_1,20210,22230,22340,2020,2130,110
